person_id,eye_type,ear_value_left,ear_value_right
1,Round,0.343,0.308
1,Round,0.417,0.365
1,Round,0.461,0.401
1,Round,0.444,0.379
1,Round,0.413,0.357
1,Round,0.434,0.384
1,Round,0.442,0.385
1,Round,0.454,0.395
1,Round,0.442,0.384
1,Round,0.441,0.390
1,Round,0.435,0.382
1,Round,0.435,0.388
1,Round,0.420,0.371
1,Round,0.410,0.368
1,Round,0.411,0.366
1,Round,0.408,0.363
1,Round,0.399,0.352
1,Round,0.358,0.315
1,Round,0.355,0.309
1,Round,0.343,0.300
1,Round,0.360,0.317
1,Round,0.356,0.313
1,Round,0.358,0.314
1,Round,0.346,0.307
1,Round,0.361,0.317
1,Round,0.348,0.310
1,Round,0.365,0.325
1,Round,0.361,0.330
1,Round,0.359,0.325
1,Round,0.350,0.317
1,Round,0.378,0.344
1,Round,0.341,0.305
1,Round,0.349,0.316
1,Round,0.348,0.315
1,Round,0.344,0.312
1,Round,0.352,0.321
1,Round,0.359,0.324
1,Round,0.349,0.318
1,Round,0.366,0.330
1,Round,0.380,0.343
1,Round,0.364,0.331
1,Round,0.361,0.324
1,Round,0.358,0.325
1,Round,0.370,0.337
1,Round,0.374,0.339
1,Round,0.355,0.314
1,Round,0.362,0.328
1,Round,0.338,0.299
1,Round,0.331,0.296
1,Round,0.332,0.293
1,Round,0.320,0.280
1,Round,0.396,0.361
1,Round,0.383,0.348
1,Round,0.419,0.396
1,Round,0.417,0.392
1,Round,0.452,0.439
1,Round,0.448,0.440
1,Round,0.448,0.437
1,Round,0.337,0.318
1,Round,0.341,0.324
1,Round,0.351,0.346
1,Round,0.389,0.379
1,Round,0.378,0.374
1,Round,0.420,0.423
1,Round,0.418,0.419
1,Round,0.429,0.433
1,Round,0.427,0.431
1,Round,0.436,0.433
1,Round,0.432,0.434
1,Round,0.437,0.437
1,Round,0.431,0.419
1,Round,0.417,0.401
1,Round,0.433,0.418
1,Round,0.401,0.373
1,Round,0.402,0.377
1,Round,0.373,0.341
1,Round,0.374,0.343
1,Round,0.364,0.333
1,Round,0.383,0.354
1,Round,0.368,0.334
1,Round,0.369,0.333
1,Round,0.370,0.335
1,Round,0.369,0.331
1,Round,0.346,0.312
1,Round,0.346,0.313
1,Round,0.354,0.322
1,Round,0.361,0.333
1,Round,0.358,0.326
1,Round,0.343,0.310
1,Round,0.335,0.304
1,Round,0.333,0.300
1,Round,0.341,0.310
1,Round,0.359,0.324
1,Round,0.350,0.313
1,Round,0.336,0.300
1,Round,0.337,0.305
1,Round,0.321,0.291
1,Round,0.355,0.324
1,Round,0.354,0.324
1,Round,0.415,0.392
1,Round,0.392,0.363
1,Round,0.424,0.395
1,Round,0.410,0.380
1,Round,0.407,0.375
1,Round,0.410,0.377
1,Round,0.416,0.381
