person_id,eye_type,ear_value_left,ear_value_right
1,Round,0.398,0.400
1,Round,0.398,0.378
1,Round,0.424,0.409
1,Round,0.424,0.409
1,Round,0.428,0.409
1,Round,0.413,0.394
1,Round,0.418,0.398
1,Round,0.412,0.392
1,Round,0.424,0.402
1,Round,0.424,0.400
1,Round,0.403,0.386
1,Round,0.405,0.386
1,Round,0.405,0.389
1,Round,0.416,0.397
1,Round,0.391,0.372
1,Round,0.400,0.382
1,Round,0.405,0.389
1,Round,0.410,0.396
1,Round,0.396,0.376
1,Round,0.412,0.395
1,Round,0.399,0.379
1,Round,0.398,0.379
1,Round,0.397,0.369
1,Round,0.401,0.375
1,Round,0.387,0.360
1,Round,0.452,0.419
1,Round,0.429,0.409
1,Round,0.443,0.408
1,Round,0.412,0.389
1,Round,0.439,0.403
1,Round,0.394,0.363
1,Round,0.437,0.399
1,Round,0.385,0.346
1,Round,0.419,0.377
1,Round,0.438,0.394
1,Round,0.428,0.384
1,Round,0.425,0.381
1,Round,0.426,0.379
1,Round,0.443,0.388
1,Round,0.441,0.390
1,Round,0.445,0.392
1,Round,0.428,0.381
1,Round,0.424,0.376
1,Round,0.433,0.383
1,Round,0.398,0.350
1,Round,0.424,0.375
1,Round,0.365,0.321
1,Round,0.375,0.328
1,Round,0.402,0.355
1,Round,0.409,0.359
1,Round,0.441,0.396
1,Round,0.436,0.387
1,Round,0.449,0.398
1,Round,0.448,0.395
1,Round,0.461,0.410
1,Round,0.460,0.407
1,Round,0.455,0.405
1,Round,0.458,0.405
1,Round,0.449,0.400
1,Round,0.448,0.398
1,Round,0.347,0.308
1,Round,0.342,0.297
1,Round,0.299,0.259
1,Round,0.299,0.255
1,Round,0.312,0.272
1,Round,0.305,0.256
1,Round,0.319,0.273
1,Round,0.330,0.288
1,Round,0.320,0.275
1,Round,0.385,0.338
1,Round,0.449,0.398
1,Round,0.450,0.394
1,Round,0.470,0.418
1,Round,0.469,0.413
1,Round,0.467,0.413
1,Round,0.458,0.406
1,Round,0.469,0.415
1,Round,0.468,0.412
1,Round,0.450,0.393
1,Round,0.457,0.401
1,Round,0.457,0.401
1,Round,0.471,0.416
1,Round,0.461,0.410
1,Round,0.462,0.410
1,Round,0.463,0.409
1,Round,0.456,0.399
1,Round,0.452,0.398
1,Round,0.461,0.408
1,Round,0.462,0.405
1,Round,0.473,0.416
1,Round,0.469,0.413
1,Round,0.458,0.404
1,Round,0.464,0.411
1,Round,0.463,0.406
1,Round,0.456,0.400
1,Round,0.463,0.409
1,Round,0.458,0.401
1,Round,0.457,0.400
1,Round,0.460,0.402
1,Round,0.467,0.413
1,Round,0.430,0.379
1,Round,0.425,0.370
1,Round,0.428,0.373
1,Round,0.343,0.297
1,Round,0.331,0.286
1,Round,0.351,0.304
1,Round,0.395,0.345
1,Round,0.398,0.351
1,Round,0.410,0.358
1,Round,0.424,0.372
1,Round,0.436,0.382
1,Round,0.439,0.385
1,Round,0.421,0.368
1,Round,0.425,0.372
1,Round,0.426,0.373
1,Round,0.414,0.361
1,Round,0.412,0.361
1,Round,0.396,0.347
1,Round,0.389,0.342
1,Round,0.383,0.336
1,Round,0.364,0.322
1,Round,0.364,0.324
1,Round,0.357,0.321
1,Round,0.367,0.329
1,Round,0.379,0.338
1,Round,0.347,0.307
1,Round,0.364,0.321
1,Round,0.381,0.328
1,Round,0.380,0.325
1,Round,0.356,0.307
1,Round,0.394,0.329
1,Round,0.373,0.309
1,Round,0.385,0.315
1,Round,0.386,0.323
1,Round,0.388,0.325
1,Round,0.389,0.328
1,Round,0.387,0.326
1,Round,0.396,0.334
1,Round,0.422,0.350
1,Round,0.397,0.329
1,Round,0.374,0.312
1,Round,0.380,0.326
1,Round,0.364,0.307
1,Round,0.356,0.297
1,Round,0.339,0.285
1,Round,0.354,0.297
1,Round,0.356,0.301
1,Round,0.367,0.315
1,Round,0.354,0.305
1,Round,0.378,0.315
1,Round,0.403,0.340
1,Round,0.375,0.303
1,Round,0.369,0.316
1,Round,0.396,0.310
1,Round,0.381,0.308
1,Round,0.407,0.336
1,Round,0.392,0.311
1,Round,0.376,0.314
1,Round,0.380,0.316
1,Round,0.366,0.299
1,Round,0.399,0.327
1,Round,0.374,0.303
1,Round,0.375,0.315
1,Round,0.395,0.320
1,Round,0.348,0.297
1,Round,0.339,0.286
1,Round,0.331,0.284
1,Round,0.294,0.256
1,Round,0.351,0.316
1,Round,0.329,0.298
1,Round,0.328,0.293
1,Round,0.353,0.320
1,Round,0.336,0.304
1,Round,0.353,0.321
1,Round,0.339,0.310
1,Round,0.349,0.312
1,Round,0.361,0.327
1,Round,0.360,0.322
1,Round,0.371,0.343
1,Round,0.354,0.325
1,Round,0.351,0.322
1,Round,0.371,0.339
1,Round,0.349,0.311
1,Round,0.296,0.268
1,Round,0.297,0.267
1,Round,0.328,0.298
1,Round,0.357,0.318
1,Round,0.385,0.346
1,Round,0.385,0.341
1,Round,0.389,0.347
1,Round,0.428,0.382
1,Round,0.409,0.363
1,Round,0.404,0.361
1,Round,0.417,0.378
1,Round,0.411,0.374
1,Round,0.415,0.381
1,Round,0.409,0.376
1,Round,0.391,0.357
1,Round,0.413,0.377
1,Round,0.409,0.373
1,Round,0.406,0.370
1,Round,0.405,0.371
1,Round,0.291,0.266
1,Round,0.301,0.275
1,Round,0.292,0.268
1,Round,0.266,0.241
1,Round,0.280,0.256
1,Round,0.264,0.235
1,Round,0.256,0.225
1,Round,0.277,0.248
1,Round,0.275,0.242
1,Round,0.338,0.300
1,Round,0.337,0.300
1,Round,0.386,0.341
1,Round,0.372,0.330
1,Round,0.375,0.337
1,Round,0.381,0.342
1,Round,0.400,0.360
1,Round,0.396,0.353
1,Round,0.414,0.369
1,Round,0.410,0.362
1,Round,0.404,0.360
1,Round,0.403,0.359
1,Round,0.392,0.352
1,Round,0.399,0.356
1,Round,0.400,0.353
1,Round,0.400,0.357
1,Round,0.399,0.356
1,Round,0.396,0.352
1,Round,0.403,0.358
1,Round,0.400,0.354
1,Round,0.405,0.359
1,Round,0.420,0.371
1,Round,0.417,0.371
1,Round,0.411,0.369
1,Round,0.417,0.375
1,Round,0.416,0.376
1,Round,0.409,0.367
1,Round,0.406,0.365
1,Round,0.416,0.373
1,Round,0.425,0.381
1,Round,0.409,0.370
1,Round,0.418,0.375
1,Round,0.415,0.376
1,Round,0.415,0.374
1,Round,0.415,0.376
1,Round,0.419,0.377
1,Round,0.418,0.378
1,Round,0.420,0.377
1,Round,0.386,0.350
1,Round,0.390,0.352
1,Round,0.335,0.297
1,Round,0.322,0.289
1,Round,0.319,0.288
1,Round,0.331,0.296
1,Round,0.394,0.353
1,Round,0.379,0.340
1,Round,0.392,0.350
1,Round,0.407,0.361
1,Round,0.414,0.372
1,Round,0.414,0.369
1,Round,0.410,0.367
1,Round,0.413,0.370
1,Round,0.403,0.355
1,Round,0.401,0.359
1,Round,0.419,0.369
1,Round,0.417,0.372
1,Round,0.422,0.378
1,Round,0.423,0.379
1,Round,0.430,0.383
1,Round,0.430,0.383
1,Round,0.418,0.374
1,Round,0.420,0.375
1,Round,0.426,0.378
1,Round,0.423,0.375
1,Round,0.427,0.381
1,Round,0.429,0.383
1,Round,0.425,0.378
1,Round,0.423,0.375
1,Round,0.430,0.384
1,Round,0.417,0.374
1,Round,0.427,0.379
1,Round,0.425,0.379
1,Round,0.431,0.381
1,Round,0.425,0.374
1,Round,0.361,0.314
1,Round,0.330,0.290
1,Round,0.305,0.264
1,Round,0.307,0.269
1,Round,0.333,0.296
1,Round,0.326,0.284
1,Round,0.389,0.338
1,Round,0.391,0.338
1,Round,0.417,0.363
1,Round,0.414,0.364
1,Round,0.419,0.366
1,Round,0.417,0.365
1,Round,0.402,0.356
1,Round,0.411,0.365
1,Round,0.421,0.372
1,Round,0.424,0.372
1,Round,0.423,0.372
1,Round,0.431,0.380
1,Round,0.428,0.374
1,Round,0.429,0.374
1,Round,0.421,0.370
1,Round,0.427,0.376
1,Round,0.430,0.378
1,Round,0.435,0.381
1,Round,0.435,0.382
1,Round,0.424,0.373
1,Round,0.428,0.374
1,Round,0.420,0.368
1,Round,0.421,0.372
1,Round,0.423,0.373
1,Round,0.425,0.373
1,Round,0.424,0.373
1,Round,0.432,0.379
1,Round,0.432,0.378
1,Round,0.366,0.317
1,Round,0.341,0.296
1,Round,0.336,0.290
1,Round,0.319,0.275
1,Round,0.329,0.285
1,Round,0.328,0.284
1,Round,0.334,0.291
1,Round,0.341,0.295
1,Round,0.393,0.345
1,Round,0.397,0.346
1,Round,0.418,0.369
1,Round,0.422,0.371
1,Round,0.423,0.371
1,Round,0.419,0.369
1,Round,0.417,0.367
1,Round,0.416,0.366
1,Round,0.436,0.384
1,Round,0.436,0.384
1,Round,0.426,0.377
1,Round,0.431,0.380
1,Round,0.417,0.368
1,Round,0.428,0.381
1,Round,0.426,0.376
1,Round,0.433,0.383
1,Round,0.430,0.380
1,Round,0.431,0.380
1,Round,0.423,0.373
1,Round,0.424,0.375
1,Round,0.420,0.366
1,Round,0.420,0.366
1,Round,0.356,0.307
1,Round,0.330,0.288
1,Round,0.340,0.297
1,Round,0.344,0.301
1,Round,0.396,0.349
1,Round,0.404,0.354
1,Round,0.410,0.362
1,Round,0.421,0.370
1,Round,0.419,0.362
1,Round,0.424,0.364
1,Round,0.419,0.357
1,Round,0.418,0.354
1,Round,0.384,0.327
1,Round,0.372,0.320
1,Round,0.393,0.327
1,Round,0.364,0.306
1,Round,0.408,0.338
1,Round,0.391,0.325
1,Round,0.397,0.321
1,Round,0.359,0.297
1,Round,0.386,0.312
1,Round,0.390,0.314
1,Round,0.375,0.307
1,Round,0.371,0.306
1,Round,0.361,0.302
1,Round,0.346,0.291
1,Round,0.353,0.308
1,Round,0.352,0.306
1,Round,0.391,0.342
1,Round,0.389,0.343
1,Round,0.409,0.376
1,Round,0.376,0.345
1,Round,0.388,0.392
1,Round,0.387,0.388
1,Round,0.354,0.376
1,Round,0.380,0.395
1,Round,0.357,0.388
1,Round,0.404,0.439
1,Round,0.359,0.382
1,Round,0.390,0.419
1,Round,0.388,0.413
1,Round,0.395,0.417
1,Round,0.380,0.396
1,Round,0.388,0.404
1,Round,0.385,0.395
1,Round,0.386,0.398
1,Round,0.384,0.388
1,Round,0.377,0.383
1,Round,0.382,0.379
1,Round,0.379,0.381
1,Round,0.387,0.380
1,Round,0.385,0.380
1,Round,0.386,0.380
1,Round,0.391,0.386
1,Round,0.381,0.372
1,Round,0.390,0.383
1,Round,0.395,0.386
1,Round,0.386,0.380
1,Round,0.317,0.292
1,Round,0.318,0.294
1,Round,0.307,0.284
1,Round,0.302,0.276
1,Round,0.333,0.314
1,Round,0.342,0.319
1,Round,0.372,0.352
1,Round,0.382,0.360
1,Round,0.392,0.362
1,Round,0.401,0.375
1,Round,0.385,0.350
1,Round,0.385,0.353
1,Round,0.371,0.340
1,Round,0.376,0.352
1,Round,0.373,0.341
1,Round,0.376,0.348
1,Round,0.386,0.354
1,Round,0.390,0.360
1,Round,0.391,0.355
1,Round,0.388,0.354
1,Round,0.394,0.359
1,Round,0.394,0.358
1,Round,0.397,0.360
1,Round,0.392,0.356
1,Round,0.318,0.282
1,Round,0.331,0.295
1,Round,0.312,0.269
1,Round,0.306,0.270
1,Round,0.346,0.310
1,Round,0.339,0.305
1,Round,0.398,0.360
1,Round,0.396,0.358
1,Round,0.409,0.372
1,Round,0.406,0.372
1,Round,0.403,0.367
1,Round,0.399,0.361
1,Round,0.407,0.371
1,Round,0.410,0.378
1,Round,0.395,0.363
1,Round,0.397,0.366
1,Round,0.414,0.383
1,Round,0.423,0.388
1,Round,0.412,0.380
1,Round,0.405,0.372
1,Round,0.413,0.380
1,Round,0.414,0.377
1,Round,0.408,0.372
1,Round,0.410,0.373
1,Round,0.412,0.378
1,Round,0.424,0.389
1,Round,0.411,0.379
1,Round,0.412,0.382
1,Round,0.297,0.259
1,Round,0.315,0.279
1,Round,0.287,0.255
1,Round,0.295,0.263
1,Round,0.295,0.261
1,Round,0.333,0.303
1,Round,0.376,0.341
1,Round,0.374,0.344
1,Round,0.389,0.359
1,Round,0.386,0.355
1,Round,0.401,0.372
1,Round,0.401,0.370
1,Round,0.394,0.364
1,Round,0.395,0.364
1,Round,0.390,0.358
1,Round,0.390,0.359
1,Round,0.389,0.359
1,Round,0.381,0.349
1,Round,0.380,0.343
1,Round,0.379,0.342
1,Round,0.390,0.354
1,Round,0.392,0.355
1,Round,0.403,0.373
1,Round,0.399,0.367
1,Round,0.383,0.350
1,Round,0.396,0.364
1,Round,0.392,0.356
1,Round,0.389,0.364
1,Round,0.387,0.364
1,Round,0.374,0.355
1,Round,0.369,0.334
1,Round,0.376,0.345
1,Round,0.352,0.324
1,Round,0.374,0.344
1,Round,0.337,0.311
1,Round,0.350,0.322
1,Round,0.362,0.344
1,Round,0.366,0.340
1,Round,0.370,0.346
1,Round,0.372,0.352
1,Round,0.397,0.372
1,Round,0.395,0.370
1,Round,0.398,0.376
1,Round,0.387,0.362
1,Round,0.378,0.355
1,Round,0.378,0.355
1,Round,0.348,0.334
1,Round,0.361,0.346
1,Round,0.367,0.345
1,Round,0.366,0.347
1,Round,0.366,0.347
1,Round,0.358,0.340
1,Round,0.359,0.345
1,Round,0.333,0.322
1,Round,0.361,0.347
1,Round,0.374,0.358
1,Round,0.291,0.272
1,Round,0.290,0.273
1,Round,0.284,0.271
1,Almond,0.242,0.224
1,Round,0.261,0.244
1,Round,0.265,0.253
1,Round,0.277,0.262
1,Round,0.310,0.291
1,Round,0.305,0.282
1,Round,0.293,0.271
1,Almond,0.221,0.200
1,Almond,0.228,0.215
1,Round,0.262,0.244
1,Round,0.265,0.247
1,Round,0.292,0.269
1,Round,0.314,0.283
1,Round,0.313,0.286
1,Round,0.348,0.314
1,Round,0.344,0.314
1,Round,0.367,0.337
1,Round,0.392,0.364
1,Round,0.350,0.322
1,Round,0.343,0.314
1,Round,0.353,0.321
1,Round,0.356,0.323
1,Round,0.354,0.323
1,Round,0.379,0.346
1,Round,0.366,0.334
1,Round,0.363,0.332
1,Round,0.361,0.328
1,Round,0.365,0.331
1,Round,0.368,0.337
1,Round,0.371,0.340
1,Round,0.262,0.241
1,Almond,0.246,0.221
1,Round,0.250,0.228
1,Round,0.252,0.227
1,Almond,0.244,0.220
1,Almond,0.243,0.220
1,Round,0.272,0.249
1,Round,0.254,0.231
1,Round,0.321,0.288
1,Round,0.315,0.286
1,Round,0.361,0.326
1,Round,0.367,0.332
1,Round,0.362,0.326
1,Round,0.251,0.227
1,Round,0.272,0.248
1,Almond,0.248,0.220
1,Almond,0.239,0.212
1,Almond,0.237,0.212
1,Round,0.267,0.241
1,Round,0.282,0.257
1,Round,0.307,0.274
1,Round,0.319,0.286
1,Round,0.357,0.319
1,Round,0.365,0.335
1,Round,0.402,0.363
1,Round,0.401,0.365
1,Round,0.398,0.367
1,Round,0.311,0.288
1,Round,0.326,0.299
1,Round,0.312,0.287
1,Round,0.274,0.248
1,Round,0.296,0.265
1,Round,0.273,0.242
1,Round,0.297,0.268
1,Round,0.347,0.314
1,Round,0.345,0.312
1,Round,0.371,0.337
1,Round,0.396,0.361
1,Round,0.408,0.368
1,Round,0.415,0.370
1,Round,0.407,0.366
1,Round,0.409,0.368
1,Round,0.310,0.278
1,Round,0.339,0.306
1,Round,0.273,0.242
1,Round,0.263,0.233
1,Round,0.296,0.273
1,Round,0.280,0.254
1,Round,0.266,0.239
1,Round,0.319,0.287
1,Round,0.312,0.279
1,Round,0.323,0.288
1,Round,0.334,0.293
1,Round,0.357,0.312
1,Round,0.378,0.330
1,Round,0.363,0.319
1,Round,0.362,0.319
1,Round,0.387,0.338
1,Round,0.381,0.335
1,Round,0.373,0.331
1,Round,0.345,0.301
1,Round,0.322,0.282
1,Round,0.333,0.288
1,Round,0.337,0.292
1,Round,0.353,0.310
1,Round,0.358,0.314
1,Round,0.378,0.332
1,Round,0.376,0.330
1,Round,0.367,0.328
1,Round,0.370,0.325
1,Round,0.312,0.281
1,Round,0.326,0.292
1,Round,0.288,0.252
1,Round,0.294,0.266
1,Round,0.295,0.260
1,Round,0.288,0.258
1,Round,0.331,0.295
1,Round,0.324,0.285
1,Round,0.303,0.267
1,Round,0.316,0.284
1,Round,0.265,0.234
1,Round,0.281,0.248
1,Round,0.323,0.288
1,Round,0.306,0.271
1,Round,0.351,0.314
1,Round,0.359,0.320
1,Round,0.366,0.323
1,Round,0.360,0.322
1,Round,0.368,0.329
1,Round,0.368,0.329
1,Round,0.360,0.322
1,Round,0.364,0.327
1,Round,0.363,0.324
1,Round,0.367,0.326
1,Round,0.366,0.331
1,Round,0.364,0.327
1,Round,0.365,0.328
1,Round,0.362,0.326
1,Round,0.359,0.323
1,Round,0.356,0.320
1,Round,0.374,0.333
1,Round,0.371,0.332
1,Round,0.367,0.324
1,Round,0.359,0.318
1,Round,0.370,0.329
1,Round,0.375,0.334
1,Round,0.384,0.346
1,Round,0.379,0.341
1,Round,0.374,0.335
1,Round,0.372,0.334
1,Round,0.374,0.336
1,Round,0.371,0.334
1,Round,0.362,0.327
1,Round,0.362,0.326
1,Round,0.365,0.328
1,Round,0.365,0.328
1,Round,0.310,0.276
1,Round,0.292,0.260
1,Round,0.295,0.259
1,Round,0.292,0.256
1,Round,0.305,0.270
1,Round,0.308,0.277
1,Round,0.360,0.320
1,Round,0.362,0.323
1,Round,0.395,0.356
1,Round,0.384,0.344
1,Round,0.382,0.338
1,Round,0.387,0.346
1,Round,0.379,0.335
1,Round,0.396,0.355
1,Round,0.390,0.343
1,Round,0.396,0.351
1,Round,0.386,0.341
1,Round,0.386,0.347
1,Round,0.387,0.339
1,Round,0.388,0.347
1,Round,0.387,0.342
1,Round,0.395,0.354
1,Round,0.323,0.284
1,Round,0.331,0.297
1,Round,0.293,0.260
1,Round,0.309,0.272
1,Round,0.311,0.277
1,Round,0.297,0.265
1,Round,0.288,0.254
1,Round,0.285,0.250
1,Round,0.295,0.263
1,Round,0.297,0.267
1,Round,0.306,0.275
1,Round,0.305,0.272
1,Round,0.321,0.290
1,Round,0.314,0.283
1,Round,0.328,0.295
1,Round,0.329,0.297
1,Round,0.365,0.324
1,Round,0.346,0.311
1,Round,0.400,0.358
1,Round,0.369,0.328
1,Round,0.394,0.351
1,Round,0.375,0.332
1,Round,0.379,0.341
1,Round,0.379,0.341
1,Round,0.399,0.357
1,Round,0.390,0.349
1,Round,0.384,0.342
1,Round,0.383,0.341
1,Round,0.386,0.347
1,Round,0.398,0.355
1,Round,0.391,0.351
1,Round,0.402,0.362
1,Round,0.299,0.263
1,Round,0.324,0.288
1,Round,0.287,0.255
1,Round,0.290,0.258
1,Round,0.337,0.300
1,Round,0.321,0.285
1,Round,0.329,0.296
1,Round,0.335,0.299
1,Round,0.369,0.332
1,Round,0.371,0.332
1,Round,0.383,0.344
1,Round,0.377,0.339
1,Round,0.390,0.347
1,Round,0.392,0.348
1,Round,0.396,0.354
1,Round,0.405,0.360
1,Round,0.384,0.342
1,Round,0.386,0.344
1,Round,0.400,0.358
1,Round,0.400,0.358
1,Round,0.398,0.351
1,Round,0.399,0.352
1,Round,0.412,0.364
1,Round,0.414,0.368
1,Round,0.406,0.355
1,Round,0.413,0.365
1,Round,0.401,0.357
1,Round,0.410,0.365
1,Round,0.346,0.302
1,Round,0.338,0.301
1,Round,0.297,0.258
1,Round,0.312,0.273
1,Round,0.343,0.307
1,Round,0.328,0.290
1,Round,0.346,0.308
1,Round,0.356,0.316
1,Round,0.380,0.339
1,Round,0.374,0.331
1,Round,0.376,0.335
1,Round,0.387,0.342
1,Round,0.408,0.363
1,Round,0.407,0.358
1,Round,0.414,0.367
1,Round,0.418,0.371
1,Round,0.409,0.362
1,Round,0.397,0.351
1,Round,0.396,0.353
1,Round,0.395,0.350
1,Round,0.405,0.358
1,Round,0.408,0.360
1,Round,0.412,0.364
1,Round,0.419,0.370
1,Round,0.413,0.363
1,Round,0.415,0.368
1,Round,0.414,0.368
1,Round,0.412,0.365
1,Round,0.418,0.370
1,Round,0.414,0.364
1,Round,0.427,0.379
1,Round,0.421,0.372
1,Round,0.370,0.322
1,Round,0.361,0.318
1,Round,0.318,0.277
1,Round,0.326,0.285
1,Round,0.319,0.283
1,Round,0.327,0.286
1,Round,0.355,0.317
1,Round,0.362,0.320
1,Round,0.384,0.339
1,Round,0.388,0.340
1,Round,0.409,0.359
1,Round,0.403,0.353
1,Round,0.418,0.371
1,Round,0.419,0.371
1,Round,0.424,0.373
1,Round,0.430,0.378
1,Round,0.433,0.382
1,Round,0.427,0.378
1,Round,0.428,0.380
1,Round,0.435,0.388
1,Round,0.426,0.377
1,Round,0.430,0.383
1,Round,0.430,0.383
1,Round,0.430,0.383
1,Round,0.432,0.382
1,Round,0.426,0.377
1,Round,0.418,0.371
1,Round,0.425,0.375
1,Round,0.344,0.300
1,Round,0.326,0.286
1,Round,0.301,0.262
1,Round,0.296,0.258
1,Round,0.326,0.283
1,Round,0.344,0.297
1,Round,0.367,0.324
1,Round,0.380,0.331
1,Round,0.403,0.358
1,Round,0.400,0.350
1,Round,0.407,0.357
1,Round,0.403,0.352
1,Round,0.418,0.368
1,Round,0.418,0.367
1,Round,0.417,0.366
1,Round,0.416,0.365
1,Round,0.414,0.363
1,Round,0.418,0.366
1,Round,0.415,0.363
1,Round,0.421,0.368
1,Round,0.415,0.363
1,Round,0.410,0.357
1,Round,0.407,0.356
1,Round,0.422,0.370
1,Round,0.407,0.355
1,Round,0.405,0.354
1,Round,0.409,0.356
1,Round,0.406,0.352
1,Round,0.333,0.286
1,Round,0.324,0.285
1,Round,0.329,0.284
1,Round,0.296,0.256
1,Round,0.339,0.301
1,Round,0.336,0.293
1,Round,0.351,0.309
1,Round,0.365,0.317
1,Round,0.389,0.344
1,Round,0.397,0.344
1,Round,0.404,0.356
1,Round,0.398,0.349
1,Round,0.400,0.347
1,Round,0.397,0.343
1,Round,0.398,0.343
1,Round,0.424,0.372
1,Round,0.404,0.354
1,Round,0.403,0.352
1,Round,0.399,0.348
1,Round,0.395,0.343
1,Round,0.414,0.363
1,Round,0.419,0.367
1,Round,0.431,0.375
1,Round,0.426,0.372
1,Round,0.429,0.373
1,Round,0.429,0.375
1,Round,0.426,0.373
1,Round,0.399,0.348
1,Round,0.333,0.286
1,Round,0.327,0.285
1,Round,0.324,0.281
1,Round,0.307,0.262
1,Round,0.339,0.296
1,Round,0.351,0.302
1,Round,0.379,0.332
1,Round,0.379,0.327
1,Round,0.374,0.330
1,Round,0.405,0.351
1,Round,0.385,0.333
1,Round,0.400,0.347
1,Round,0.400,0.346
1,Round,0.396,0.345
1,Round,0.408,0.354
1,Round,0.405,0.352
1,Round,0.420,0.366
1,Round,0.419,0.366
1,Round,0.418,0.363
1,Round,0.418,0.363
1,Round,0.417,0.362
1,Round,0.407,0.358
1,Round,0.407,0.357
1,Round,0.407,0.352
1,Round,0.388,0.342
1,Round,0.395,0.349
1,Round,0.360,0.316
1,Round,0.359,0.312
1,Round,0.303,0.269
1,Round,0.319,0.288
1,Round,0.303,0.270
1,Round,0.300,0.278
1,Round,0.304,0.278
1,Round,0.347,0.322
1,Round,0.362,0.333
1,Round,0.360,0.329
1,Round,0.366,0.331
1,Round,0.374,0.340
1,Round,0.404,0.359
1,Round,0.420,0.367
1,Round,0.392,0.342
1,Round,0.410,0.351
1,Round,0.400,0.347
1,Round,0.375,0.321
1,Round,0.413,0.355
1,Round,0.385,0.336
1,Round,0.390,0.329
1,Round,0.381,0.341
1,Round,0.386,0.327
1,Round,0.372,0.327
1,Round,0.364,0.313
1,Round,0.356,0.317
1,Round,0.377,0.324
1,Round,0.380,0.321
1,Round,0.360,0.302
1,Round,0.374,0.334
1,Round,0.357,0.307
1,Round,0.315,0.284
1,Round,0.326,0.294
1,Round,0.273,0.231
1,Almond,0.225,0.185
1,Almond,0.234,0.187
1,Round,0.300,0.281
1,Round,0.294,0.269
1,Round,0.299,0.277
1,Almond,0.207,0.172
1,Almond,0.231,0.198
1,Round,0.273,0.231
1,Round,0.278,0.233
1,Round,0.296,0.261
1,Round,0.313,0.275
1,Round,0.278,0.261
1,Round,0.273,0.246
1,Round,0.282,0.256
1,Round,0.256,0.228
1,Round,0.251,0.224
1,Almond,0.250,0.221
1,Round,0.267,0.245
1,Round,0.258,0.242
1,Round,0.277,0.271
1,Round,0.262,0.257
1,Round,0.256,0.250
1,Round,0.260,0.250
1,Almond,0.240,0.221
1,Round,0.261,0.237
1,Round,0.251,0.229
1,Almond,0.241,0.203
1,Round,0.259,0.226
1,Round,0.258,0.220
1,Round,0.316,0.280
1,Round,0.315,0.274
1,Round,0.288,0.265
1,Round,0.303,0.276
1,Round,0.278,0.249
1,Round,0.291,0.258
1,Round,0.267,0.231
1,Almond,0.231,0.211
1,Round,0.267,0.247
1,Round,0.261,0.238
1,Round,0.272,0.254
1,Round,0.282,0.269
1,Round,0.288,0.260
1,Round,0.326,0.308
1,Round,0.295,0.267
1,Round,0.320,0.296
1,Round,0.276,0.243
1,Round,0.312,0.296
1,Round,0.252,0.230
1,Almond,0.239,0.211
1,Round,0.265,0.243
1,Round,0.260,0.241
1,Almond,0.244,0.209
1,Almond,0.248,0.215
1,Round,0.250,0.222
1,Almond,0.243,0.215
1,Round,0.256,0.225
1,Round,0.260,0.226
1,Round,0.320,0.283
1,Round,0.313,0.279
1,Round,0.348,0.317
1,Round,0.351,0.317
1,Round,0.348,0.314
1,Round,0.348,0.314
1,Round,0.354,0.321
1,Round,0.349,0.316
1,Round,0.359,0.327
1,Round,0.350,0.314
1,Round,0.352,0.320
1,Round,0.345,0.311
1,Round,0.358,0.328
1,Round,0.349,0.315
1,Round,0.362,0.332
1,Round,0.372,0.340
1,Round,0.374,0.343
1,Round,0.373,0.340
1,Round,0.362,0.328
1,Round,0.375,0.338
1,Round,0.363,0.328
1,Round,0.378,0.346
1,Round,0.338,0.303
1,Round,0.344,0.310
1,Almond,0.243,0.208
1,Round,0.268,0.237
1,Round,0.274,0.250
