person_id,eye_type,ear_value_left,ear_value_right
1,Round,0.328,0.333
1,Round,0.399,0.394
1,Round,0.378,0.366
1,Round,0.394,0.389
1,Round,0.389,0.377
1,Round,0.399,0.393
1,Round,0.400,0.392
1,Round,0.411,0.405
1,Round,0.411,0.400
1,Round,0.412,0.402
1,Round,0.411,0.403
1,Round,0.414,0.404
1,Round,0.421,0.413
1,Round,0.418,0.408
1,Round,0.411,0.403
1,Round,0.408,0.400
1,Round,0.396,0.384
1,Round,0.415,0.407
1,Round,0.390,0.378
1,Round,0.410,0.401
1,Round,0.384,0.375
1,Round,0.411,0.402
1,Round,0.382,0.372
1,Round,0.419,0.409
1,Round,0.387,0.376
1,Round,0.405,0.396
1,Round,0.348,0.327
1,Round,0.398,0.386
1,Round,0.309,0.286
1,Round,0.336,0.321
1,Round,0.336,0.309
1,Round,0.347,0.325
1,Round,0.398,0.371
1,Round,0.392,0.368
1,Round,0.419,0.392
1,Round,0.402,0.377
1,Round,0.426,0.397
1,Round,0.413,0.391
1,Round,0.419,0.395
1,Round,0.403,0.381
1,Round,0.416,0.396
1,Round,0.405,0.385
1,Round,0.399,0.382
1,Round,0.385,0.370
1,Round,0.394,0.380
1,Round,0.393,0.379
1,Round,0.406,0.395
1,Round,0.390,0.375
1,Round,0.402,0.393
1,Round,0.390,0.377
1,Round,0.408,0.395
1,Round,0.401,0.388
1,Round,0.416,0.403
1,Round,0.399,0.383
1,Round,0.404,0.393
1,Round,0.396,0.383
1,Round,0.398,0.384
1,Round,0.385,0.373
1,Round,0.311,0.298
1,Round,0.333,0.322
1,Round,0.324,0.314
1,Round,0.313,0.302
1,Round,0.325,0.314
1,Round,0.325,0.311
1,Round,0.362,0.349
1,Round,0.362,0.345
1,Round,0.391,0.377
1,Round,0.374,0.357
1,Round,0.373,0.354
1,Round,0.398,0.384
1,Round,0.412,0.401
1,Round,0.413,0.403
1,Round,0.403,0.394
1,Round,0.410,0.397
1,Round,0.402,0.393
1,Round,0.396,0.387
1,Round,0.412,0.401
1,Round,0.414,0.404
1,Round,0.409,0.400
1,Round,0.411,0.401
1,Round,0.409,0.399
1,Round,0.413,0.402
1,Round,0.408,0.401
1,Round,0.408,0.400
1,Round,0.416,0.406
1,Round,0.418,0.409
1,Round,0.407,0.395
1,Round,0.410,0.399
1,Round,0.311,0.303
1,Round,0.339,0.335
1,Round,0.326,0.319
1,Round,0.314,0.300
1,Round,0.285,0.272
1,Round,0.311,0.304
1,Round,0.355,0.345
1,Round,0.361,0.345
1,Round,0.386,0.374
1,Round,0.391,0.380
1,Round,0.397,0.384
1,Round,0.394,0.382
1,Round,0.408,0.399
1,Round,0.407,0.398
1,Round,0.407,0.398
1,Round,0.399,0.388
1,Round,0.403,0.391
1,Round,0.407,0.399
1,Round,0.394,0.386
1,Round,0.394,0.384
1,Round,0.396,0.385
1,Round,0.393,0.384
1,Round,0.394,0.383
1,Round,0.392,0.381
1,Round,0.400,0.388
1,Round,0.402,0.389
1,Round,0.403,0.390
1,Round,0.396,0.387
1,Round,0.399,0.389
1,Round,0.411,0.399
1,Round,0.408,0.398
1,Round,0.412,0.402
1,Round,0.404,0.394
1,Round,0.410,0.402
1,Round,0.349,0.336
1,Round,0.359,0.345
1,Round,0.363,0.349
1,Round,0.305,0.291
1,Round,0.300,0.286
1,Round,0.314,0.303
1,Round,0.310,0.299
1,Round,0.313,0.301
1,Round,0.331,0.321
1,Round,0.330,0.321
1,Round,0.395,0.380
1,Round,0.374,0.360
1,Round,0.396,0.380
1,Round,0.389,0.371
1,Round,0.388,0.371
1,Round,0.400,0.385
1,Round,0.389,0.372
1,Round,0.395,0.379
1,Round,0.399,0.386
1,Round,0.397,0.380
1,Round,0.399,0.381
1,Round,0.397,0.379
1,Round,0.412,0.394
1,Round,0.411,0.393
1,Round,0.397,0.380
1,Round,0.405,0.387
1,Round,0.404,0.386
1,Round,0.409,0.393
1,Round,0.403,0.386
1,Round,0.404,0.387
1,Round,0.402,0.389
1,Round,0.403,0.388
1,Round,0.379,0.363
1,Round,0.378,0.365
1,Round,0.308,0.291
1,Round,0.326,0.311
1,Round,0.322,0.306
1,Round,0.315,0.302
1,Round,0.307,0.293
1,Round,0.310,0.291
1,Round,0.309,0.292
1,Round,0.326,0.311
1,Round,0.321,0.306
1,Round,0.312,0.293
1,Round,0.383,0.364
1,Round,0.361,0.342
1,Round,0.400,0.382
1,Round,0.388,0.367
1,Round,0.387,0.366
1,Round,0.397,0.375
1,Round,0.395,0.372
1,Round,0.399,0.380
1,Round,0.399,0.381
1,Round,0.391,0.374
1,Round,0.389,0.375
1,Round,0.410,0.391
1,Round,0.390,0.373
1,Round,0.391,0.374
1,Round,0.391,0.372
1,Round,0.403,0.381
1,Round,0.398,0.379
