person_id,eye_type,ear_value_left,ear_value_right
1,Almond,0.209,0.201
1,Round,0.370,0.347
1,Round,0.335,0.323
1,Round,0.344,0.330
1,Round,0.321,0.306
1,Round,0.331,0.319
1,Round,0.324,0.317
1,Round,0.342,0.332
1,Round,0.349,0.341
1,Round,0.341,0.325
1,Round,0.353,0.352
1,Round,0.343,0.331
1,Round,0.355,0.345
1,Round,0.331,0.322
1,Round,0.345,0.339
1,Round,0.344,0.330
1,Round,0.328,0.322
1,Round,0.326,0.317
1,Round,0.294,0.290
1,Round,0.286,0.276
1,Round,0.345,0.342
1,Round,0.347,0.344
1,Round,0.362,0.360
1,Round,0.364,0.359
1,Round,0.362,0.362
1,Round,0.373,0.365
1,Round,0.348,0.340
1,Round,0.365,0.350
1,Round,0.332,0.325
1,Round,0.346,0.332
1,Round,0.314,0.299
1,Round,0.330,0.310
1,Round,0.321,0.298
1,Round,0.322,0.298
1,Round,0.350,0.327
1,Round,0.324,0.302
1,Round,0.347,0.312
1,Round,0.353,0.320
1,Round,0.347,0.311
1,Round,0.355,0.320
1,Round,0.355,0.318
1,Round,0.368,0.333
1,Round,0.364,0.326
1,Round,0.371,0.333
1,Round,0.364,0.332
1,Round,0.358,0.322
1,Round,0.357,0.319
1,Round,0.351,0.312
1,Round,0.355,0.317
1,Round,0.357,0.323
1,Round,0.330,0.300
1,Round,0.317,0.284
1,Almond,0.236,0.205
1,Almond,0.233,0.200
1,Almond,0.234,0.203
1,Almond,0.229,0.196
1,Almond,0.235,0.205
1,Round,0.281,0.251
1,Round,0.348,0.317
1,Round,0.316,0.283
1,Round,0.346,0.310
1,Round,0.347,0.312
1,Round,0.373,0.341
1,Round,0.376,0.341
1,Round,0.350,0.315
1,Round,0.365,0.329
1,Round,0.348,0.313
1,Round,0.370,0.331
1,Round,0.371,0.332
1,Round,0.360,0.327
1,Round,0.358,0.320
1,Round,0.364,0.325
1,Round,0.357,0.319
1,Round,0.360,0.321
1,Round,0.360,0.325
1,Round,0.361,0.322
1,Round,0.347,0.309
1,Round,0.352,0.315
1,Round,0.310,0.275
1,Round,0.307,0.268
1,Round,0.295,0.256
1,Almond,0.249,0.214
1,Round,0.252,0.215
1,Round,0.252,0.213
1,Round,0.269,0.233
1,Round,0.262,0.222
1,Round,0.272,0.240
1,Round,0.266,0.232
1,Round,0.283,0.248
1,Round,0.285,0.252
1,Round,0.296,0.263
1,Round,0.350,0.316
1,Round,0.342,0.306
1,Round,0.353,0.320
1,Round,0.371,0.330
1,Round,0.364,0.321
1,Round,0.362,0.327
1,Round,0.359,0.322
1,Round,0.361,0.319
1,Round,0.358,0.318
1,Round,0.385,0.346
1,Round,0.377,0.338
1,Round,0.382,0.343
1,Round,0.384,0.347
1,Round,0.381,0.345
1,Round,0.382,0.343
1,Round,0.376,0.338
1,Round,0.376,0.338
1,Round,0.387,0.348
1,Round,0.381,0.342
1,Round,0.317,0.280
1,Round,0.308,0.272
1,Round,0.298,0.262
1,Round,0.258,0.224
1,Round,0.256,0.222
1,Almond,0.235,0.200
1,Almond,0.235,0.202
1,Round,0.263,0.225
1,Round,0.259,0.226
1,Almond,0.248,0.212
1,Round,0.280,0.251
1,Round,0.269,0.238
1,Round,0.300,0.259
1,Round,0.306,0.269
1,Round,0.308,0.271
1,Round,0.381,0.348
1,Round,0.366,0.328
1,Round,0.379,0.342
1,Round,0.382,0.345
1,Round,0.380,0.340
1,Round,0.381,0.345
1,Round,0.383,0.346
1,Round,0.382,0.346
1,Round,0.381,0.344
1,Round,0.373,0.335
1,Round,0.377,0.343
1,Round,0.374,0.339
1,Round,0.376,0.342
1,Round,0.378,0.342
1,Round,0.369,0.331
1,Round,0.373,0.336
1,Round,0.368,0.336
1,Round,0.376,0.339
1,Round,0.375,0.338
1,Round,0.372,0.333
1,Round,0.375,0.338
1,Round,0.375,0.339
1,Round,0.361,0.327
1,Round,0.361,0.324
1,Round,0.376,0.338
1,Round,0.377,0.340
1,Round,0.361,0.325
1,Round,0.354,0.318
1,Round,0.300,0.267
1,Round,0.263,0.230
1,Round,0.256,0.222
1,Round,0.256,0.222
1,Round,0.260,0.225
1,Round,0.255,0.220
1,Almond,0.250,0.219
1,Round,0.251,0.219
1,Round,0.257,0.223
1,Round,0.260,0.227
1,Almond,0.249,0.212
1,Round,0.250,0.216
1,Round,0.268,0.238
1,Round,0.286,0.257
1,Round,0.296,0.266
1,Round,0.347,0.314
1,Round,0.346,0.313
1,Round,0.338,0.303
1,Round,0.368,0.335
1,Round,0.366,0.331
1,Round,0.377,0.336
1,Round,0.377,0.336
1,Round,0.369,0.331
1,Round,0.368,0.329
1,Round,0.369,0.330
1,Round,0.379,0.339
1,Round,0.379,0.338
1,Round,0.377,0.338
1,Round,0.384,0.347
1,Round,0.378,0.341
1,Round,0.375,0.339
1,Round,0.373,0.338
1,Round,0.370,0.334
1,Round,0.376,0.338
1,Round,0.380,0.343
1,Round,0.383,0.345
1,Round,0.362,0.323
1,Round,0.377,0.341
1,Round,0.372,0.335
1,Round,0.372,0.334
1,Round,0.330,0.297
1,Round,0.329,0.294
1,Round,0.281,0.244
1,Round,0.266,0.232
1,Round,0.276,0.239
1,Round,0.272,0.232
1,Round,0.261,0.224
1,Round,0.271,0.235
1,Round,0.283,0.250
1,Round,0.253,0.224
1,Round,0.275,0.244
1,Round,0.274,0.243
1,Round,0.281,0.245
1,Round,0.284,0.246
1,Round,0.303,0.269
1,Round,0.303,0.270
1,Round,0.355,0.315
1,Round,0.341,0.302
1,Round,0.373,0.337
1,Round,0.360,0.324
1,Round,0.365,0.329
1,Round,0.362,0.329
1,Round,0.374,0.339
1,Round,0.369,0.335
1,Round,0.373,0.337
1,Round,0.375,0.338
1,Round,0.382,0.342
1,Round,0.380,0.343
1,Round,0.379,0.343
1,Round,0.380,0.342
1,Round,0.375,0.338
1,Round,0.375,0.338
1,Round,0.381,0.345
1,Round,0.387,0.349
1,Round,0.389,0.354
1,Round,0.384,0.348
1,Round,0.372,0.334
1,Round,0.374,0.337
1,Round,0.380,0.344
1,Round,0.380,0.341
1,Round,0.379,0.343
1,Round,0.381,0.342
1,Round,0.277,0.249
1,Round,0.269,0.240
1,Round,0.282,0.246
1,Round,0.261,0.222
1,Round,0.266,0.229
1,Round,0.264,0.226
1,Round,0.281,0.242
1,Round,0.284,0.246
1,Round,0.273,0.240
1,Round,0.282,0.251
1,Round,0.310,0.276
1,Round,0.306,0.273
1,Round,0.356,0.318
1,Round,0.343,0.303
1,Round,0.362,0.327
1,Round,0.357,0.322
1,Round,0.370,0.330
1,Round,0.365,0.330
1,Round,0.389,0.354
1,Round,0.391,0.356
1,Round,0.386,0.350
1,Round,0.375,0.341
1,Round,0.381,0.349
1,Round,0.388,0.349
1,Round,0.396,0.363
1,Round,0.387,0.354
1,Round,0.382,0.350
1,Round,0.390,0.354
1,Round,0.385,0.351
1,Round,0.385,0.350
1,Round,0.377,0.344
1,Round,0.380,0.345
1,Round,0.379,0.343
1,Round,0.384,0.346
1,Round,0.312,0.282
1,Round,0.309,0.280
1,Round,0.282,0.240
1,Round,0.277,0.236
1,Round,0.270,0.236
1,Round,0.277,0.240
1,Round,0.286,0.249
1,Round,0.287,0.251
1,Round,0.306,0.263
1,Round,0.309,0.267
1,Round,0.351,0.312
1,Round,0.343,0.305
1,Round,0.371,0.333
1,Round,0.371,0.333
1,Round,0.394,0.354
1,Round,0.394,0.355
1,Round,0.384,0.347
1,Round,0.385,0.347
1,Round,0.374,0.337
1,Round,0.374,0.338
1,Round,0.382,0.343
1,Round,0.387,0.346
1,Round,0.383,0.342
1,Round,0.385,0.345
1,Round,0.384,0.344
1,Round,0.389,0.347
1,Round,0.389,0.347
1,Round,0.386,0.345
1,Round,0.387,0.347
1,Round,0.387,0.347
1,Round,0.389,0.349
1,Round,0.386,0.345
1,Round,0.392,0.352
1,Round,0.383,0.347
1,Round,0.389,0.355
1,Round,0.389,0.355
1,Round,0.397,0.358
1,Round,0.396,0.356
1,Round,0.406,0.367
1,Round,0.404,0.365
1,Round,0.332,0.295
1,Round,0.336,0.295
1,Round,0.285,0.247
1,Round,0.273,0.236
1,Round,0.278,0.246
1,Round,0.278,0.245
1,Round,0.269,0.238
1,Round,0.269,0.238
1,Round,0.275,0.241
1,Round,0.273,0.238
1,Round,0.283,0.247
1,Round,0.280,0.244
1,Round,0.285,0.247
1,Round,0.283,0.246
1,Round,0.290,0.255
1,Round,0.287,0.253
1,Round,0.319,0.285
1,Round,0.315,0.274
1,Round,0.368,0.330
1,Round,0.362,0.328
1,Round,0.386,0.349
1,Round,0.385,0.349
1,Round,0.396,0.356
1,Round,0.398,0.358
1,Round,0.397,0.359
1,Round,0.398,0.360
1,Round,0.389,0.350
1,Round,0.386,0.350
1,Round,0.387,0.348
1,Round,0.393,0.352
1,Round,0.398,0.360
1,Round,0.396,0.358
1,Round,0.395,0.359
1,Round,0.396,0.358
1,Round,0.406,0.367
1,Round,0.403,0.363
1,Round,0.403,0.365
1,Round,0.409,0.369
1,Round,0.392,0.353
1,Round,0.393,0.353
1,Round,0.313,0.280
1,Round,0.307,0.272
1,Round,0.277,0.236
1,Round,0.289,0.248
1,Round,0.288,0.253
1,Round,0.283,0.248
1,Round,0.276,0.239
1,Round,0.280,0.244
1,Round,0.290,0.251
1,Round,0.294,0.256
1,Round,0.293,0.256
1,Round,0.294,0.257
1,Round,0.331,0.290
1,Round,0.336,0.294
1,Round,0.359,0.320
1,Round,0.366,0.325
1,Round,0.373,0.333
1,Round,0.375,0.335
1,Round,0.385,0.344
1,Round,0.383,0.342
1,Round,0.378,0.340
1,Round,0.383,0.344
1,Round,0.386,0.346
1,Round,0.384,0.344
1,Round,0.392,0.349
1,Round,0.394,0.352
1,Round,0.390,0.353
1,Round,0.385,0.346
1,Round,0.390,0.350
1,Round,0.394,0.354
1,Round,0.393,0.354
1,Round,0.388,0.349
1,Round,0.385,0.347
1,Round,0.387,0.347
1,Round,0.361,0.317
1,Round,0.367,0.324
1,Round,0.291,0.255
1,Round,0.274,0.239
1,Round,0.264,0.223
1,Round,0.269,0.229
1,Round,0.263,0.223
1,Round,0.268,0.229
1,Round,0.272,0.236
1,Round,0.274,0.239
1,Round,0.278,0.237
1,Round,0.282,0.243
1,Round,0.275,0.236
1,Round,0.274,0.234
1,Round,0.299,0.260
1,Round,0.305,0.263
1,Round,0.330,0.288
1,Round,0.316,0.276
1,Round,0.374,0.335
1,Round,0.373,0.333
1,Round,0.379,0.340
1,Round,0.385,0.345
1,Round,0.384,0.343
1,Round,0.390,0.347
