person_id,eye_type,ear_value_left,ear_value_right
1,Round,0.740,0.339
1,Round,0.769,0.376
1,Round,0.694,0.362
1,Round,0.652,0.361
1,Round,0.627,0.355
1,Round,0.584,0.333
1,Round,0.576,0.346
1,Round,0.624,0.360
1,Round,0.449,0.279
1,Round,0.467,0.278
1,Round,0.290,0.197
1,Round,0.325,0.222
1,Round,0.288,0.229
1,Round,0.270,0.208
1,Round,0.308,0.252
1,Round,0.298,0.255
1,Round,0.254,0.238
1,Round,0.263,0.253
1,Round,0.286,0.277
1,Round,0.283,0.282
1,Round,0.297,0.295
1,Round,0.304,0.295
1,Round,0.305,0.318
1,Round,0.293,0.301
1,Round,0.323,0.334
1,Round,0.304,0.308
1,Round,0.312,0.309
1,Round,0.315,0.314
1,Round,0.318,0.302
1,Round,0.335,0.318
1,Round,0.322,0.305
1,Round,0.316,0.298
1,Round,0.348,0.329
1,Round,0.346,0.328
1,Round,0.362,0.337
1,Round,0.360,0.337
1,Round,0.339,0.313
1,Round,0.345,0.320
1,Round,0.335,0.316
1,Round,0.331,0.308
1,Round,0.324,0.307
1,Round,0.324,0.301
1,Round,0.323,0.300
1,Round,0.332,0.307
1,Round,0.305,0.284
1,Round,0.320,0.302
1,Round,0.263,0.245
1,Round,0.286,0.272
1,Round,0.271,0.254
1,Round,0.275,0.257
1,Round,0.312,0.291
1,Round,0.331,0.305
1,Round,0.357,0.330
1,Round,0.356,0.332
1,Round,0.364,0.339
1,Round,0.366,0.339
1,Round,0.366,0.341
1,Round,0.371,0.345
1,Round,0.353,0.329
1,Round,0.347,0.324
1,Round,0.285,0.263
1,Round,0.285,0.270
1,Almond,0.245,0.228
1,Round,0.257,0.240
1,Round,0.256,0.236
1,Round,0.261,0.243
1,Round,0.273,0.254
1,Round,0.274,0.261
1,Round,0.267,0.257
1,Round,0.347,0.331
1,Round,0.369,0.344
1,Round,0.356,0.333
1,Round,0.368,0.340
1,Round,0.372,0.348
1,Round,0.370,0.348
1,Round,0.371,0.348
1,Round,0.365,0.339
1,Round,0.362,0.337
1,Round,0.367,0.343
1,Round,0.369,0.343
1,Round,0.372,0.345
1,Round,0.351,0.328
1,Round,0.310,0.289
1,Round,0.324,0.302
1,Round,0.331,0.309
1,Round,0.347,0.326
1,Round,0.361,0.337
1,Round,0.364,0.342
1,Round,0.354,0.329
1,Round,0.357,0.331
1,Round,0.356,0.331
1,Round,0.353,0.326
1,Round,0.366,0.336
1,Round,0.360,0.336
1,Round,0.268,0.252
1,Round,0.289,0.273
1,Almond,0.246,0.233
1,Almond,0.244,0.228
1,Almond,0.244,0.228
1,Almond,0.246,0.228
1,Round,0.256,0.236
1,Round,0.258,0.238
1,Round,0.256,0.238
1,Round,0.276,0.261
1,Round,0.271,0.260
1,Round,0.343,0.326
1,Round,0.336,0.313
1,Round,0.329,0.303
1,Round,0.341,0.314
1,Round,0.333,0.308
1,Round,0.341,0.317
1,Round,0.342,0.318
1,Round,0.342,0.318
1,Round,0.357,0.331
1,Round,0.361,0.334
1,Round,0.358,0.333
1,Round,0.353,0.326
1,Round,0.361,0.335
1,Round,0.368,0.346
1,Round,0.372,0.349
1,Round,0.368,0.344
1,Round,0.372,0.348
1,Round,0.367,0.341
1,Round,0.367,0.342
1,Round,0.370,0.343
1,Round,0.259,0.243
1,Round,0.267,0.250
1,Almond,0.249,0.228
1,Round,0.256,0.238
1,Round,0.250,0.232
1,Almond,0.248,0.231
1,Round,0.251,0.232
1,Round,0.252,0.239
1,Almond,0.241,0.226
1,Round,0.275,0.259
1,Round,0.265,0.247
1,Round,0.260,0.242
1,Round,0.359,0.340
1,Round,0.357,0.330
1,Round,0.364,0.340
1,Round,0.362,0.338
1,Round,0.380,0.351
1,Round,0.372,0.346
1,Round,0.374,0.348
1,Round,0.376,0.348
1,Round,0.373,0.347
1,Round,0.370,0.345
1,Round,0.371,0.347
1,Round,0.372,0.349
1,Round,0.379,0.346
1,Round,0.395,0.369
1,Round,0.401,0.374
1,Round,0.401,0.374
1,Round,0.403,0.377
1,Round,0.400,0.370
1,Round,0.412,0.380
1,Round,0.282,0.258
1,Round,0.275,0.256
1,Round,0.285,0.267
1,Round,0.260,0.238
1,Round,0.256,0.234
1,Round,0.260,0.243
1,Round,0.264,0.248
1,Round,0.283,0.263
1,Round,0.289,0.270
1,Round,0.336,0.312
1,Round,0.363,0.337
1,Round,0.363,0.337
1,Round,0.376,0.349
1,Round,0.377,0.349
1,Round,0.378,0.349
1,Round,0.382,0.353
1,Round,0.381,0.352
1,Round,0.391,0.359
1,Round,0.389,0.357
1,Round,0.378,0.349
1,Round,0.376,0.347
1,Round,0.383,0.350
1,Round,0.390,0.358
1,Round,0.388,0.358
1,Round,0.389,0.359
1,Round,0.386,0.357
1,Round,0.385,0.355
1,Round,0.393,0.359
1,Round,0.395,0.361
1,Round,0.390,0.360
1,Round,0.388,0.357
1,Round,0.380,0.347
1,Round,0.379,0.345
1,Almond,0.248,0.226
1,Almond,0.238,0.215
1,Almond,0.247,0.224
1,Almond,0.248,0.225
1,Almond,0.249,0.229
1,Round,0.250,0.230
1,Round,0.258,0.245
1,Round,0.256,0.242
1,Round,0.304,0.283
1,Round,0.305,0.283
1,Round,0.331,0.307
1,Round,0.334,0.306
1,Round,0.365,0.334
1,Round,0.375,0.345
1,Round,0.379,0.347
1,Round,0.384,0.352
1,Round,0.384,0.351
1,Round,0.379,0.347
1,Round,0.371,0.336
1,Round,0.373,0.339
1,Round,0.367,0.335
1,Round,0.370,0.338
1,Round,0.378,0.342
1,Round,0.378,0.342
1,Round,0.380,0.347
1,Round,0.374,0.341
1,Round,0.383,0.352
1,Round,0.384,0.350
1,Round,0.361,0.329
1,Round,0.360,0.328
1,Almond,0.248,0.223
1,Almond,0.235,0.218
1,Almond,0.239,0.220
1,Almond,0.237,0.219
1,Almond,0.235,0.215
1,Almond,0.235,0.216
1,Almond,0.231,0.212
1,Almond,0.231,0.210
1,Almond,0.228,0.210
1,Almond,0.226,0.208
1,Round,0.256,0.236
1,Round,0.258,0.238
1,Round,0.330,0.303
1,Round,0.334,0.302
1,Round,0.345,0.317
1,Round,0.349,0.318
1,Round,0.375,0.339
1,Round,0.373,0.337
1,Round,0.371,0.335
1,Round,0.363,0.329
1,Round,0.371,0.339
1,Round,0.366,0.334
1,Round,0.377,0.341
1,Round,0.378,0.342
1,Round,0.367,0.330
1,Round,0.371,0.333
1,Round,0.381,0.345
1,Round,0.380,0.344
1,Round,0.385,0.349
1,Round,0.383,0.347
1,Round,0.293,0.267
1,Round,0.288,0.263
1,Round,0.255,0.240
1,Almond,0.247,0.231
1,Almond,0.244,0.224
1,Almond,0.246,0.228
1,Almond,0.237,0.218
1,Almond,0.232,0.216
1,Almond,0.239,0.224
1,Almond,0.238,0.223
1,Round,0.261,0.244
1,Round,0.264,0.249
1,Round,0.324,0.300
1,Round,0.332,0.304
1,Round,0.354,0.330
1,Round,0.355,0.329
1,Round,0.362,0.334
1,Round,0.363,0.333
1,Round,0.363,0.332
1,Round,0.366,0.333
1,Round,0.362,0.329
1,Round,0.367,0.334
1,Round,0.372,0.339
1,Round,0.366,0.335
1,Round,0.374,0.339
1,Round,0.373,0.339
1,Round,0.376,0.345
1,Round,0.376,0.347
1,Round,0.381,0.348
1,Round,0.374,0.343
1,Round,0.382,0.350
1,Round,0.376,0.343
1,Round,0.377,0.348
1,Round,0.380,0.351
1,Round,0.353,0.322
1,Round,0.351,0.319
1,Almond,0.245,0.220
1,Almond,0.250,0.233
1,Almond,0.240,0.223
1,Almond,0.247,0.227
