person_id,eye_type,ear_value_left,ear_value_right
1,Round,0.344,0.326
1,Round,0.408,0.385
1,Round,0.388,0.359
1,Round,0.408,0.376
1,Round,0.390,0.363
1,Round,0.393,0.367
1,Round,0.368,0.342
1,Round,0.370,0.346
1,Round,0.359,0.337
1,Round,0.367,0.344
1,Round,0.328,0.303
1,Round,0.333,0.312
1,Round,0.332,0.311
1,Round,0.337,0.317
1,Round,0.313,0.292
1,Round,0.313,0.294
1,Round,0.303,0.279
1,Round,0.310,0.290
1,Round,0.303,0.282
1,Round,0.304,0.284
1,Round,0.297,0.280
1,Round,0.295,0.278
1,Round,0.300,0.282
1,Round,0.292,0.271
1,Almond,0.250,0.244
1,Almond,0.243,0.235
1,Round,0.272,0.268
1,Round,0.265,0.261
1,Round,0.321,0.309
1,Round,0.291,0.276
1,Round,0.322,0.300
1,Round,0.331,0.307
1,Round,0.332,0.310
1,Round,0.334,0.311
1,Round,0.327,0.305
1,Round,0.340,0.321
1,Round,0.325,0.301
1,Round,0.330,0.308
1,Round,0.325,0.302
1,Round,0.329,0.309
1,Round,0.327,0.305
1,Round,0.328,0.309
1,Round,0.316,0.288
1,Round,0.332,0.306
1,Round,0.319,0.295
1,Round,0.327,0.306
1,Round,0.336,0.314
1,Round,0.354,0.333
1,Round,0.340,0.318
1,Round,0.347,0.327
1,Round,0.353,0.330
1,Round,0.371,0.349
1,Round,0.365,0.346
1,Round,0.357,0.338
1,Round,0.352,0.330
1,Round,0.357,0.334
1,Round,0.362,0.339
1,Round,0.283,0.273
1,Round,0.258,0.242
1,Round,0.251,0.231
1,Round,0.287,0.276
1,Round,0.277,0.263
1,Round,0.317,0.295
1,Round,0.325,0.304
1,Round,0.342,0.318
1,Round,0.341,0.317
1,Round,0.371,0.347
1,Round,0.360,0.337
1,Round,0.362,0.340
1,Round,0.381,0.359
1,Round,0.379,0.355
1,Round,0.373,0.349
1,Round,0.371,0.347
1,Round,0.364,0.340
1,Round,0.376,0.352
1,Round,0.373,0.348
1,Round,0.375,0.350
1,Round,0.363,0.339
1,Round,0.377,0.350
1,Round,0.375,0.348
1,Round,0.372,0.345
1,Round,0.393,0.363
1,Round,0.393,0.365
1,Round,0.389,0.358
1,Round,0.397,0.363
1,Round,0.402,0.366
1,Round,0.409,0.378
1,Round,0.403,0.373
1,Round,0.397,0.363
1,Round,0.397,0.365
1,Round,0.398,0.365
1,Round,0.395,0.366
1,Round,0.387,0.357
1,Round,0.394,0.360
1,Round,0.399,0.367
1,Round,0.404,0.372
1,Round,0.404,0.373
1,Round,0.407,0.376
1,Round,0.412,0.375
1,Round,0.416,0.379
1,Round,0.409,0.375
1,Round,0.412,0.377
1,Round,0.407,0.373
1,Round,0.399,0.368
1,Round,0.402,0.371
1,Round,0.407,0.376
1,Round,0.403,0.370
1,Round,0.406,0.376
1,Round,0.407,0.375
1,Round,0.406,0.372
1,Round,0.409,0.378
1,Round,0.410,0.380
1,Round,0.399,0.370
1,Round,0.397,0.368
1,Round,0.400,0.371
1,Round,0.403,0.373
1,Round,0.407,0.377
1,Round,0.404,0.374
1,Round,0.401,0.370
1,Round,0.405,0.373
1,Round,0.406,0.376
1,Round,0.412,0.380
1,Round,0.406,0.376
1,Round,0.412,0.381
1,Round,0.417,0.385
1,Round,0.426,0.394
1,Round,0.426,0.395
1,Round,0.428,0.398
1,Round,0.429,0.398
1,Round,0.415,0.386
1,Round,0.398,0.369
1,Round,0.398,0.369
