person_id,eye_type,ear_value_left,ear_value_right
1,Round,0.412,0.410
1,Round,0.394,0.379
1,Round,0.398,0.385
1,Round,0.401,0.389
1,Round,0.416,0.400
1,Round,0.417,0.396
1,Round,0.406,0.387
1,Round,0.402,0.383
1,Round,0.418,0.403
1,Round,0.403,0.387
1,Round,0.401,0.382
1,Round,0.400,0.384
1,Round,0.339,0.309
1,Round,0.333,0.309
1,Round,0.309,0.286
1,Round,0.304,0.281
1,Round,0.358,0.330
1,Round,0.348,0.324
1,Round,0.376,0.350
1,Round,0.370,0.348
1,Round,0.398,0.365
1,Round,0.392,0.368
1,Round,0.355,0.328
1,Round,0.390,0.364
1,Round,0.387,0.368
1,Round,0.381,0.361
1,Round,0.366,0.346
1,Round,0.378,0.351
1,Round,0.411,0.374
1,Round,0.396,0.361
1,Round,0.393,0.363
1,Round,0.401,0.369
1,Round,0.402,0.368
1,Round,0.406,0.369
1,Round,0.397,0.358
1,Round,0.423,0.381
1,Round,0.407,0.369
1,Round,0.398,0.359
1,Round,0.411,0.366
1,Round,0.424,0.385
1,Round,0.413,0.381
1,Round,0.417,0.382
1,Round,0.441,0.410
1,Round,0.426,0.389
1,Round,0.434,0.403
1,Round,0.424,0.389
1,Round,0.448,0.409
1,Round,0.417,0.381
1,Round,0.412,0.369
1,Round,0.399,0.362
1,Round,0.338,0.288
1,Round,0.336,0.298
1,Round,0.334,0.287
1,Round,0.329,0.286
1,Round,0.347,0.306
1,Round,0.339,0.294
1,Round,0.328,0.285
1,Round,0.401,0.360
1,Round,0.411,0.373
1,Round,0.396,0.361
1,Round,0.420,0.387
1,Round,0.424,0.387
1,Round,0.421,0.391
1,Round,0.424,0.397
1,Round,0.396,0.369
1,Round,0.406,0.376
1,Round,0.405,0.381
1,Round,0.413,0.386
1,Round,0.413,0.387
1,Round,0.411,0.387
1,Round,0.414,0.388
1,Round,0.409,0.382
1,Round,0.416,0.388
1,Round,0.417,0.386
1,Round,0.416,0.389
1,Round,0.419,0.396
1,Round,0.412,0.386
1,Round,0.410,0.385
1,Round,0.404,0.378
1,Round,0.403,0.378
1,Round,0.404,0.379
1,Round,0.405,0.379
1,Round,0.415,0.388
1,Round,0.412,0.386
1,Round,0.398,0.368
1,Round,0.407,0.379
1,Round,0.375,0.341
1,Round,0.380,0.353
1,Round,0.340,0.306
1,Round,0.345,0.304
1,Round,0.342,0.307
1,Round,0.333,0.293
1,Round,0.324,0.285
1,Round,0.340,0.299
1,Round,0.362,0.323
1,Round,0.364,0.327
1,Round,0.374,0.333
1,Round,0.376,0.339
1,Round,0.393,0.360
1,Round,0.386,0.354
1,Round,0.409,0.378
1,Round,0.413,0.380
1,Round,0.406,0.372
1,Round,0.396,0.362
1,Round,0.401,0.370
1,Round,0.414,0.384
1,Round,0.392,0.361
1,Round,0.387,0.359
1,Round,0.404,0.369
1,Round,0.405,0.370
1,Round,0.394,0.358
1,Round,0.401,0.365
1,Round,0.404,0.369
1,Round,0.407,0.371
1,Round,0.409,0.372
1,Round,0.409,0.377
1,Round,0.406,0.369
1,Round,0.404,0.369
1,Round,0.404,0.370
1,Round,0.417,0.385
1,Round,0.417,0.386
1,Round,0.415,0.380
1,Round,0.388,0.351
1,Round,0.383,0.343
1,Round,0.381,0.346
1,Round,0.327,0.277
1,Round,0.336,0.285
1,Round,0.341,0.301
1,Round,0.330,0.290
1,Round,0.368,0.330
1,Round,0.398,0.361
1,Round,0.393,0.357
1,Round,0.394,0.358
1,Round,0.401,0.374
1,Round,0.401,0.370
1,Round,0.415,0.383
1,Round,0.410,0.377
1,Round,0.420,0.386
1,Round,0.418,0.383
1,Round,0.400,0.365
1,Round,0.402,0.368
1,Round,0.412,0.383
1,Round,0.406,0.373
1,Round,0.400,0.366
1,Round,0.417,0.383
1,Round,0.401,0.368
1,Round,0.399,0.364
1,Round,0.398,0.361
1,Round,0.404,0.371
1,Round,0.413,0.379
1,Round,0.407,0.372
1,Round,0.420,0.388
1,Round,0.426,0.391
1,Round,0.408,0.376
1,Round,0.394,0.352
1,Round,0.392,0.354
1,Round,0.333,0.289
1,Round,0.341,0.298
1,Round,0.332,0.288
1,Round,0.310,0.261
1,Round,0.318,0.270
1,Round,0.337,0.294
1,Round,0.330,0.283
1,Round,0.354,0.311
1,Round,0.360,0.319
1,Round,0.386,0.343
1,Round,0.395,0.357
1,Round,0.393,0.360
1,Round,0.407,0.368
1,Round,0.414,0.379
1,Round,0.412,0.378
1,Round,0.415,0.382
1,Round,0.408,0.373
1,Round,0.394,0.362
1,Round,0.368,0.339
1,Round,0.384,0.356
1,Round,0.394,0.364
1,Round,0.361,0.331
1,Round,0.389,0.358
1,Round,0.386,0.351
1,Round,0.391,0.352
1,Round,0.361,0.330
1,Round,0.370,0.338
1,Round,0.364,0.339
1,Round,0.382,0.361
1,Round,0.366,0.346
1,Round,0.390,0.376
1,Round,0.330,0.327
1,Round,0.407,0.406
1,Round,0.373,0.403
1,Round,0.384,0.423
1,Round,0.431,0.476
1,Round,0.427,0.469
1,Round,0.360,0.401
1,Round,0.380,0.420
1,Round,0.336,0.369
1,Round,0.363,0.396
1,Round,0.361,0.384
1,Round,0.391,0.421
1,Round,0.363,0.385
1,Round,0.380,0.401
1,Round,0.370,0.379
1,Round,0.345,0.334
1,Round,0.365,0.365
1,Round,0.371,0.376
1,Round,0.362,0.353
1,Round,0.380,0.367
1,Round,0.381,0.360
1,Round,0.407,0.390
1,Round,0.402,0.373
1,Round,0.391,0.358
1,Round,0.402,0.370
1,Round,0.403,0.368
1,Round,0.416,0.375
1,Round,0.405,0.365
1,Round,0.423,0.387
1,Round,0.391,0.346
1,Round,0.438,0.401
1,Round,0.405,0.363
1,Round,0.429,0.383
1,Round,0.428,0.379
1,Round,0.449,0.398
1,Round,0.453,0.402
1,Round,0.438,0.391
1,Round,0.453,0.402
1,Round,0.432,0.382
1,Round,0.435,0.387
1,Round,0.346,0.304
1,Round,0.354,0.313
1,Round,0.353,0.304
1,Round,0.359,0.313
1,Round,0.381,0.337
1,Round,0.386,0.342
1,Round,0.378,0.334
1,Round,0.387,0.342
1,Round,0.408,0.363
1,Round,0.387,0.342
1,Round,0.407,0.360
1,Round,0.415,0.369
1,Round,0.416,0.369
1,Round,0.407,0.361
1,Round,0.427,0.383
1,Round,0.409,0.366
1,Round,0.396,0.361
1,Round,0.409,0.378
1,Round,0.396,0.365
1,Round,0.399,0.364
1,Round,0.413,0.386
1,Round,0.424,0.395
1,Round,0.424,0.389
1,Round,0.403,0.368
1,Round,0.407,0.371
1,Round,0.414,0.381
1,Round,0.414,0.384
1,Round,0.421,0.390
1,Round,0.402,0.368
1,Round,0.406,0.372
1,Round,0.332,0.287
1,Round,0.344,0.296
1,Round,0.342,0.294
1,Round,0.355,0.311
1,Round,0.333,0.293
1,Round,0.336,0.297
1,Round,0.374,0.331
1,Round,0.358,0.312
1,Round,0.408,0.367
1,Round,0.381,0.339
1,Round,0.382,0.341
1,Round,0.373,0.333
1,Round,0.382,0.346
1,Round,0.382,0.347
1,Round,0.390,0.353
1,Round,0.387,0.348
1,Round,0.407,0.367
1,Round,0.391,0.354
1,Round,0.405,0.365
1,Round,0.380,0.343
1,Round,0.402,0.363
1,Round,0.393,0.355
1,Round,0.398,0.360
1,Round,0.382,0.341
1,Round,0.401,0.359
1,Round,0.406,0.367
1,Round,0.410,0.373
1,Round,0.391,0.355
1,Round,0.403,0.367
1,Round,0.404,0.364
1,Round,0.406,0.369
1,Round,0.398,0.357
1,Round,0.397,0.356
1,Round,0.421,0.380
1,Round,0.392,0.352
1,Round,0.400,0.361
1,Round,0.395,0.357
1,Round,0.418,0.382
1,Round,0.332,0.284
1,Round,0.370,0.323
1,Round,0.322,0.282
1,Round,0.341,0.299
1,Round,0.328,0.290
1,Round,0.347,0.307
1,Round,0.367,0.324
1,Round,0.364,0.321
1,Round,0.373,0.331
1,Round,0.381,0.335
1,Round,0.392,0.348
1,Round,0.416,0.376
