person_id,eye_type,ear_value_left,ear_value_right
1,Round,0.349,0.385
1,Round,0.255,0.267
1,Round,0.346,0.377
1,Round,0.358,0.384
1,Round,0.372,0.401
1,Round,0.356,0.383
1,Round,0.366,0.391
1,Round,0.355,0.379
1,Round,0.372,0.401
1,Round,0.345,0.367
1,Round,0.360,0.386
1,Round,0.352,0.378
1,Round,0.359,0.385
1,Round,0.353,0.378
1,Round,0.353,0.379
1,Round,0.357,0.380
1,Round,0.358,0.383
1,Round,0.357,0.380
1,Round,0.356,0.376
1,Round,0.362,0.385
1,Round,0.366,0.389
1,Round,0.365,0.391
1,Round,0.367,0.393
1,Round,0.355,0.374
1,Round,0.355,0.373
1,Round,0.342,0.361
1,Round,0.353,0.371
1,Round,0.356,0.373
1,Round,0.360,0.375
1,Round,0.360,0.382
1,Round,0.353,0.377
1,Round,0.351,0.366
1,Round,0.350,0.364
1,Round,0.362,0.381
1,Round,0.355,0.376
1,Round,0.344,0.363
1,Round,0.355,0.377
1,Round,0.362,0.389
1,Round,0.362,0.388
1,Round,0.352,0.390
1,Round,0.368,0.392
1,Round,0.359,0.398
1,Round,0.362,0.391
1,Round,0.311,0.352
1,Round,0.341,0.368
1,Round,0.326,0.365
1,Round,0.338,0.365
1,Round,0.341,0.369
1,Round,0.344,0.367
1,Round,0.368,0.393
1,Round,0.368,0.389
1,Round,0.372,0.386
1,Round,0.378,0.394
1,Round,0.371,0.387
1,Round,0.383,0.399
1,Round,0.360,0.374
1,Round,0.386,0.397
1,Round,0.397,0.409
1,Round,0.392,0.406
1,Round,0.377,0.386
1,Round,0.372,0.381
1,Round,0.361,0.377
1,Round,0.377,0.391
1,Round,0.376,0.383
1,Round,0.376,0.386
1,Round,0.376,0.386
1,Round,0.386,0.398
1,Round,0.375,0.384
1,Round,0.390,0.401
1,Almond,0.224,0.225
1,Almond,0.229,0.226
1,Almond,0.218,0.218
1,Almond,0.223,0.222
1,Almond,0.205,0.204
1,Almond,0.217,0.214
1,Almond,0.220,0.217
1,Almond,0.203,0.200
1,Almond,0.205,0.203
1,Almond,0.211,0.212
1,Round,0.263,0.266
1,Round,0.260,0.267
1,Round,0.315,0.318
1,Round,0.319,0.322
1,Round,0.382,0.390
1,Round,0.376,0.384
1,Round,0.385,0.395
1,Round,0.380,0.392
1,Round,0.378,0.390
1,Round,0.371,0.383
1,Round,0.384,0.391
1,Round,0.381,0.389
1,Round,0.392,0.399
1,Round,0.389,0.396
1,Round,0.372,0.385
1,Round,0.381,0.389
1,Round,0.375,0.381
1,Round,0.381,0.386
1,Round,0.386,0.396
1,Round,0.380,0.390
1,Round,0.382,0.391
1,Round,0.380,0.386
1,Round,0.374,0.383
1,Round,0.382,0.387
1,Round,0.279,0.285
