person_id,eye_type,ear_value_left,ear_value_right
2,Round,0.429,0.425
2,Round,0.470,0.443
2,Round,0.451,0.429
2,Round,0.454,0.431
2,Round,0.452,0.429
2,Round,0.449,0.425
2,Round,0.453,0.429
2,Round,0.457,0.435
2,Round,0.461,0.439
2,Round,0.463,0.439
2,Round,0.456,0.432
2,Round,0.467,0.441
2,Round,0.466,0.439
2,Round,0.465,0.442
2,Round,0.466,0.441
2,Round,0.467,0.440
2,Round,0.467,0.443
2,Round,0.473,0.446
2,Round,0.466,0.439
2,Round,0.467,0.438
2,Round,0.468,0.441
2,Round,0.466,0.437
2,Round,0.466,0.437
2,Round,0.471,0.441
2,Round,0.470,0.441
2,Round,0.465,0.437
2,Round,0.462,0.437
2,Round,0.464,0.437
2,Round,0.464,0.438
2,Round,0.462,0.434
2,Round,0.460,0.434
2,Round,0.420,0.398
2,Round,0.317,0.304
2,Round,0.283,0.272
2,Round,0.276,0.261
2,Round,0.348,0.325
2,Round,0.413,0.390
2,Round,0.448,0.422
2,Round,0.451,0.425
2,Round,0.462,0.435
2,Round,0.462,0.436
2,Round,0.458,0.432
2,Round,0.459,0.432
2,Round,0.461,0.433
2,Round,0.464,0.438
2,Round,0.469,0.439
2,Round,0.461,0.436
2,Round,0.466,0.437
2,Round,0.469,0.441
2,Round,0.467,0.439
2,Round,0.466,0.440
2,Round,0.465,0.439
2,Round,0.462,0.436
2,Round,0.467,0.438
2,Round,0.468,0.438
2,Round,0.458,0.432
2,Round,0.467,0.439
2,Round,0.466,0.440
2,Round,0.468,0.442
2,Round,0.465,0.438
2,Round,0.457,0.433
2,Round,0.459,0.433
2,Round,0.455,0.430
2,Round,0.456,0.431
2,Round,0.453,0.427
2,Round,0.457,0.431
2,Round,0.458,0.433
2,Round,0.461,0.435
2,Round,0.463,0.437
2,Round,0.461,0.435
2,Round,0.381,0.359
2,Round,0.297,0.283
2,Round,0.290,0.273
2,Round,0.289,0.275
2,Round,0.328,0.309
2,Round,0.392,0.368
2,Round,0.446,0.418
2,Round,0.450,0.424
2,Round,0.459,0.432
2,Round,0.455,0.431
2,Round,0.465,0.437
2,Round,0.458,0.431
2,Round,0.463,0.435
2,Round,0.465,0.439
2,Round,0.468,0.441
2,Round,0.462,0.434
2,Round,0.455,0.429
2,Round,0.457,0.430
2,Round,0.457,0.430
2,Round,0.462,0.434
2,Round,0.459,0.432
2,Round,0.462,0.434
2,Round,0.456,0.429
2,Round,0.454,0.427
2,Round,0.455,0.425
2,Round,0.459,0.429
2,Round,0.458,0.430
2,Round,0.454,0.430
2,Round,0.467,0.437
2,Round,0.454,0.428
2,Round,0.449,0.422
2,Round,0.340,0.321
2,Round,0.290,0.275
2,Round,0.367,0.345
2,Round,0.410,0.387
2,Round,0.416,0.389
2,Round,0.435,0.411
2,Round,0.446,0.421
2,Round,0.446,0.421
2,Round,0.443,0.418
2,Round,0.453,0.426
2,Round,0.456,0.429
2,Round,0.452,0.426
2,Round,0.450,0.424
2,Round,0.462,0.435
2,Round,0.454,0.427
2,Round,0.454,0.426
2,Round,0.454,0.427
2,Round,0.458,0.431
