person_id,eye_type,ear_value_left,ear_value_right
1,Round,0.560,0.345
1,Round,0.483,0.322
1,Round,0.484,0.319
1,Round,0.465,0.303
1,Round,0.437,0.284
1,Round,0.472,0.298
1,Round,0.476,0.299
1,Round,0.469,0.296
1,Round,0.469,0.299
1,Round,0.504,0.315
1,Round,0.477,0.302
1,Round,0.465,0.295
1,Round,0.472,0.298
1,Round,0.474,0.299
1,Round,0.489,0.314
1,Round,0.507,0.322
1,Round,0.496,0.320
1,Round,0.488,0.317
1,Round,0.497,0.326
1,Round,0.463,0.316
1,Round,0.474,0.318
1,Round,0.488,0.321
1,Round,0.501,0.328
1,Round,0.518,0.330
1,Round,0.520,0.327
1,Round,0.529,0.330
1,Round,0.521,0.326
1,Round,0.520,0.324
1,Round,0.534,0.342
1,Round,0.544,0.343
1,Round,0.474,0.308
1,Round,0.446,0.304
1,Round,0.472,0.321
1,Round,0.499,0.331
1,Round,0.510,0.336
1,Round,0.492,0.324
1,Round,0.487,0.325
1,Round,0.492,0.327
1,Round,0.492,0.321
1,Round,0.482,0.314
1,Round,0.471,0.302
1,Round,0.456,0.296
1,Round,0.290,0.199
1,Round,0.297,0.206
1,Round,0.296,0.231
1,Round,0.289,0.223
1,Round,0.322,0.274
1,Round,0.307,0.259
1,Round,0.366,0.330
1,Round,0.343,0.308
1,Round,0.340,0.319
1,Round,0.338,0.318
1,Round,0.371,0.349
1,Round,0.364,0.345
1,Round,0.367,0.351
1,Round,0.364,0.348
1,Round,0.364,0.348
1,Round,0.380,0.355
1,Round,0.374,0.355
1,Round,0.377,0.356
1,Round,0.352,0.334
1,Round,0.356,0.338
1,Round,0.356,0.344
1,Round,0.359,0.345
1,Round,0.344,0.330
1,Round,0.371,0.362
1,Round,0.362,0.361
1,Round,0.379,0.374
1,Round,0.360,0.364
1,Round,0.382,0.370
1,Round,0.370,0.377
1,Round,0.399,0.389
1,Round,0.365,0.374
1,Round,0.397,0.403
1,Round,0.359,0.363
1,Round,0.392,0.391
1,Round,0.382,0.385
1,Round,0.398,0.403
1,Round,0.389,0.390
1,Round,0.411,0.414
1,Round,0.409,0.413
1,Round,0.368,0.376
1,Round,0.352,0.357
1,Round,0.381,0.381
1,Round,0.370,0.367
1,Round,0.395,0.392
1,Round,0.385,0.380
1,Round,0.394,0.390
1,Round,0.413,0.406
1,Round,0.396,0.388
1,Round,0.399,0.393
1,Round,0.397,0.399
1,Round,0.396,0.398
1,Round,0.393,0.397
1,Round,0.386,0.391
1,Round,0.379,0.385
1,Round,0.383,0.389
1,Round,0.381,0.387
1,Round,0.373,0.377
1,Round,0.380,0.385
1,Round,0.360,0.374
1,Round,0.363,0.375
1,Round,0.363,0.375
1,Round,0.357,0.373
1,Round,0.359,0.369
1,Round,0.365,0.378
1,Round,0.374,0.390
1,Round,0.379,0.396
1,Round,0.367,0.391
1,Round,0.369,0.388
1,Round,0.377,0.399
1,Round,0.386,0.405
1,Round,0.376,0.401
1,Round,0.388,0.414
1,Round,0.385,0.412
1,Round,0.372,0.391
1,Round,0.373,0.392
1,Round,0.365,0.387
1,Round,0.390,0.407
1,Round,0.381,0.401
1,Round,0.360,0.382
1,Round,0.367,0.384
1,Round,0.310,0.331
1,Round,0.308,0.328
1,Round,0.304,0.322
1,Round,0.324,0.341
1,Round,0.325,0.345
1,Round,0.312,0.332
1,Round,0.309,0.329
1,Almond,0.215,0.220
1,Round,0.265,0.280
1,Round,0.268,0.283
1,Round,0.347,0.364
1,Round,0.340,0.356
1,Round,0.364,0.380
1,Round,0.362,0.376
1,Round,0.361,0.374
1,Round,0.370,0.387
1,Round,0.373,0.390
1,Round,0.365,0.386
1,Round,0.365,0.385
1,Round,0.378,0.397
1,Round,0.370,0.392
1,Round,0.358,0.385
1,Round,0.378,0.397
1,Round,0.376,0.395
1,Round,0.376,0.395
1,Round,0.376,0.394
1,Round,0.374,0.393
1,Round,0.377,0.397
1,Round,0.379,0.402
1,Round,0.375,0.395
1,Round,0.376,0.393
1,Round,0.377,0.398
1,Round,0.353,0.373
1,Round,0.351,0.370
1,Almond,0.196,0.202
1,Almond,0.208,0.211
1,Almond,0.211,0.215
1,Almond,0.205,0.208
1,Almond,0.211,0.216
1,Round,0.291,0.305
1,Round,0.289,0.303
1,Round,0.328,0.341
1,Round,0.322,0.336
1,Round,0.357,0.371
1,Round,0.363,0.376
1,Round,0.364,0.379
1,Round,0.355,0.368
1,Round,0.353,0.366
1,Round,0.353,0.367
1,Round,0.366,0.382
1,Round,0.370,0.386
1,Round,0.361,0.372
1,Round,0.364,0.375
1,Round,0.358,0.369
1,Round,0.359,0.369
1,Round,0.372,0.383
1,Round,0.375,0.388
1,Round,0.381,0.394
1,Round,0.381,0.394
1,Round,0.381,0.396
1,Round,0.372,0.389
1,Round,0.375,0.393
