person_id,eye_type,ear_value_left,ear_value_right
1,Round,0.375,0.360
1,Round,0.402,0.392
1,Round,0.377,0.372
1,Round,0.385,0.389
1,Round,0.372,0.374
1,Round,0.374,0.365
1,Round,0.374,0.365
1,Round,0.395,0.390
1,Round,0.387,0.384
1,Round,0.376,0.370
1,Round,0.376,0.369
1,Round,0.366,0.362
1,Round,0.366,0.360
1,Round,0.372,0.365
1,Round,0.353,0.349
1,Round,0.378,0.376
1,Round,0.370,0.370
1,Round,0.370,0.361
1,Round,0.374,0.365
1,Round,0.372,0.370
1,Round,0.371,0.370
1,Round,0.355,0.353
1,Round,0.356,0.353
1,Round,0.373,0.368
1,Round,0.374,0.371
1,Round,0.369,0.370
1,Round,0.380,0.377
1,Round,0.372,0.373
1,Round,0.377,0.379
1,Round,0.250,0.250
1,Round,0.262,0.258
1,Almond,0.203,0.193
1,Almond,0.210,0.199
1,Almond,0.185,0.176
1,Almond,0.186,0.178
1,Round,0.250,0.253
1,Round,0.254,0.257
1,Round,0.343,0.345
1,Round,0.318,0.323
1,Round,0.353,0.350
1,Round,0.344,0.345
1,Round,0.335,0.338
1,Round,0.334,0.338
1,Round,0.353,0.360
1,Round,0.358,0.367
1,Round,0.362,0.369
1,Round,0.359,0.367
1,Round,0.360,0.370
1,Round,0.364,0.373
1,Round,0.355,0.360
1,Round,0.362,0.366
1,Round,0.371,0.376
1,Round,0.363,0.370
1,Round,0.361,0.368
1,Round,0.361,0.368
1,Round,0.358,0.365
1,Round,0.355,0.360
1,Round,0.361,0.365
1,Round,0.366,0.372
1,Round,0.362,0.366
1,Round,0.357,0.359
1,Round,0.349,0.351
1,Round,0.345,0.348
1,Round,0.350,0.357
1,Round,0.347,0.355
1,Round,0.348,0.355
1,Round,0.348,0.351
1,Round,0.366,0.373
1,Round,0.362,0.368
1,Round,0.355,0.360
1,Round,0.356,0.362
1,Round,0.366,0.375
1,Round,0.359,0.364
1,Round,0.359,0.366
1,Round,0.361,0.365
