person_id,eye_type,ear_value_left,ear_value_right
1,Round,0.368,0.369
1,Round,0.359,0.362
1,Round,0.374,0.38
1,Round,0.365,0.374
1,Round,0.359,0.37
1,Round,0.362,0.371
1,Round,0.353,0.364
1,Round,0.366,0.375
1,Round,0.372,0.383
1,Round,0.372,0.383
1,Round,0.354,0.362
1,Round,0.352,0.36
1,Round,0.349,0.359
1,Round,0.352,0.36
1,Round,0.332,0.34
1,Round,0.328,0.336
1,Round,0.347,0.352
1,Round,0.345,0.35
1,Round,0.339,0.349
1,Round,0.333,0.343
1,Round,0.337,0.345
1,Round,0.345,0.352
1,Round,0.342,0.352
1,Round,0.342,0.348
1,Round,0.338,0.346
1,Round,0.343,0.349
1,Round,0.355,0.359
1,Round,0.375,0.374
1,Round,0.362,0.361
1,Round,0.377,0.371
1,Round,0.342,0.344
1,Round,0.374,0.372
1,Round,0.353,0.351
1,Round,0.374,0.371
1,Round,0.354,0.356
1,Round,0.364,0.364
1,Round,0.373,0.369
1,Round,0.377,0.375
1,Round,0.356,0.357
1,Round,0.373,0.375
1,Round,0.359,0.359
1,Round,0.384,0.38
1,Round,0.34,0.337
1,Round,0.356,0.349
1,Round,0.349,0.344
1,Round,0.369,0.365
1,Round,0.353,0.351
1,Round,0.377,0.37
1,Round,0.37,0.369
1,Round,0.376,0.373
1,Round,0.382,0.376
1,Round,0.393,0.387
1,Round,0.355,0.355
1,Round,0.39,0.386
1,Almond,0.23,0.229
1,Almond,0.245,0.246
1,Almond,0.247,0.243
1,Almond,0.231,0.243
1,Almond,0.196,0.2
1,Almond,0.213,0.214
1,Round,0.307,0.296
1,Round,0.301,0.291
1,Round,0.347,0.335
1,Round,0.34,0.336
1,Round,0.335,0.324
1,Round,0.33,0.322
1,Round,0.259,0.26
1,Round,0.264,0.261
1,Round,0.261,0.256
1,Almond,0.203,0.201
1,Almond,0.21,0.213
1,Almond,0.202,0.205
1,Almond,0.223,0.228
1,Almond,0.212,0.218
1,Almond,0.223,0.229
1,Almond,0.212,0.217
1,Round,0.269,0.261
1,Round,0.264,0.253
1,Round,0.26,0.25
1,Round,0.365,0.351
1,Round,0.377,0.362
1,Round,0.394,0.377
1,Round,0.261,0.254
1,Round,0.264,0.256
1,Almond,0.205,0.205
1,Almond,0.203,0.201
1,Almond,0.231,0.242
1,Almond,0.225,0.235
1,Almond,0.212,0.215
1,Almond,0.209,0.211
1,Almond,0.211,0.213
1,Almond,0.246,0.237
1,Almond,0.241,0.235
1,Round,0.366,0.35
1,Round,0.317,0.3
1,Round,0.33,0.316
1,Almond,0.222,0.215
1,Almond,0.207,0.202
1,Almond,0.222,0.213
1,Almond,0.209,0.204
1,Almond,0.209,0.207
1,Almond,0.207,0.207
1,Almond,0.206,0.206
1,Almond,0.23,0.219
1,Almond,0.238,0.227
1,Round,0.338,0.321
1,Round,0.394,0.374
1,Round,0.377,0.361
1,Round,0.391,0.372
1,Round,0.404,0.382
1,Round,0.41,0.391
1,Round,0.414,0.395
1,Round,0.408,0.39
1,Round,0.412,0.392
1,Round,0.414,0.393
1,Round,0.41,0.387
1,Round,0.4,0.38
1,Round,0.376,0.361
1,Almond,0.216,0.209
1,Almond,0.216,0.209
1,Almond,0.22,0.222
1,Almond,0.211,0.213
1,Almond,0.219,0.22
1,Almond,0.214,0.214
1,Almond,0.218,0.216
1,Round,0.261,0.249
1,Round,0.255,0.249
1,Round,0.379,0.355
1,Round,0.385,0.36
1,Round,0.415,0.389
1,Round,0.448,0.416
1,Round,0.439,0.41
1,Round,0.447,0.411
1,Round,0.444,0.41
1,Round,0.437,0.402
1,Round,0.433,0.4
1,Round,0.435,0.401
1,Round,0.448,0.411
1,Round,0.441,0.406
1,Round,0.439,0.405
1,Round,0.443,0.409
1,Round,0.448,0.409
1,Round,0.443,0.407
1,Round,0.446,0.41
1,Round,0.445,0.411
1,Round,0.449,0.414
1,Round,0.444,0.409
1,Round,0.442,0.404
1,Round,0.447,0.408
1,Round,0.445,0.41
1,Round,0.443,0.391
1,Round,0.415,0.346
1,Round,0.406,0.335
1,Round,0.42,0.347
1,Round,0.431,0.368
1,Round,0.447,0.38
1,Round,0.432,0.393
1,Round,0.442,0.404
1,Round,0.43,0.398
1,Round,0.404,0.388
1,Round,0.424,0.408
1,Round,0.37,0.368
1,Round,0.391,0.392
1,Round,0.36,0.367
1,Round,0.372,0.388
1,Round,0.377,0.392
1,Round,0.379,0.403
1,Round,0.367,0.384
1,Round,0.377,0.404
1,Round,0.37,0.392
1,Round,0.36,0.386
1,Round,0.388,0.423
1,Round,0.355,0.39
1,Round,0.389,0.435
1,Round,0.378,0.419
1,Round,0.387,0.428
1,Round,0.363,0.402
1,Round,0.39,0.444
1,Round,0.391,0.443
1,Round,0.291,0.328
1,Round,0.282,0.32
1,Almond,0.219,0.241
1,Almond,0.223,0.24
1,Almond,0.219,0.239
1,Almond,0.218,0.237
1,Round,0.296,0.319
1,Round,0.291,0.314
1,Round,0.348,0.382
1,Round,0.356,0.391
1,Round,0.348,0.391
1,Round,0.356,0.401
1,Almond,0.21,0.228
1,Almond,0.209,0.224
1,Almond,0.214,0.232
1,Almond,0.212,0.222
1,Almond,0.208,0.225
1,Almond,0.212,0.223
1,Almond,0.212,0.221
1,Almond,0.194,0.203
1,Round,0.301,0.322
1,Round,0.301,0.317
1,Round,0.255,0.282
1,Round,0.258,0.28
1,Almond,0.206,0.232
1,Almond,0.215,0.235
1,Almond,0.216,0.233
1,Almond,0.205,0.219
1,Almond,0.241,0.249
1,Almond,0.239,0.247
1,Round,0.258,0.25
1,Round,0.269,0.254
1,Round,0.378,0.355
1,Round,0.37,0.347
1,Round,0.406,0.376
1,Round,0.41,0.374
1,Almond,0.249,0.245
1,Round,0.266,0.249
1,Round,0.252,0.236
1,Round,0.271,0.251
1,Round,0.251,0.235
1,Almond,0.244,0.23
1,Round,0.267,0.241
1,Round,0.26,0.24
1,Round,0.306,0.265
1,Round,0.28,0.243
1,Round,0.314,0.271
1,Round,0.318,0.27
1,Round,0.325,0.27
1,Round,0.312,0.26
1,Round,0.325,0.277
1,Round,0.322,0.274
1,Round,0.315,0.267
1,Round,0.317,0.275
1,Round,0.33,0.286
1,Round,0.333,0.288
1,Round,0.295,0.264
1,Round,0.308,0.271
1,Round,0.293,0.267
1,Round,0.305,0.277
1,Round,0.261,0.241
1,Round,0.263,0.239
1,Round,0.267,0.238
1,Round,0.251,0.231
1,Round,0.28,0.256
1,Round,0.296,0.268
1,Round,0.287,0.261
1,Round,0.295,0.27
1,Round,0.274,0.254
1,Round,0.272,0.253
1,Round,0.294,0.267
1,Round,0.294,0.267
1,Round,0.301,0.275
1,Round,0.301,0.275
1,Round,0.294,0.269
1,Round,0.291,0.267
1,Round,0.294,0.267
1,Round,0.294,0.268
1,Round,0.302,0.279
1,Round,0.298,0.276
1,Round,0.289,0.263
1,Round,0.284,0.262
1,Round,0.294,0.267
1,Round,0.299,0.271
1,Round,0.299,0.272
1,Round,0.316,0.284
1,Round,0.367,0.335
1,Round,0.377,0.338
1,Round,0.341,0.304
1,Round,0.34,0.304
1,Round,0.351,0.317
1,Round,0.349,0.315
1,Round,0.285,0.26
1,Round,0.276,0.254
1,Round,0.275,0.258
1,Round,0.263,0.249
1,Round,0.291,0.269
1,Round,0.292,0.27
1,Round,0.288,0.266
1,Round,0.297,0.271
1,Round,0.278,0.263
