person_id,eye_type,ear_value_left,ear_value_right,mode_eyes
1,Almond,0.412,0.410,Open
1,Almond,0.394,0.379,Open
1,Almond,0.398,0.385,Open
1,Almond,0.401,0.389,Open
1,Almond,0.416,0.400,Open
1,Almond,0.417,0.396,Open
1,Almond,0.406,0.387,Open
1,Almond,0.402,0.383,Open
1,Almond,0.418,0.403,Open
1,Almond,0.403,0.387,Open
1,Almond,0.401,0.382,Open
1,Almond,0.400,0.384,Open
1,Almond,0.339,0.309,Close
1,Almond,0.333,0.309,Close
1,Almond,0.309,0.286,Close
1,Almond,0.304,0.281,Close
1,Almond,0.358,0.330,Open
1,Almond,0.348,0.324,Open
1,Almond,0.376,0.350,Open
1,Almond,0.370,0.348,Open
1,Almond,0.398,0.365,Open
1,Almond,0.392,0.368,Open
1,Almond,0.355,0.328,Open
1,Almond,0.390,0.364,Open
1,Almond,0.387,0.368,Open
1,Almond,0.381,0.361,Open
1,Almond,0.366,0.346,Open
1,Almond,0.378,0.351,Open
1,Almond,0.411,0.374,Open
1,Almond,0.396,0.361,Open
1,Almond,0.393,0.363,Open
1,Almond,0.401,0.369,Open
1,Almond,0.402,0.368,Open
1,Almond,0.406,0.369,Open
1,Almond,0.397,0.358,Open
1,Almond,0.423,0.381,Open
1,Almond,0.407,0.369,Open
1,Almond,0.398,0.359,Open
1,Almond,0.411,0.366,Open
1,Almond,0.424,0.385,Open
1,Almond,0.413,0.381,Open
1,Almond,0.417,0.382,Open
1,Almond,0.441,0.410,Open
1,Almond,0.426,0.389,Open
1,Almond,0.434,0.403,Open
1,Almond,0.424,0.389,Open
1,Almond,0.448,0.409,Open
1,Almond,0.417,0.381,Open
1,Almond,0.412,0.369,Open
1,Almond,0.399,0.362,Open
1,Almond,0.338,0.288,Close
1,Almond,0.336,0.298,Close
1,Almond,0.334,0.287,Close
1,Almond,0.329,0.286,Close
1,Almond,0.347,0.306,Open
1,Almond,0.339,0.294,Close
1,Almond,0.328,0.285,Close
1,Almond,0.401,0.360,Open
