person_id,eye_type,ear_value_left,ear_value_right,mode_eyes
3,Round,0.299,0.285,Open
3,Round,0.352,0.343,Open
3,Round,0.346,0.337,Open
3,Round,0.342,0.326,Open
3,Round,0.312,0.301,Open
3,Round,0.314,0.298,Open
3,Round,0.304,0.289,Open
3,Round,0.306,0.286,Open
3,Round,0.317,0.293,Open
3,Round,0.313,0.276,Open
3,Round,0.305,0.281,Open
3,Round,0.310,0.279,Open
3,Round,0.287,0.288,Open
3,Round,0.281,0.262,Close
3,Round,0.285,0.278,Open
3,Round,0.289,0.260,Close
3,Round,0.288,0.258,Close
3,Round,0.263,0.272,Open
3,Round,0.272,0.266,Close
3,Round,0.242,0.239,Close
3,Round,0.254,0.251,Close
3,Round,0.271,0.215,Close
3,Round,0.335,0.231,Open
3,Round,0.338,0.320,Open
3,Round,0.384,0.323,Open
3,Round,0.381,0.370,Open
3,Round,0.382,0.366,Open
3,Round,0.367,0.365,Open
3,Round,0.360,0.352,Open
3,Round,0.362,0.347,Open
3,Round,0.366,0.349,Open
3,Round,0.356,0.348,Open
3,Round,0.355,0.351,Open
3,Round,0.361,0.354,Open
3,Round,0.359,0.335,Open
3,Round,0.371,0.338,Open
3,Round,0.408,0.344,Open
3,Round,0.410,0.402,Open
3,Round,0.378,0.398,Open
3,Round,0.252,0.373,Open
3,Round,0.251,0.233,Close
3,Round,0.275,0.235,Close
3,Round,0.277,0.264,Close
3,Round,0.336,0.328,Open
3,Round,0.369,0.329,Open
3,Round,0.370,0.363,Open
3,Round,0.372,0.367,Open
3,Round,0.397,0.368,Open
3,Round,0.407,0.393,Open
3,Round,0.404,0.404,Open
3,Round,0.411,0.401,Open
3,Round,0.402,0.399,Open
3,Round,0.401,0.407,Open
3,Round,0.409,0.406,Open
3,Round,0.388,0.397,Open
3,Round,0.308,0.394,Open
3,Round,0.320,0.400,Open
3,Round,0.276,0.381,Open
3,Round,0.283,0.292,Open
3,Round,0.348,0.302,Open
3,Round,0.365,0.254,Open
3,Round,0.380,0.270,Open
3,Round,0.396,0.273,Open
3,Round,0.391,0.324,Open
3,Round,0.390,0.339,Open
3,Round,0.385,0.332,Open
3,Round,0.392,0.333,Open
3,Round,0.268,0.361,Open
3,Round,0.290,0.357,Open
3,Round,0.339,0.379,Open
3,Round,0.383,0.372,Open
3,Round,0.373,0.388,Open
3,Round,0.374,0.384,Open
3,Round,0.347,0.386,Open
3,Round,0.349,0.377,Open
3,Round,0.353,0.380,Open
3,Round,0.343,0.383,Open
3,Round,0.341,0.390,Open
3,Round,0.307,0.248,Open
3,Round,0.270,0.253,Close
3,Round,0.258,0.271,Open
3,Round,0.282,0.268,Open
3,Round,0.330,0.334,Open
3,Round,0.331,0.327,Open
3,Round,0.334,0.378,Open
3,Round,0.345,0.371,Open
3,Round,0.377,0.355,Open
3,Round,0.368,0.350,Open
3,Round,0.375,0.325,Open
3,Round,0.376,0.318,Open
3,Round,0.364,0.314,Open
3,Round,0.363,0.317,Open
3,Round,0.344,0.319,Open
3,Round,0.357,0.257,Open
3,Round,0.333,0.255,Open
3,Round,0.329,0.308,Open
3,Round,0.264,0.310,Open
3,Round,0.279,0.356,Open
3,Round,0.351,0.358,Open
3,Round,0.328,0.342,Open
3,Round,0.326,0.353,Open
3,Round,0.260,0.297,Open
3,Round,0.250,0.229,Close
3,Round,0.256,0.247,Close
3,Round,0.244,0.267,Close
3,Round,0.261,0.265,Close
3,Round,0.267,0.316,Open
3,Round,0.269,0.313,Open
3,Round,0.266,0.340,Open
3,Round,0.273,0.322,Open
3,Round,0.274,0.315,Open
3,Round,0.280,0.312,Open
3,Round,0.262,0.296,Open
3,Round,0.278,0.295,Open
3,Round,0.257,0.222,Close
3,Round,0.321,0.211,Open
3,Round,0.319,0.213,Open
3,Round,0.400,0.217,Open
3,Round,0.265,0.221,Close
3,Round,0.294,0.225,Open
3,Round,0.354,0.237,Open
3,Round,0.389,0.236,Open
3,Round,0.395,0.243,Open
3,Round,0.393,0.238,Open
3,Round,0.386,0.245,Open
3,Round,0.315,0.246,Open
3,Round,0.350,0.242,Open
3,Round,0.379,0.244,Open
3,Round,0.340,0.241,Open
3,Round,0.337,0.234,Open
3,Round,0.316,0.232,Open
3,Round,0.323,0.227,Open
3,Round,0.253,0.240,Close
3,Round,0.358,0.220,Open
3,Round,0.387,0.230,Open
3,Round,0.296,0.259,Open
3,Round,0.309,0.252,Open
3,Round,0.286,0.224,Close
3,Round,0.394,0.291,Open
3,Round,0.399,0.345,Open
3,Round,0.398,0.341,Open
3,Round,0.406,0.336,Open
3,Round,0.405,0.369,Open
3,Round,0.412,0.376,Open
3,Round,0.415,0.269,Open
3,Round,0.403,0.364,Open
3,Round,0.414,0.249,Open
3,Round,0.413,0.309,Open
3,Round,0.318,0.305,Open
3,Round,0.324,0.250,Open
3,Round,0.327,0.290,Open
3,Round,0.284,0.331,Open
3,Round,0.259,0.359,Open
3,Round,0.291,0.360,Open
3,Round,0.255,0.304,Open
3,Round,0.292,0.299,Open
3,Round,0.248,0.284,Open
3,Round,0.301,0.283,Open
3,Round,0.303,0.294,Open
3,Round,0.297,0.274,Open
3,Round,0.322,0.228,Open
3,Round,0.295,0.300,Open
3,Round,0.302,0.321,Open
3,Round,0.249,0.346,Open
3,Round,0.293,0.256,Open
