person_id,eye_type,ear_value_left,ear_value_right,mode_eyes
1,Almond,0.328,0.318,Close
1,Almond,0.342,0.323,Close
1,Almond,0.348,0.324,Close
1,Almond,0.353,0.328,Close
1,Almond,0.343,0.320,Close
1,Almond,0.344,0.322,Close
1,Almond,0.352,0.336,Close
1,Almond,0.346,0.330,Close
1,Almond,0.330,0.311,Close
1,Almond,0.334,0.319,Close
1,Almond,0.352,0.328,Close
1,Almond,0.360,0.340,Open
1,Almond,0.356,0.332,Close
1,Almond,0.353,0.332,Close
1,Almond,0.352,0.333,Close
1,Almond,0.352,0.332,Close
1,Almond,0.356,0.341,Open
1,Almond,0.349,0.334,Close
1,Almond,0.366,0.352,Open
1,Almond,0.359,0.346,Open
1,Almond,0.355,0.339,Close
1,Almond,0.354,0.341,Open
1,Almond,0.363,0.341,Open
1,Almond,0.356,0.335,Close
1,Almond,0.359,0.330,Close
1,Almond,0.374,0.349,Open
1,Almond,0.385,0.346,Open
1,Almond,0.383,0.347,Open
1,Almond,0.394,0.355,Open
1,Almond,0.401,0.369,Open
1,Almond,0.416,0.370,Open
1,Almond,0.427,0.380,Open
1,Almond,0.406,0.374,Open
1,Almond,0.422,0.381,Open
1,Almond,0.427,0.396,Open
1,Almond,0.438,0.399,Open
1,Almond,0.408,0.378,Open
1,Almond,0.432,0.395,Open
1,Almond,0.381,0.343,Open
1,Almond,0.416,0.377,Open
1,Almond,0.320,0.287,Close
1,Almond,0.334,0.303,Close
1,Almond,0.389,0.353,Open
1,Almond,0.397,0.357,Open
1,Almond,0.413,0.374,Open
1,Almond,0.436,0.392,Open
1,Almond,0.433,0.389,Open
1,Almond,0.432,0.389,Open
1,Almond,0.439,0.396,Open
1,Almond,0.440,0.397,Open
1,Almond,0.450,0.407,Open
1,Almond,0.455,0.410,Open
1,Almond,0.454,0.418,Open
1,Almond,0.453,0.416,Open
1,Almond,0.429,0.392,Open
1,Almond,0.414,0.377,Open
1,Almond,0.413,0.376,Open
1,Almond,0.440,0.395,Open
1,Almond,0.439,0.395,Open
1,Almond,0.429,0.387,Open
1,Almond,0.428,0.383,Open
1,Almond,0.436,0.387,Open
1,Almond,0.436,0.384,Open
1,Almond,0.437,0.380,Open
1,Almond,0.432,0.387,Open
1,Almond,0.442,0.395,Open
1,Almond,0.444,0.400,Open
1,Almond,0.442,0.399,Open
1,Almond,0.443,0.400,Open
1,Almond,0.436,0.395,Open
1,Almond,0.353,0.323,Close
1,Almond,0.350,0.318,Close
1,Almond,0.356,0.322,Close
1,Almond,0.358,0.324,Close
1,Almond,0.365,0.324,Close
1,Almond,0.374,0.337,Open
1,Almond,0.418,0.375,Open
1,Almond,0.419,0.379,Open
1,Almond,0.439,0.396,Open
1,Almond,0.446,0.405,Open
1,Almond,0.457,0.413,Open
1,Almond,0.456,0.416,Open
1,Almond,0.463,0.423,Open
1,Almond,0.471,0.424,Open
1,Almond,0.463,0.420,Open
1,Almond,0.462,0.416,Open
1,Almond,0.470,0.430,Open
1,Almond,0.483,0.440,Open
1,Almond,0.473,0.435,Open
1,Almond,0.477,0.437,Open
1,Almond,0.480,0.440,Open
1,Almond,0.481,0.444,Open
1,Almond,0.484,0.447,Open
1,Almond,0.460,0.421,Open
1,Almond,0.396,0.357,Open
1,Almond,0.396,0.358,Open
1,Almond,0.376,0.345,Open
1,Almond,0.366,0.336,Close
1,Almond,0.365,0.329,Close
1,Almond,0.350,0.314,Close
1,Almond,0.393,0.358,Open
1,Almond,0.379,0.343,Open
1,Almond,0.388,0.351,Open
1,Almond,0.392,0.357,Open
1,Almond,0.402,0.368,Open
1,Almond,0.408,0.370,Open
1,Almond,0.433,0.388,Open
1,Almond,0.447,0.399,Open
1,Almond,0.440,0.393,Open
1,Almond,0.447,0.400,Open
1,Almond,0.457,0.412,Open
1,Almond,0.472,0.422,Open
1,Almond,0.442,0.402,Open
1,Almond,0.451,0.407,Open
1,Almond,0.441,0.401,Open
1,Almond,0.469,0.422,Open
1,Almond,0.471,0.426,Open
1,Almond,0.452,0.410,Open
1,Almond,0.450,0.410,Open
1,Almond,0.450,0.409,Open
1,Almond,0.456,0.409,Open
1,Almond,0.458,0.413,Open
1,Almond,0.385,0.349,Open
1,Almond,0.386,0.356,Open
1,Almond,0.385,0.349,Open
1,Almond,0.389,0.351,Open
1,Almond,0.389,0.350,Open
1,Almond,0.386,0.347,Open
1,Almond,0.377,0.339,Open
1,Almond,0.393,0.359,Open
1,Almond,0.405,0.362,Open
1,Almond,0.407,0.371,Open
1,Almond,0.425,0.380,Open
1,Almond,0.419,0.376,Open
1,Almond,0.430,0.389,Open
1,Almond,0.429,0.387,Open
1,Almond,0.430,0.387,Open
1,Almond,0.436,0.389,Open
1,Almond,0.435,0.386,Open
1,Almond,0.436,0.391,Open
1,Almond,0.431,0.386,Open
1,Almond,0.423,0.377,Open
1,Almond,0.431,0.387,Open
1,Almond,0.432,0.387,Open
1,Almond,0.445,0.404,Open
1,Almond,0.450,0.407,Open
1,Almond,0.450,0.410,Open
1,Almond,0.456,0.414,Open
1,Almond,0.460,0.420,Open
1,Almond,0.444,0.407,Open
1,Almond,0.446,0.409,Open
1,Almond,0.446,0.408,Open
1,Almond,0.448,0.409,Open
1,Almond,0.407,0.371,Open
1,Almond,0.394,0.365,Open
1,Almond,0.375,0.338,Open
1,Almond,0.383,0.349,Open
1,Almond,0.370,0.335,Open
1,Almond,0.379,0.345,Open
1,Almond,0.403,0.366,Open
1,Almond,0.389,0.350,Open
1,Almond,0.447,0.402,Open
1,Almond,0.440,0.399,Open
1,Almond,0.443,0.395,Open
1,Almond,0.451,0.404,Open
1,Almond,0.444,0.403,Open
1,Almond,0.457,0.414,Open
1,Almond,0.451,0.409,Open
1,Almond,0.461,0.417,Open
1,Almond,0.460,0.414,Open
1,Almond,0.460,0.413,Open
1,Almond,0.451,0.407,Open
1,Almond,0.460,0.415,Open
1,Almond,0.465,0.421,Open
1,Almond,0.466,0.421,Open
1,Almond,0.446,0.402,Open
1,Almond,0.447,0.404,Open
1,Almond,0.445,0.402,Open
1,Almond,0.441,0.397,Open
1,Almond,0.432,0.388,Open
1,Almond,0.429,0.384,Open
1,Almond,0.380,0.350,Open
1,Almond,0.386,0.350,Open
1,Almond,0.362,0.320,Close
1,Almond,0.352,0.314,Close
1,Almond,0.360,0.330,Close
1,Almond,0.379,0.341,Open
1,Almond,0.396,0.355,Open
1,Almond,0.395,0.354,Open
1,Almond,0.419,0.381,Open
1,Almond,0.394,0.353,Open
1,Almond,0.414,0.373,Open
1,Almond,0.412,0.370,Open
1,Almond,0.409,0.362,Open
1,Almond,0.423,0.381,Open
1,Almond,0.422,0.377,Open
1,Almond,0.417,0.373,Open
1,Almond,0.420,0.382,Open
1,Almond,0.423,0.383,Open
1,Almond,0.431,0.387,Open
1,Almond,0.431,0.388,Open
1,Almond,0.427,0.383,Open
1,Almond,0.439,0.397,Open
1,Almond,0.437,0.393,Open
1,Almond,0.438,0.392,Open
1,Almond,0.429,0.381,Open
1,Almond,0.429,0.383,Open
1,Almond,0.428,0.383,Open
1,Almond,0.436,0.391,Open
1,Almond,0.439,0.395,Open
1,Almond,0.438,0.395,Open
1,Almond,0.410,0.371,Open
1,Almond,0.412,0.370,Open
1,Almond,0.348,0.312,Close
1,Almond,0.341,0.308,Close
1,Almond,0.373,0.335,Open
1,Almond,0.365,0.328,Close
1,Almond,0.382,0.338,Open
1,Almond,0.378,0.335,Open
1,Almond,0.415,0.367,Open
1,Almond,0.406,0.359,Open
1,Almond,0.418,0.376,Open
1,Almond,0.428,0.377,Open
1,Almond,0.411,0.371,Open
