person_id,eye_type,ear_value_left,ear_value_right,mode_eyes
1,Round,0.375,0.360,Open
1,Round,0.402,0.392,Open
1,Round,0.377,0.372,Open
1,Round,0.385,0.389,Open
1,Round,0.372,0.374,Open
1,Round,0.374,0.365,Open
1,Round,0.374,0.365,Open
1,Round,0.395,0.390,Open
1,Round,0.387,0.384,Open
1,Round,0.376,0.370,Open
1,Round,0.376,0.369,Open
1,Round,0.366,0.362,Open
1,Round,0.366,0.360,Open
1,Round,0.372,0.365,Open
1,Round,0.353,0.349,Open
1,Round,0.378,0.376,Open
1,Round,0.370,0.370,Open
1,Round,0.370,0.361,Open
1,Round,0.374,0.365,Open
1,Round,0.372,0.370,Open
1,Round,0.371,0.370,Open
1,Round,0.355,0.353,Open
1,Round,0.356,0.353,Open
1,Round,0.373,0.368,Open
1,Round,0.374,0.371,Open
1,Round,0.369,0.370,Open
1,Round,0.380,0.377,Open
1,Round,0.372,0.373,Open
1,Round,0.377,0.379,Open
1,Round,0.250,0.250,Open
1,Round,0.262,0.258,Open
1,Round,0.203,0.193,Close
1,Round,0.210,0.199,Close
1,Round,0.185,0.176,Close
1,Round,0.186,0.178,Close
1,Round,0.250,0.253,Open
1,Round,0.254,0.257,Open
1,Round,0.343,0.345,Open
1,Round,0.318,0.323,Open
1,Round,0.353,0.350,Open
1,Round,0.344,0.345,Open
1,Round,0.335,0.338,Open
1,Round,0.334,0.338,Open
1,Round,0.353,0.360,Open
1,Round,0.358,0.367,Open
1,Round,0.362,0.369,Open
1,Round,0.359,0.367,Open
1,Round,0.360,0.370,Open
1,Round,0.364,0.373,Open
1,Round,0.355,0.360,Open
1,Round,0.362,0.366,Open
1,Round,0.371,0.376,Open
1,Round,0.363,0.370,Open
1,Round,0.361,0.368,Open
1,Round,0.361,0.368,Open
1,Round,0.358,0.365,Open
1,Round,0.355,0.360,Open
1,Round,0.361,0.365,Open
1,Round,0.366,0.372,Open
1,Round,0.362,0.366,Open
1,Round,0.357,0.359,Open
1,Round,0.349,0.351,Open
1,Round,0.345,0.348,Open
1,Round,0.350,0.357,Open
1,Round,0.347,0.355,Open
1,Round,0.348,0.355,Open
1,Round,0.348,0.351,Open
1,Round,0.366,0.373,Open
1,Round,0.362,0.368,Open
1,Round,0.355,0.360,Open
1,Round,0.356,0.362,Open
1,Round,0.366,0.375,Open
1,Round,0.359,0.364,Open
1,Round,0.359,0.366,Open
1,Round,0.361,0.365,Open
1,Round,0.371,0.375,Open
1,Round,0.366,0.373,Open
1,Round,0.363,0.371,Open
1,Round,0.343,0.352,Open
1,Round,0.364,0.373,Open
1,Round,0.360,0.368,Open
1,Round,0.362,0.365,Open
1,Round,0.353,0.355,Open
1,Round,0.262,0.263,Open
1,Round,0.283,0.281,Open
1,Round,0.189,0.185,Close
1,Round,0.194,0.191,Close
1,Round,0.195,0.192,Close
1,Round,0.195,0.183,Close
1,Round,0.208,0.194,Close
1,Round,0.242,0.238,Open
1,Round,0.327,0.330,Open
1,Round,0.321,0.326,Open
1,Round,0.344,0.349,Open
1,Round,0.342,0.351,Open
1,Round,0.360,0.363,Open
1,Round,0.355,0.356,Open
1,Round,0.366,0.369,Open
1,Round,0.372,0.372,Open
1,Round,0.376,0.377,Open
1,Round,0.358,0.363,Open
1,Round,0.361,0.365,Open
1,Round,0.358,0.360,Open
1,Round,0.376,0.377,Open
1,Round,0.366,0.368,Open
1,Round,0.373,0.373,Open
1,Round,0.368,0.371,Open
1,Round,0.371,0.377,Open
1,Round,0.377,0.382,Open
1,Round,0.365,0.370,Open
1,Round,0.370,0.373,Open
1,Round,0.373,0.374,Open
1,Round,0.357,0.358,Open
1,Round,0.348,0.351,Open
1,Round,0.340,0.344,Open
1,Round,0.336,0.339,Open
1,Round,0.342,0.344,Open
1,Round,0.337,0.337,Open
1,Round,0.329,0.330,Open
1,Round,0.343,0.345,Open
1,Round,0.345,0.346,Open
1,Round,0.344,0.346,Open
1,Round,0.343,0.346,Open
1,Round,0.342,0.347,Open
1,Round,0.364,0.368,Open
1,Round,0.363,0.368,Open
1,Round,0.348,0.348,Open
1,Round,0.356,0.361,Open
1,Round,0.354,0.358,Open
1,Round,0.350,0.360,Open
1,Round,0.346,0.355,Open
1,Round,0.359,0.368,Open
1,Round,0.362,0.372,Open
1,Round,0.361,0.371,Open
1,Round,0.359,0.362,Open
1,Round,0.357,0.362,Open
1,Round,0.227,0.231,Open
1,Round,0.244,0.238,Open
1,Round,0.193,0.183,Close
1,Round,0.171,0.162,Close
1,Round,0.170,0.161,Close
1,Round,0.186,0.176,Close
1,Round,0.207,0.193,Close
1,Round,0.196,0.182,Close
1,Round,0.263,0.252,Open
1,Round,0.259,0.251,Open
1,Round,0.356,0.358,Open
1,Round,0.350,0.353,Open
1,Round,0.354,0.358,Open
1,Round,0.357,0.360,Open
1,Round,0.357,0.360,Open
1,Round,0.351,0.353,Open
1,Round,0.352,0.354,Open
1,Round,0.364,0.368,Open
1,Round,0.367,0.371,Open
1,Round,0.368,0.373,Open
1,Round,0.349,0.356,Open
1,Round,0.348,0.356,Open
1,Round,0.354,0.358,Open
1,Round,0.356,0.360,Open
1,Round,0.354,0.358,Open
1,Round,0.348,0.352,Open
1,Round,0.359,0.366,Open
1,Round,0.341,0.343,Open
1,Round,0.342,0.344,Open
1,Round,0.356,0.362,Open
1,Round,0.364,0.370,Open
1,Round,0.365,0.371,Open
1,Round,0.343,0.346,Open
1,Round,0.344,0.347,Open
1,Round,0.356,0.361,Open
1,Round,0.354,0.359,Open
1,Round,0.348,0.353,Open
1,Round,0.341,0.347,Open
1,Round,0.350,0.357,Open
1,Round,0.350,0.356,Open
1,Round,0.347,0.354,Open
1,Round,0.344,0.351,Open
1,Round,0.345,0.348,Open
1,Round,0.350,0.353,Open
1,Round,0.182,0.178,Close
1,Round,0.202,0.193,Close
1,Round,0.206,0.195,Close
1,Round,0.202,0.191,Close
1,Round,0.230,0.223,Open
1,Round,0.227,0.223,Open
1,Round,0.319,0.321,Open
1,Round,0.348,0.356,Open
1,Round,0.332,0.341,Open
1,Round,0.331,0.340,Open
1,Round,0.348,0.351,Open
1,Round,0.346,0.351,Open
1,Round,0.350,0.350,Open
1,Round,0.347,0.348,Open
1,Round,0.368,0.373,Open
1,Round,0.367,0.372,Open
1,Round,0.364,0.372,Open
1,Round,0.361,0.368,Open
1,Round,0.340,0.344,Open
1,Round,0.360,0.365,Open
1,Round,0.357,0.362,Open
1,Round,0.361,0.365,Open
1,Round,0.354,0.362,Open
1,Round,0.358,0.365,Open
1,Round,0.358,0.362,Open
1,Round,0.362,0.364,Open
1,Round,0.360,0.370,Open
1,Round,0.353,0.364,Open
1,Round,0.364,0.373,Open
1,Round,0.362,0.371,Open
1,Round,0.363,0.367,Open
1,Round,0.364,0.369,Open
1,Round,0.341,0.344,Open
1,Round,0.343,0.345,Open
1,Round,0.340,0.351,Open
1,Round,0.344,0.351,Open
1,Round,0.360,0.362,Open
1,Round,0.355,0.361,Open
1,Round,0.344,0.345,Open
1,Round,0.340,0.340,Open
1,Round,0.368,0.369,Open
1,Round,0.370,0.371,Open
1,Round,0.353,0.355,Open
1,Round,0.355,0.361,Open
1,Round,0.345,0.349,Open
1,Round,0.345,0.349,Open
1,Round,0.196,0.194,Close
1,Round,0.217,0.206,Close
1,Round,0.187,0.173,Close
1,Round,0.189,0.175,Close
1,Round,0.184,0.174,Close
1,Round,0.179,0.167,Close
1,Round,0.191,0.186,Close
1,Round,0.194,0.188,Close
1,Round,0.196,0.190,Close
1,Round,0.193,0.187,Close
1,Round,0.186,0.183,Close
1,Round,0.198,0.190,Close
1,Round,0.237,0.234,Open
1,Round,0.242,0.238,Open
1,Round,0.337,0.336,Open
1,Round,0.322,0.325,Open
1,Round,0.357,0.358,Open
1,Round,0.357,0.359,Open
1,Round,0.363,0.363,Open
1,Round,0.361,0.363,Open
1,Round,0.350,0.353,Open
1,Round,0.342,0.344,Open
1,Round,0.355,0.355,Open
1,Round,0.350,0.352,Open
1,Round,0.346,0.350,Open
1,Round,0.346,0.349,Open
1,Round,0.349,0.357,Open
1,Round,0.354,0.359,Open
1,Round,0.331,0.336,Open
1,Round,0.332,0.337,Open
1,Round,0.367,0.370,Open
1,Round,0.364,0.369,Open
1,Round,0.336,0.337,Open
1,Round,0.350,0.346,Open
1,Round,0.358,0.358,Open
1,Round,0.355,0.355,Open
1,Round,0.368,0.378,Open
1,Round,0.357,0.367,Open
1,Round,0.343,0.352,Open
1,Round,0.352,0.359,Open
1,Round,0.289,0.291,Open
1,Round,0.301,0.302,Open
1,Round,0.170,0.162,Close
1,Round,0.185,0.172,Close
1,Round,0.189,0.184,Close
1,Round,0.190,0.185,Close
1,Round,0.160,0.152,Close
1,Round,0.179,0.168,Close
1,Round,0.222,0.213,Close
1,Round,0.203,0.191,Close
1,Round,0.178,0.174,Close
1,Round,0.184,0.178,Close
1,Round,0.218,0.214,Close
1,Round,0.225,0.220,Close
1,Round,0.301,0.300,Open
1,Round,0.294,0.294,Open
1,Round,0.338,0.339,Open
1,Round,0.329,0.336,Open
1,Round,0.343,0.353,Open
1,Round,0.339,0.352,Open
1,Round,0.317,0.320,Open
1,Round,0.321,0.325,Open
1,Round,0.350,0.356,Open
1,Round,0.355,0.361,Open
1,Round,0.337,0.343,Open
1,Round,0.343,0.349,Open
1,Round,0.367,0.373,Open
1,Round,0.354,0.363,Open
1,Round,0.346,0.354,Open
1,Round,0.353,0.360,Open
1,Round,0.346,0.357,Open
1,Round,0.349,0.361,Open
1,Round,0.439,0.395,Open
1,Round,0.434,0.390,Open
1,Round,0.428,0.388,Open
1,Round,0.426,0.384,Open
1,Round,0.418,0.383,Open
1,Round,0.414,0.381,Open
1,Round,0.392,0.362,Open
1,Round,0.390,0.364,Open
