person_id,eye_type,ear_value_left,ear_value_right,mode_eyes
3,Round,0.349,0.385,Open
3,Round,0.255,0.267,Open
3,Round,0.346,0.377,Open
3,Round,0.358,0.384,Open
3,Round,0.372,0.401,Open
3,Round,0.356,0.383,Open
3,Round,0.366,0.391,Open
3,Round,0.355,0.379,Open
3,Round,0.345,0.367,Open
3,Round,0.360,0.386,Open
3,Round,0.352,0.378,Open
3,Round,0.359,0.380,Open
3,Round,0.353,0.376,Open
3,Round,0.357,0.389,Open
3,Round,0.362,0.393,Open
3,Round,0.365,0.374,Open
3,Round,0.367,0.373,Open
3,Round,0.342,0.361,Open
3,Round,0.351,0.371,Open
3,Round,0.350,0.375,Open
3,Round,0.344,0.382,Open
3,Round,0.368,0.366,Open
3,Round,0.311,0.364,Open
3,Round,0.341,0.381,Open
3,Round,0.326,0.363,Open
3,Round,0.338,0.388,Open
3,Round,0.378,0.390,Open
3,Round,0.371,0.392,Open
3,Round,0.383,0.398,Open
3,Round,0.386,0.352,Open
3,Round,0.397,0.368,Open
3,Round,0.392,0.365,Open
3,Round,0.377,0.369,Open
3,Round,0.361,0.394,Open
3,Round,0.376,0.387,Open
3,Round,0.375,0.399,Open
3,Round,0.390,0.397,Open
3,Round,0.224,0.409,Open
3,Round,0.229,0.406,Open
3,Round,0.218,0.225,Close
3,Round,0.223,0.226,Close
3,Round,0.205,0.218,Close
3,Round,0.217,0.222,Close
3,Round,0.220,0.204,Close
3,Round,0.203,0.214,Close
3,Round,0.211,0.217,Close
3,Round,0.263,0.200,Open
3,Round,0.260,0.203,Open
3,Round,0.315,0.212,Open
3,Round,0.319,0.266,Open
3,Round,0.382,0.318,Open
3,Round,0.385,0.322,Open
3,Round,0.380,0.395,Open
3,Round,0.384,0.396,Open
3,Round,0.381,0.285,Open
3,Round,0.389,0.308,Open
3,Round,0.374,0.207,Open
3,Round,0.279,0.219,Open
3,Round,0.303,0.221,Open
3,Round,0.210,0.223,Close
3,Round,0.212,0.197,Close
3,Round,0.201,0.193,Close
3,Round,0.195,0.215,Close
3,Round,0.209,0.216,Close
3,Round,0.215,0.228,Close
3,Round,0.219,0.280,Open
3,Round,0.214,0.277,Open
3,Round,0.226,0.404,Open
3,Round,0.274,0.238,Open
3,Round,0.270,0.240,Open
3,Round,0.370,0.337,Open
3,Round,0.369,0.327,Open
3,Round,0.373,0.324,Open
3,Round,0.394,0.370,Open
3,Round,0.396,0.400,Open
3,Round,0.232,0.405,Open
3,Round,0.235,0.421,Open
3,Round,0.333,0.297,Open
3,Round,0.324,0.319,Open
3,Round,0.321,0.211,Open
3,Round,0.363,0.224,Open
3,Round,0.391,0.220,Open
3,Round,0.387,0.231,Open
3,Round,0.388,0.233,Open
3,Round,0.395,0.229,Open
3,Round,0.416,0.340,Open
3,Round,0.288,0.339,Open
3,Round,0.317,0.413,Open
3,Round,0.320,0.408,Open
3,Round,0.222,0.407,Open
3,Round,0.228,0.423,Open
3,Round,0.225,0.419,Open
3,Round,0.335,0.415,Open
3,Round,0.334,0.420,Open
3,Round,0.407,0.403,Open
3,Round,0.400,0.416,Open
3,Round,0.399,0.239,Open
3,Round,0.412,0.278,Open
3,Round,0.409,0.279,Open
3,Round,0.408,0.347,Open
3,Round,0.411,0.350,Open
3,Round,0.393,0.402,Open
3,Round,0.402,0.213,Open
3,Round,0.398,0.210,Open
3,Round,0.379,0.209,Open
3,Round,0.404,0.287,Open
3,Round,0.230,0.418,Open
3,Round,0.272,0.422,Open
3,Round,0.273,0.414,Open
3,Round,0.348,0.417,Open
3,Round,0.239,0.360,Open
3,Round,0.216,0.245,Open
3,Round,0.269,0.309,Open
3,Round,0.281,0.303,Open
3,Round,0.401,0.410,Open
3,Round,0.410,0.289,Open
3,Round,0.313,0.232,Open
3,Round,0.354,0.250,Open
3,Round,0.245,0.242,Open
3,Round,0.304,0.333,Open
3,Round,0.299,0.334,Open
3,Round,0.406,0.241,Open
3,Round,0.275,0.236,Open
3,Round,0.289,0.276,Open
3,Round,0.206,0.354,Open
3,Round,0.249,0.424,Open
3,Round,0.242,0.428,Open
3,Round,0.331,0.246,Open
3,Round,0.332,0.249,Open
3,Round,0.237,0.332,Open
3,Round,0.240,0.326,Open
3,Round,0.213,0.351,Open
3,Round,0.234,0.411,Open
3,Round,0.276,0.259,Open
3,Round,0.419,0.260,Open
3,Round,0.422,0.344,Open
3,Round,0.244,0.227,Open
3,Round,0.246,0.328,Open
3,Round,0.248,0.320,Open
3,Round,0.227,0.426,Open
3,Round,0.405,0.307,Open
3,Round,0.414,0.237,Open
3,Round,0.221,0.234,Open
3,Round,0.251,0.244,Open
3,Round,0.253,0.243,Open
3,Round,0.340,0.247,Open
3,Round,0.339,0.262,Open
3,Round,0.325,0.255,Open
3,Round,0.328,0.372,Open
3,Round,0.415,0.355,Open
3,Round,0.413,0.196,Open
3,Round,0.308,0.179,Open
3,Round,0.322,0.283,Open
3,Round,0.420,0.288,Open
3,Round,0.293,0.321,Open
3,Round,0.231,0.313,Open
3,Round,0.236,0.342,Open
3,Round,0.233,0.356,Open
3,Round,0.238,0.338,Open
3,Round,0.250,0.304,Open
3,Round,0.364,0.317,Open
3,Round,0.188,0.302,Open
3,Round,0.172,0.312,Open
3,Round,0.268,0.329,Open
3,Round,0.278,0.293,Open
3,Round,0.298,0.296,Open
3,Round,0.295,0.275,Open
3,Round,0.301,0.251,Open
3,Round,0.309,0.230,Open
3,Round,0.318,0.299,Open
3,Round,0.305,0.323,Open
3,Round,0.327,0.310,Open
