person_id,eye_type,ear_value_left,ear_value_right,mode_eyes
1,Round,0.368,0.369,Open
1,Round,0.359,0.362,Open
1,Round,0.374,0.380,Open
1,Round,0.365,0.374,Open
1,Round,0.359,0.370,Open
1,Round,0.362,0.371,Open
1,Round,0.353,0.364,Open
1,Round,0.366,0.375,Open
1,Round,0.372,0.383,Open
1,Round,0.372,0.383,Open
1,Round,0.354,0.362,Open
1,Round,0.352,0.360,Open
1,Round,0.349,0.359,Open
1,Round,0.352,0.360,Open
1,Round,0.332,0.340,Open
1,Round,0.328,0.336,Open
1,Round,0.347,0.352,Open
1,Round,0.345,0.350,Open
1,Round,0.339,0.349,Open
1,Round,0.333,0.343,Open
1,Round,0.337,0.345,Open
1,Round,0.345,0.352,Open
1,Round,0.342,0.352,Open
1,Round,0.342,0.348,Open
1,Round,0.338,0.346,Open
1,Round,0.343,0.349,Open
1,Round,0.355,0.359,Open
1,Round,0.375,0.374,Open
1,Round,0.362,0.361,Open
1,Round,0.377,0.371,Open
1,Round,0.342,0.344,Open
1,Round,0.374,0.372,Open
1,Round,0.353,0.351,Open
1,Round,0.374,0.371,Open
1,Round,0.354,0.356,Open
1,Round,0.364,0.364,Open
1,Round,0.373,0.369,Open
1,Round,0.377,0.375,Open
1,Round,0.356,0.357,Open
1,Round,0.373,0.375,Open
1,Round,0.359,0.359,Open
1,Round,0.384,0.380,Open
1,Round,0.340,0.337,Open
1,Round,0.356,0.349,Open
1,Round,0.349,0.344,Open
1,Round,0.369,0.365,Open
1,Round,0.353,0.351,Open
1,Round,0.377,0.370,Open
1,Round,0.370,0.369,Open
1,Round,0.376,0.373,Open
1,Round,0.382,0.376,Open
1,Round,0.393,0.387,Open
1,Round,0.355,0.355,Open
1,Round,0.390,0.386,Open
1,Round,0.230,0.229,Close
1,Round,0.245,0.246,Close
1,Round,0.247,0.243,Close
1,Round,0.231,0.243,Close
1,Round,0.196,0.200,Close
1,Round,0.213,0.214,Close
1,Round,0.307,0.296,Open
1,Round,0.301,0.291,Open
1,Round,0.347,0.335,Open
1,Round,0.340,0.336,Open
1,Round,0.335,0.324,Open
1,Round,0.330,0.322,Open
1,Round,0.259,0.260,Open
1,Round,0.264,0.261,Open
1,Round,0.261,0.256,Open
1,Round,0.203,0.201,Close
1,Round,0.210,0.213,Close
1,Round,0.202,0.205,Close
1,Round,0.223,0.228,Close
1,Round,0.212,0.218,Close
1,Round,0.223,0.229,Close
1,Round,0.212,0.217,Close
1,Round,0.269,0.261,Open
1,Round,0.264,0.253,Open
1,Round,0.260,0.250,Open
1,Round,0.365,0.351,Open
1,Round,0.377,0.362,Open
1,Round,0.394,0.377,Open
1,Round,0.261,0.254,Open
1,Round,0.264,0.256,Open
1,Round,0.205,0.205,Close
1,Round,0.203,0.201,Close
1,Round,0.231,0.242,Close
1,Round,0.225,0.235,Close
1,Round,0.212,0.215,Close
1,Round,0.209,0.211,Close
1,Round,0.211,0.213,Close
1,Round,0.246,0.237,Close
1,Round,0.241,0.235,Close
1,Round,0.366,0.350,Open
1,Round,0.317,0.300,Open
1,Round,0.330,0.316,Open
1,Round,0.222,0.215,Close
1,Round,0.207,0.202,Close
1,Round,0.222,0.213,Close
1,Round,0.209,0.204,Close
1,Round,0.209,0.207,Close
1,Round,0.207,0.207,Close
1,Round,0.206,0.206,Close
1,Round,0.230,0.219,Close
1,Round,0.238,0.227,Close
1,Round,0.338,0.321,Open
1,Round,0.394,0.374,Open
1,Round,0.377,0.361,Open
1,Round,0.391,0.372,Open
1,Round,0.404,0.382,Open
1,Round,0.410,0.391,Open
1,Round,0.414,0.395,Open
1,Round,0.408,0.390,Open
1,Round,0.412,0.392,Open
1,Round,0.414,0.393,Open
1,Round,0.410,0.387,Open
1,Round,0.400,0.380,Open
1,Round,0.376,0.361,Open
1,Round,0.216,0.209,Close
1,Round,0.216,0.209,Close
1,Round,0.220,0.222,Close
1,Round,0.211,0.213,Close
1,Round,0.219,0.220,Close
1,Round,0.214,0.214,Close
1,Round,0.218,0.216,Close
1,Round,0.261,0.249,Open
1,Round,0.255,0.249,Close
1,Round,0.379,0.355,Open
1,Round,0.385,0.360,Open
1,Round,0.415,0.389,Open
1,Round,0.448,0.416,Open
1,Round,0.439,0.410,Open
1,Round,0.447,0.411,Open
1,Round,0.444,0.410,Open
1,Round,0.437,0.402,Open
1,Round,0.433,0.400,Open
1,Round,0.435,0.401,Open
1,Round,0.448,0.411,Open
1,Round,0.441,0.406,Open
1,Round,0.439,0.405,Open
1,Round,0.443,0.409,Open
1,Round,0.448,0.409,Open
1,Round,0.443,0.407,Open
1,Round,0.446,0.410,Open
1,Round,0.445,0.411,Open
1,Round,0.449,0.414,Open
1,Round,0.444,0.409,Open
1,Round,0.442,0.404,Open
1,Round,0.447,0.408,Open
1,Round,0.445,0.410,Open
1,Round,0.443,0.391,Open
1,Round,0.415,0.346,Open
1,Round,0.406,0.335,Open
1,Round,0.420,0.347,Open
1,Round,0.431,0.368,Open
1,Round,0.447,0.380,Open
1,Round,0.432,0.393,Open
1,Round,0.442,0.404,Open
1,Round,0.430,0.398,Open
1,Round,0.404,0.388,Open
1,Round,0.424,0.408,Open
1,Round,0.370,0.368,Open
1,Round,0.391,0.392,Open
1,Round,0.360,0.367,Open
1,Round,0.372,0.388,Open
1,Round,0.377,0.392,Open
1,Round,0.379,0.403,Open
1,Round,0.367,0.384,Open
1,Round,0.377,0.404,Open
1,Round,0.370,0.392,Open
1,Round,0.360,0.386,Open
1,Round,0.388,0.423,Open
1,Round,0.355,0.390,Open
1,Round,0.389,0.435,Open
1,Round,0.378,0.419,Open
1,Round,0.387,0.428,Open
1,Round,0.363,0.402,Open
1,Round,0.390,0.444,Open
1,Round,0.391,0.443,Open
1,Round,0.291,0.328,Open
1,Round,0.282,0.320,Open
1,Round,0.219,0.241,Close
1,Round,0.223,0.240,Close
1,Round,0.219,0.239,Close
1,Round,0.218,0.237,Close
1,Round,0.296,0.319,Open
1,Round,0.291,0.314,Open
1,Round,0.348,0.382,Open
1,Round,0.356,0.391,Open
1,Round,0.348,0.391,Open
1,Round,0.356,0.401,Open
1,Round,0.210,0.228,Close
1,Round,0.209,0.224,Close
1,Round,0.214,0.232,Close
