person_id,eye_type,ear_value_left,ear_value_right
1,Round,0.348,0.247
1,Round,0.417,0.268
1,Round,0.342,0.229
1,Round,0.299,0.215
1,Round,0.336,0.262
1,Round,0.321,0.259
1,Round,0.314,0.263
1,Round,0.279,0.245
1,Round,0.275,0.252
1,Round,0.287,0.267
1,Round,0.3,0.281
1,Round,0.272,0.26
1,Round,0.294,0.279
1,Round,0.299,0.285
1,Round,0.306,0.294
1,Round,0.3,0.289
1,Round,0.309,0.301
1,Round,0.31,0.299
1,Round,0.316,0.308
1,Round,0.342,0.336
1,Round,0.336,0.328
1,Round,0.34,0.331
1,Round,0.336,0.327
1,Round,0.339,0.336
1,Round,0.332,0.334
1,Round,0.329,0.328
1,Round,0.326,0.326
1,Round,0.335,0.331
1,Round,0.349,0.349
1,Round,0.353,0.346
1,Round,0.37,0.368
1,Round,0.361,0.358
1,Round,0.354,0.355
1,Round,0.348,0.342
1,Round,0.339,0.338
1,Round,0.349,0.343
1,Round,0.35,0.347
1,Round,0.355,0.351
1,Round,0.362,0.357
1,Round,0.364,0.36
1,Round,0.352,0.351
1,Round,0.36,0.357
1,Round,0.372,0.367
1,Round,0.369,0.364
1,Round,0.368,0.362
1,Round,0.375,0.373
1,Round,0.366,0.361
1,Round,0.343,0.336
1,Round,0.342,0.336
1,Round,0.29,0.276
1,Round,0.29,0.27
1,Round,0.28,0.253
1,Round,0.279,0.253
1,Round,0.284,0.261
1,Round,0.28,0.251
1,Round,0.277,0.25
1,Round,0.286,0.262
1,Round,0.28,0.251
1,Round,0.274,0.249
1,Round,0.275,0.251
1,Round,0.279,0.254
1,Round,0.273,0.249
1,Round,0.276,0.249
1,Round,0.275,0.249
1,Round,0.279,0.252
1,Round,0.273,0.25
1,Round,0.26,0.237
1,Round,0.281,0.259
1,Round,0.281,0.259
1,Round,0.284,0.263
1,Round,0.267,0.242
1,Round,0.281,0.257
1,Round,0.273,0.25
1,Round,0.27,0.248
1,Round,0.267,0.24
1,Round,0.273,0.246
1,Round,0.282,0.255
1,Round,0.285,0.257
1,Round,0.291,0.263
1,Round,0.295,0.261
1,Round,0.294,0.262
1,Round,0.289,0.256
1,Round,0.286,0.252
1,Round,0.287,0.246
1,Round,0.301,0.262
1,Round,0.3,0.255
1,Round,0.301,0.26
1,Round,0.297,0.253
1,Round,0.296,0.254
1,Round,0.292,0.253
1,Round,0.288,0.249
1,Round,0.295,0.253
1,Round,0.301,0.26
1,Round,0.29,0.25
1,Round,0.305,0.264
1,Round,0.303,0.261
1,Round,0.309,0.27
1,Round,0.3,0.258
1,Round,0.3,0.261
1,Round,0.313,0.269
1,Round,0.328,0.283
1,Round,0.325,0.279
1,Round,0.337,0.292
1,Round,0.318,0.273
1,Round,0.324,0.277
1,Round,0.331,0.286
1,Round,0.324,0.279
1,Round,0.326,0.28
1,Round,0.323,0.278
1,Round,0.323,0.279
1,Round,0.323,0.281
1,Round,0.321,0.278
1,Round,0.32,0.277
1,Round,0.321,0.277
1,Round,0.327,0.286
1,Round,0.323,0.279
1,Round,0.327,0.285
1,Round,0.323,0.28
1,Round,0.311,0.269
1,Round,0.319,0.274
1,Round,0.313,0.271
1,Round,0.334,0.289
1,Round,0.318,0.273
1,Round,0.318,0.271
1,Round,0.318,0.276
1,Round,0.317,0.274
1,Round,0.319,0.277
1,Round,0.322,0.28
1,Round,0.319,0.277
1,Round,0.329,0.286
1,Round,0.317,0.273
1,Round,0.327,0.282
1,Round,0.311,0.271
1,Round,0.325,0.287
1,Round,0.312,0.269
1,Round,0.31,0.272
1,Round,0.315,0.272
1,Round,0.317,0.277
1,Round,0.32,0.281
1,Round,0.318,0.278
1,Round,0.316,0.277
1,Round,0.305,0.264
1,Round,0.314,0.273
1,Round,0.314,0.274
1,Round,0.314,0.271
1,Round,0.308,0.264
1,Round,0.305,0.263
1,Round,0.305,0.27
1,Round,0.316,0.271
1,Round,0.306,0.266
1,Round,0.309,0.269
1,Round,0.31,0.266
1,Round,0.325,0.279
1,Round,0.336,0.287
1,Round,0.356,0.304
1,Round,0.352,0.3
1,Round,0.357,0.306
1,Round,0.34,0.286
1,Round,0.343,0.29
1,Round,0.341,0.294
1,Round,0.36,0.312
1,Round,0.361,0.315
1,Round,0.353,0.31
1,Round,0.353,0.308
1,Round,0.355,0.31
1,Round,0.36,0.314
1,Round,0.345,0.3
1,Round,0.358,0.314
1,Round,0.354,0.311
1,Round,0.354,0.306
1,Round,0.344,0.298
1,Round,0.351,0.304
1,Round,0.345,0.3
1,Round,0.347,0.306
1,Round,0.355,0.31
1,Round,0.335,0.294
1,Round,0.336,0.297
1,Round,0.334,0.296
1,Round,0.315,0.271
1,Round,0.317,0.279
1,Round,0.303,0.26
1,Round,0.323,0.284
1,Round,0.314,0.276
1,Round,0.308,0.27
1,Round,0.304,0.265
1,Round,0.317,0.276
1,Round,0.32,0.284
1,Round,0.302,0.264
1,Round,0.318,0.281
1,Round,0.307,0.271
1,Round,0.307,0.272
1,Round,0.312,0.279
1,Round,0.293,0.255
1,Round,0.303,0.268
1,Round,0.314,0.285
1,Round,0.301,0.265
1,Round,0.303,0.27
1,Round,0.304,0.273
1,Round,0.303,0.267
1,Round,0.308,0.274
1,Round,0.285,0.25
1,Round,0.297,0.263
1,Round,0.281,0.248
1,Round,0.295,0.263
1,Round,0.311,0.276
1,Round,0.311,0.278
1,Round,0.309,0.275
1,Round,0.321,0.288
1,Round,0.312,0.278
1,Round,0.33,0.298
1,Round,0.307,0.273
1,Round,0.314,0.281
1,Round,0.316,0.28
1,Round,0.319,0.29
1,Round,0.32,0.287
1,Round,0.323,0.289
1,Round,0.318,0.284
1,Round,0.329,0.298
1,Round,0.332,0.298
1,Round,0.331,0.296
1,Round,0.327,0.281
1,Round,0.339,0.308
1,Round,0.326,0.292
1,Round,0.324,0.293
1,Round,0.342,0.309
1,Round,0.328,0.294
1,Round,0.34,0.307
1,Round,0.328,0.296
1,Round,0.338,0.306
1,Round,0.331,0.302
1,Round,0.334,0.304
1,Round,0.327,0.294
1,Round,0.299,0.271
1,Round,0.324,0.295
1,Round,0.337,0.307
1,Round,0.324,0.295
1,Round,0.316,0.287
1,Round,0.314,0.285
1,Round,0.302,0.27
1,Round,0.299,0.269
1,Round,0.299,0.271
1,Round,0.302,0.273
1,Round,0.289,0.259
1,Round,0.301,0.269
1,Round,0.279,0.249
1,Round,0.29,0.259
1,Round,0.283,0.257
1,Round,0.303,0.27
1,Round,0.297,0.268
1,Round,0.286,0.251
1,Round,0.306,0.275
1,Round,0.314,0.284
1,Round,0.311,0.279
1,Round,0.323,0.288
1,Round,0.318,0.284
1,Round,0.32,0.289
1,Round,0.316,0.282
1,Round,0.313,0.279
1,Round,0.322,0.293
1,Round,0.321,0.287
1,Round,0.308,0.274
1,Round,0.3,0.264
1,Round,0.292,0.26
1,Round,0.321,0.29
1,Round,0.315,0.286
1,Round,0.301,0.275
1,Round,0.274,0.247
1,Almond,0.229,0.213
1,Almond,0.232,0.239
1,Almond,0.219,0.235
1,Round,0.249,0.274
1,Round,0.263,0.288
1,Round,0.267,0.292
1,Round,0.289,0.317
1,Round,0.289,0.322
1,Round,0.297,0.332
1,Round,0.3,0.336
1,Round,0.308,0.349
1,Round,0.307,0.344
1,Round,0.315,0.359
1,Round,0.306,0.344
1,Round,0.295,0.332
1,Round,0.284,0.324
1,Round,0.292,0.327
1,Round,0.278,0.314
1,Round,0.265,0.299
1,Round,0.227,0.264
1,Almond,0.217,0.249
1,Almond,0.208,0.241
1,Round,0.215,0.251
1,Almond,0.217,0.247
1,Round,0.226,0.255
1,Round,0.242,0.265
1,Round,0.237,0.265
1,Round,0.236,0.263
1,Round,0.242,0.268
1,Round,0.242,0.265
1,Round,0.235,0.264
1,Round,0.243,0.267
1,Round,0.24,0.266
1,Round,0.273,0.295
1,Round,0.261,0.289
1,Round,0.278,0.304
1,Round,0.272,0.296
1,Round,0.267,0.292
1,Round,0.275,0.304
1,Round,0.277,0.304
1,Round,0.266,0.292
1,Round,0.264,0.291
1,Round,0.264,0.291
1,Round,0.268,0.3
1,Round,0.257,0.289
1,Round,0.266,0.298
1,Round,0.276,0.311
1,Round,0.288,0.321
1,Round,0.291,0.324
1,Round,0.303,0.337
1,Round,0.298,0.334
1,Round,0.303,0.337
1,Round,0.302,0.337
1,Round,0.299,0.333
1,Round,0.292,0.328
1,Round,0.303,0.335
1,Round,0.289,0.326
1,Round,0.3,0.333
1,Round,0.29,0.322
1,Round,0.288,0.322
1,Round,0.281,0.315
1,Round,0.293,0.326
1,Round,0.286,0.317
1,Round,0.28,0.315
1,Round,0.279,0.312
1,Round,0.289,0.32
1,Round,0.275,0.308
1,Round,0.26,0.288
1,Round,0.262,0.295
1,Round,0.255,0.286
1,Round,0.251,0.281
1,Round,0.246,0.277
1,Round,0.25,0.282
1,Round,0.245,0.275
1,Round,0.239,0.266
1,Round,0.252,0.279
1,Round,0.264,0.293
1,Round,0.27,0.301
1,Round,0.271,0.3
1,Round,0.252,0.283
1,Round,0.248,0.275
1,Round,0.252,0.28
1,Round,0.259,0.286
1,Round,0.263,0.288
1,Round,0.245,0.269
1,Round,0.252,0.277
1,Round,0.245,0.27
1,Round,0.263,0.287
1,Round,0.262,0.284
1,Round,0.25,0.275
1,Round,0.257,0.283
1,Round,0.253,0.281
1,Round,0.232,0.257
1,Round,0.226,0.251
1,Round,0.251,0.282
1,Round,0.237,0.267
1,Round,0.249,0.28
1,Round,0.262,0.291
1,Round,0.243,0.276
1,Round,0.263,0.294
1,Round,0.258,0.296
1,Round,0.259,0.291
1,Round,0.247,0.279
1,Round,0.236,0.272
1,Round,0.243,0.274
1,Round,0.23,0.263
1,Round,0.233,0.26
1,Almond,0.203,0.227
1,Almond,0.212,0.238
1,Almond,0.214,0.24
1,Almond,0.202,0.227
1,Almond,0.218,0.244
1,Almond,0.221,0.248
1,Round,0.24,0.261
1,Round,0.248,0.267
1,Almond,0.232,0.249
1,Almond,0.221,0.235
1,Round,0.235,0.251
1,Round,0.249,0.262
1,Round,0.242,0.259
1,Round,0.241,0.261
1,Round,0.25,0.269
1,Round,0.253,0.267
1,Round,0.246,0.26
1,Round,0.248,0.263
1,Round,0.237,0.254
1,Round,0.235,0.253
1,Round,0.241,0.258
1,Almond,0.229,0.249
1,Round,0.238,0.258
1,Almond,0.231,0.248
1,Round,0.254,0.268
1,Round,0.244,0.259
1,Round,0.26,0.273
1,Round,0.248,0.268
1,Round,0.258,0.271
1,Round,0.247,0.263
1,Round,0.236,0.252
1,Round,0.236,0.252
1,Almond,0.234,0.245
1,Round,0.242,0.253
1,Round,0.232,0.251
1,Round,0.239,0.253
1,Almond,0.233,0.245
1,Almond,0.225,0.239
1,Almond,0.234,0.248
1,Almond,0.232,0.247
1,Almond,0.23,0.243
1,Almond,0.223,0.241
1,Almond,0.214,0.234
1,Almond,0.206,0.228
1,Almond,0.218,0.241
1,Almond,0.219,0.235
1,Almond,0.22,0.239
1,Almond,0.223,0.239
1,Round,0.234,0.253
1,Round,0.239,0.255
1,Round,0.251,0.273
1,Round,0.247,0.265
1,Round,0.25,0.268
1,Round,0.25,0.271
1,Round,0.248,0.271
1,Round,0.259,0.281
1,Round,0.262,0.284
1,Round,0.252,0.276
1,Round,0.259,0.284
1,Round,0.265,0.292
1,Round,0.273,0.299
1,Round,0.266,0.306
1,Round,0.281,0.326
1,Round,0.3,0.348
1,Round,0.315,0.359
1,Round,0.324,0.364
1,Round,0.304,0.35
1,Round,0.322,0.364
1,Round,0.308,0.348
1,Round,0.307,0.347
1,Round,0.304,0.346
1,Round,0.307,0.351
1,Round,0.318,0.36
1,Round,0.317,0.356
1,Round,0.317,0.356
1,Round,0.311,0.35
1,Round,0.313,0.35
1,Round,0.319,0.359
1,Round,0.317,0.356
1,Round,0.306,0.346
1,Round,0.32,0.358
1,Round,0.31,0.349
1,Round,0.314,0.348
1,Round,0.297,0.336
1,Round,0.315,0.35
1,Round,0.306,0.342
1,Round,0.303,0.341
1,Round,0.311,0.346
1,Round,0.307,0.345
1,Round,0.287,0.325
1,Round,0.296,0.334
1,Round,0.291,0.329
1,Round,0.297,0.334
1,Round,0.305,0.341
1,Round,0.289,0.328
1,Round,0.292,0.332
1,Round,0.284,0.322
1,Round,0.288,0.326
1,Round,0.284,0.32
1,Round,0.292,0.328
1,Round,0.276,0.312
1,Round,0.282,0.32
1,Round,0.286,0.323
1,Round,0.28,0.312
1,Round,0.276,0.31
1,Round,0.288,0.323
1,Round,0.288,0.322
1,Round,0.295,0.336
1,Round,0.3,0.338
1,Round,0.294,0.336
1,Round,0.283,0.31
1,Round,0.292,0.316
1,Round,0.297,0.32
1,Round,0.293,0.318
1,Round,0.29,0.315
1,Round,0.282,0.311
1,Round,0.288,0.317
1,Round,0.28,0.307
1,Round,0.296,0.319
1,Round,0.28,0.306
1,Round,0.283,0.311
1,Round,0.258,0.287
1,Round,0.268,0.296
1,Round,0.27,0.298
1,Round,0.266,0.3
1,Round,0.284,0.312
1,Round,0.268,0.295
1,Round,0.251,0.278
1,Round,0.227,0.255
1,Almond,0.225,0.249
1,Round,0.222,0.25
1,Round,0.236,0.261
1,Round,0.248,0.269
1,Round,0.235,0.261
1,Round,0.24,0.266
1,Round,0.239,0.264
1,Round,0.245,0.268
1,Round,0.232,0.256
1,Round,0.242,0.272
1,Round,0.239,0.27
1,Round,0.235,0.264
1,Round,0.238,0.27
1,Round,0.241,0.271
1,Round,0.254,0.283
1,Round,0.241,0.269
1,Round,0.234,0.264
1,Round,0.228,0.26
1,Round,0.239,0.271
1,Round,0.232,0.259
1,Round,0.231,0.262
1,Round,0.237,0.262
1,Round,0.24,0.265
1,Round,0.228,0.255
1,Round,0.242,0.268
1,Round,0.228,0.253
1,Almond,0.213,0.239
1,Round,0.237,0.266
1,Round,0.269,0.305
1,Round,0.295,0.338
1,Round,0.296,0.337
1,Round,0.309,0.348
1,Round,0.311,0.345
1,Round,0.315,0.357
1,Round,0.299,0.341
1,Round,0.307,0.347
1,Round,0.286,0.331
1,Round,0.27,0.311
1,Round,0.281,0.322
1,Round,0.28,0.321
1,Round,0.276,0.321
1,Round,0.268,0.318
1,Round,0.287,0.336
1,Round,0.3,0.347
1,Round,0.292,0.34
1,Round,0.294,0.342
1,Round,0.275,0.322
1,Round,0.276,0.325
1,Round,0.278,0.325
1,Round,0.272,0.319
1,Round,0.285,0.329
1,Round,0.279,0.327
1,Round,0.278,0.322
1,Round,0.298,0.34
1,Round,0.271,0.306
1,Almond,0.207,0.236
1,Almond,0.185,0.209
1,Almond,0.194,0.212
1,Almond,0.199,0.209
1,Almond,0.212,0.221
1,Round,0.25,0.259
1,Round,0.278,0.283
1,Round,0.289,0.292
1,Round,0.289,0.289
1,Round,0.294,0.294
1,Round,0.27,0.27
1,Almond,0.249,0.246
1,Almond,0.241,0.237
1,Almond,0.22,0.218
1,Almond,0.215,0.203
1,Almond,0.235,0.216
1,Almond,0.246,0.22
1,Almond,0.248,0.219
1,Round,0.259,0.227
1,Round,0.275,0.238
1,Round,0.254,0.222
1,Round,0.259,0.225
1,Round,0.275,0.237
1,Round,0.263,0.22
1,Round,0.284,0.243
1,Round,0.328,0.286
1,Round,0.351,0.304
1,Round,0.343,0.3
1,Round,0.353,0.31
1,Round,0.369,0.33
1,Round,0.359,0.321
1,Round,0.347,0.306
1,Round,0.361,0.324
1,Round,0.377,0.345
1,Round,0.354,0.314
1,Round,0.376,0.336
1,Round,0.378,0.341
1,Round,0.371,0.333
1,Round,0.383,0.342
1,Round,0.4,0.364
1,Round,0.39,0.351
1,Round,0.391,0.356
1,Round,0.39,0.353
1,Round,0.386,0.351
1,Round,0.396,0.357
1,Round,0.402,0.365
1,Round,0.399,0.365
1,Round,0.399,0.365
1,Round,0.394,0.356
1,Round,0.397,0.358
1,Round,0.383,0.347
1,Round,0.394,0.358
1,Round,0.396,0.357
1,Round,0.396,0.36
1,Round,0.388,0.352
1,Round,0.392,0.35
1,Round,0.397,0.362
1,Round,0.395,0.357
1,Round,0.383,0.343
1,Round,0.383,0.342
1,Round,0.389,0.351
1,Round,0.394,0.353
1,Round,0.39,0.353
1,Round,0.369,0.325
1,Round,0.38,0.34
1,Round,0.386,0.346
1,Round,0.383,0.34
1,Round,0.377,0.327
1,Round,0.369,0.324
1,Round,0.366,0.317
1,Round,0.376,0.32
1,Round,0.365,0.313
1,Round,0.379,0.332
1,Round,0.373,0.326
1,Round,0.381,0.331
1,Round,0.36,0.307
1,Round,0.374,0.328
1,Round,0.316,0.278
1,Almond,0.231,0.191
1,Almond,0.224,0.19
1,Round,0.257,0.22
1,Round,0.35,0.301
1,Round,0.353,0.3
1,Round,0.345,0.291
1,Round,0.363,0.304
1,Round,0.35,0.291
1,Round,0.365,0.314
1,Round,0.378,0.324
1,Round,0.37,0.307
1,Round,0.374,0.315
1,Round,0.373,0.316
1,Round,0.382,0.327
1,Round,0.367,0.314
1,Round,0.353,0.301
1,Round,0.362,0.311
1,Round,0.356,0.3
1,Round,0.357,0.307
1,Round,0.351,0.295
1,Round,0.363,0.315
1,Round,0.376,0.326
1,Round,0.375,0.328
1,Round,0.362,0.313
1,Round,0.366,0.316
1,Round,0.368,0.319
1,Round,0.367,0.32
1,Round,0.373,0.328
1,Round,0.366,0.315
1,Round,0.37,0.322
1,Round,0.372,0.322
1,Round,0.375,0.324
1,Round,0.362,0.313
1,Round,0.369,0.319
1,Round,0.369,0.32
1,Round,0.371,0.324
1,Round,0.363,0.311
1,Round,0.373,0.324
1,Round,0.366,0.315
1,Round,0.369,0.32
1,Round,0.361,0.31
1,Round,0.364,0.314
1,Round,0.364,0.313
1,Round,0.364,0.311
1,Round,0.357,0.306
1,Round,0.36,0.31
1,Round,0.343,0.291
1,Round,0.338,0.287
1,Round,0.344,0.294
1,Round,0.345,0.297
1,Round,0.319,0.269
1,Round,0.271,0.228
1,Round,0.267,0.22
1,Round,0.304,0.26
1,Round,0.326,0.281
1,Round,0.328,0.285
1,Round,0.321,0.276
1,Round,0.355,0.309
1,Round,0.351,0.312
1,Round,0.341,0.304
1,Round,0.329,0.301
1,Round,0.343,0.3
1,Round,0.373,0.336
1,Round,0.34,0.3
1,Round,0.354,0.306
1,Round,0.343,0.296
1,Round,0.327,0.283
1,Round,0.33,0.283
1,Round,0.351,0.299
1,Round,0.345,0.299
1,Round,0.293,0.245
1,Almond,0.222,0.175
1,Almond,0.205,0.164
1,Almond,0.221,0.187
1,Round,0.296,0.268
1,Round,0.345,0.323
1,Round,0.368,0.352
1,Round,0.39,0.369
1,Round,0.4,0.385
1,Round,0.385,0.367
1,Round,0.305,0.291
1,Round,0.28,0.266
1,Round,0.327,0.31
1,Round,0.363,0.347
1,Round,0.38,0.363
1,Round,0.393,0.377
1,Round,0.398,0.383
1,Round,0.391,0.377
1,Round,0.394,0.378
1,Round,0.391,0.379
1,Round,0.388,0.377
1,Round,0.403,0.387
1,Round,0.385,0.373
1,Round,0.392,0.38
1,Round,0.397,0.385
1,Round,0.368,0.359
1,Almond,0.25,0.24
1,Almond,0.244,0.233
1,Almond,0.239,0.226
1,Round,0.279,0.273
1,Round,0.3,0.29
1,Almond,0.235,0.225
1,Almond,0.236,0.226
1,Almond,0.249,0.236
1,Round,0.307,0.297
1,Round,0.348,0.337
1,Round,0.254,0.246
1,Round,0.252,0.241
1,Almond,0.237,0.221
1,Round,0.292,0.28
1,Round,0.327,0.316
1,Round,0.264,0.254
1,Almond,0.234,0.223
1,Almond,0.217,0.201
1,Round,0.254,0.243
1,Round,0.315,0.306
1,Round,0.339,0.332
1,Round,0.281,0.269
1,Almond,0.239,0.23
1,Almond,0.243,0.233
1,Round,0.25,0.239
1,Round,0.302,0.298
1,Round,0.329,0.323
1,Round,0.257,0.25
1,Almond,0.226,0.218
1,Almond,0.25,0.243
1,Round,0.288,0.281
1,Round,0.324,0.321
1,Round,0.298,0.291
1,Almond,0.238,0.233
1,Almond,0.214,0.204
1,Round,0.257,0.247
1,Round,0.305,0.301
1,Round,0.328,0.322
1,Round,0.254,0.247
1,Almond,0.232,0.225
1,Almond,0.23,0.222
1,Almond,0.247,0.235
1,Round,0.292,0.283
1,Round,0.311,0.305
1,Almond,0.23,0.222
1,Almond,0.233,0.221
1,Almond,0.227,0.212
1,Almond,0.243,0.232
1,Round,0.261,0.256
1,Round,0.295,0.289
1,Almond,0.229,0.219
1,Almond,0.223,0.211
1,Almond,0.193,0.179
1,Almond,0.244,0.236
1,Round,0.299,0.293
1,Round,0.286,0.283
1,Almond,0.233,0.228
1,Almond,0.225,0.215
1,Almond,0.24,0.227
1,Round,0.279,0.274
1,Round,0.308,0.304
1,Almond,0.233,0.228
1,Almond,0.221,0.213
1,Almond,0.212,0.197
1,Almond,0.234,0.22
1,Round,0.294,0.289
1,Round,0.319,0.313
1,Round,0.25,0.242
1,Almond,0.227,0.213
1,Almond,0.203,0.19
1,Almond,0.227,0.212
1,Round,0.282,0.274
1,Round,0.287,0.277
1,Almond,0.227,0.221
1,Almond,0.222,0.205
1,Almond,0.2,0.182
1,Almond,0.222,0.211
1,Round,0.26,0.252
1,Round,0.298,0.293
1,Round,0.27,0.263
1,Almond,0.23,0.222
1,Almond,0.222,0.208
1,Almond,0.23,0.212
1,Almond,0.209,0.191
1,Round,0.252,0.245
1,Round,0.296,0.294
1,Round,0.29,0.287
1,Round,0.299,0.293
1,Almond,0.213,0.204
1,Almond,0.208,0.193
1,Round,0.268,0.258
1,Round,0.296,0.295
1,Round,0.334,0.331
1,Round,0.373,0.367
1,Round,0.396,0.392
1,Round,0.405,0.399
1,Round,0.403,0.398
1,Round,0.407,0.402
1,Round,0.41,0.404
1,Round,0.405,0.398
1,Round,0.406,0.4
1,Round,0.402,0.397
1,Round,0.411,0.405
1,Round,0.355,0.349
1,Almond,0.237,0.235
1,Almond,0.232,0.227
1,Almond,0.229,0.224
1,Round,0.263,0.258
1,Almond,0.25,0.248
1,Round,0.289,0.284
1,Round,0.281,0.28
1,Almond,0.23,0.227
1,Almond,0.21,0.198
1,Almond,0.242,0.238
1,Round,0.284,0.277
1,Round,0.303,0.299
1,Almond,0.235,0.235
1,Almond,0.226,0.22
1,Almond,0.224,0.212
1,Almond,0.225,0.211
1,Almond,0.223,0.204
1,Almond,0.21,0.198
1,Round,0.274,0.266
1,Round,0.302,0.296
1,Round,0.366,0.364
1,Round,0.382,0.379
1,Round,0.361,0.354
1,Round,0.366,0.361
1,Round,0.277,0.274
1,Almond,0.231,0.232
1,Almond,0.232,0.229
1,Almond,0.23,0.228
1,Almond,0.229,0.218
1,Almond,0.224,0.213
1,Almond,0.208,0.194
1,Almond,0.216,0.204
1,Almond,0.207,0.197
1,Almond,0.213,0.206
1,Almond,0.222,0.216
1,Almond,0.214,0.205
1,Almond,0.216,0.21
1,Almond,0.214,0.209
1,Almond,0.227,0.217
1,Almond,0.216,0.208
1,Almond,0.235,0.228
1,Almond,0.225,0.22
1,Almond,0.223,0.219
1,Almond,0.239,0.231
1,Almond,0.235,0.231
1,Almond,0.227,0.221
1,Almond,0.234,0.226
1,Almond,0.237,0.228
1,Almond,0.246,0.241
1,Almond,0.237,0.228
1,Almond,0.225,0.219
1,Almond,0.224,0.216
1,Almond,0.232,0.229
1,Almond,0.215,0.211
1,Almond,0.234,0.226
1,Almond,0.216,0.209
1,Almond,0.227,0.223
1,Almond,0.226,0.221
1,Almond,0.221,0.218
1,Almond,0.226,0.221
1,Almond,0.23,0.222
1,Almond,0.229,0.224
1,Almond,0.233,0.224
1,Almond,0.226,0.219
1,Almond,0.235,0.227
1,Almond,0.235,0.227
1,Almond,0.239,0.234
1,Almond,0.232,0.226
1,Almond,0.228,0.222
1,Almond,0.238,0.232
1,Almond,0.239,0.234
1,Almond,0.239,0.231
1,Almond,0.24,0.24
1,Almond,0.238,0.229
1,Almond,0.228,0.224
1,Almond,0.226,0.218
1,Almond,0.243,0.237
1,Almond,0.236,0.234
1,Almond,0.235,0.227
1,Almond,0.238,0.231
1,Almond,0.234,0.229
1,Almond,0.239,0.235
1,Almond,0.235,0.23
1,Almond,0.238,0.237
1,Almond,0.221,0.214
1,Almond,0.234,0.229
1,Almond,0.232,0.227
1,Almond,0.24,0.238
1,Almond,0.234,0.23
1,Almond,0.237,0.231
1,Almond,0.239,0.235
1,Almond,0.235,0.231
1,Almond,0.239,0.235
