person_id,eye_type,ear_value_left,ear_value_right,mode_eyes
1,Round,0.385,0.394,Open
1,Round,0.402,0.406,Open
1,Round,0.405,0.403,Open
1,Round,0.396,0.397,Open
1,Round,0.380,0.384,Open
1,Round,0.386,0.387,Open
1,Round,0.388,0.392,Open
1,Round,0.384,0.388,Open
1,Round,0.373,0.376,Open
1,Round,0.383,0.386,Open
1,Round,0.364,0.370,Open
1,Round,0.363,0.369,Open
1,Round,0.376,0.380,Open
1,Round,0.372,0.374,Open
1,Round,0.351,0.361,Open
1,Round,0.358,0.365,Open
1,Round,0.365,0.364,Open
1,Round,0.365,0.367,Open
1,Round,0.374,0.375,Open
1,Round,0.379,0.378,Open
1,Round,0.376,0.373,Open
1,Round,0.374,0.371,Open
1,Round,0.371,0.365,Open
1,Round,0.370,0.363,Open
1,Round,0.378,0.370,Open
1,Round,0.376,0.366,Open
1,Round,0.410,0.391,Open
1,Round,0.406,0.387,Open
1,Round,0.390,0.370,Open
1,Round,0.395,0.372,Open
1,Round,0.402,0.382,Open
1,Round,0.408,0.384,Open
1,Round,0.403,0.385,Open
1,Round,0.394,0.372,Open
1,Round,0.393,0.374,Open
1,Round,0.398,0.375,Open
1,Round,0.392,0.370,Open
1,Round,0.391,0.367,Open
1,Round,0.397,0.377,Open
1,Round,0.400,0.379,Open
1,Round,0.404,0.381,Open
1,Round,0.399,0.376,Open
1,Round,0.407,0.387,Open
1,Round,0.401,0.380,Open
1,Round,0.407,0.378,Open
1,Round,0.412,0.386,Open
1,Round,0.388,0.360,Open
1,Round,0.388,0.363,Open
1,Round,0.252,0.237,Open
1,Round,0.263,0.245,Open
1,Round,0.229,0.208,Open
1,Round,0.240,0.220,Open
1,Round,0.290,0.275,Open
1,Round,0.290,0.274,Open
1,Round,0.335,0.328,Open
1,Round,0.339,0.329,Open
1,Round,0.339,0.330,Open
1,Round,0.362,0.356,Open
1,Round,0.358,0.358,Open
1,Round,0.364,0.362,Open
1,Round,0.371,0.370,Open
1,Round,0.367,0.365,Open
1,Round,0.373,0.371,Open
1,Round,0.374,0.373,Open
1,Round,0.381,0.385,Open
1,Round,0.380,0.382,Open
1,Round,0.378,0.371,Open
1,Round,0.382,0.373,Open
1,Round,0.381,0.372,Open
1,Round,0.370,0.370,Open
1,Round,0.371,0.372,Open
1,Round,0.365,0.367,Open
1,Round,0.380,0.379,Open
1,Round,0.380,0.379,Open
1,Round,0.364,0.367,Open
1,Round,0.382,0.384,Open
1,Round,0.374,0.382,Open
1,Round,0.374,0.384,Open
1,Round,0.373,0.373,Open
1,Round,0.368,0.367,Open
1,Round,0.369,0.367,Open
1,Round,0.360,0.364,Open
1,Round,0.379,0.379,Open
1,Round,0.377,0.377,Open
1,Round,0.221,0.214,Close
1,Round,0.237,0.228,Open
1,Round,0.212,0.210,Close
1,Round,0.206,0.204,Close
1,Round,0.202,0.195,Close
1,Round,0.217,0.212,Close
1,Round,0.205,0.199,Close
1,Round,0.225,0.221,Open
1,Round,0.236,0.227,Open
1,Round,0.299,0.296,Open
1,Round,0.357,0.358,Open
1,Round,0.357,0.358,Open
1,Round,0.364,0.364,Open
1,Round,0.364,0.365,Open
1,Round,0.227,0.222,Open
1,Round,0.235,0.229,Open
1,Round,0.198,0.189,Close
1,Round,0.219,0.208,Close
1,Round,0.215,0.205,Close
1,Round,0.219,0.212,Close
1,Round,0.223,0.217,Open
1,Round,0.306,0.298,Open
1,Round,0.365,0.366,Open
1,Round,0.366,0.367,Open
1,Round,0.395,0.394,Open
1,Round,0.397,0.396,Open
1,Round,0.230,0.222,Open
1,Round,0.243,0.235,Open
1,Round,0.222,0.211,Close
1,Round,0.225,0.215,Open
1,Round,0.226,0.215,Open
1,Round,0.267,0.259,Open
1,Round,0.266,0.258,Open
1,Round,0.335,0.336,Open
1,Round,0.365,0.369,Open
1,Round,0.358,0.360,Open
1,Round,0.388,0.388,Open
1,Round,0.368,0.368,Open
1,Round,0.362,0.356,Open
1,Round,0.376,0.368,Open
1,Round,0.376,0.368,Open
1,Round,0.377,0.371,Open
1,Round,0.379,0.374,Open
1,Round,0.218,0.209,Close
1,Round,0.240,0.230,Open
1,Round,0.215,0.206,Close
1,Round,0.222,0.208,Close
1,Round,0.223,0.213,Close
1,Round,0.240,0.228,Open
1,Round,0.240,0.229,Open
1,Round,0.316,0.315,Open
1,Round,0.313,0.311,Open
1,Round,0.311,0.310,Open
1,Round,0.357,0.358,Open
1,Round,0.359,0.363,Open
1,Round,0.347,0.346,Open
1,Round,0.345,0.342,Open
1,Round,0.202,0.201,Close
1,Round,0.233,0.225,Open
1,Round,0.240,0.229,Open
1,Round,0.257,0.253,Open
1,Round,0.260,0.256,Open
1,Round,0.366,0.363,Open
1,Round,0.364,0.362,Open
1,Round,0.365,0.361,Open
1,Round,0.391,0.384,Open
1,Round,0.389,0.383,Open
1,Round,0.230,0.221,Open
1,Round,0.250,0.236,Open
1,Round,0.232,0.219,Open
1,Round,0.316,0.309,Open
1,Round,0.310,0.309,Open
1,Round,0.242,0.238,Open
1,Round,0.250,0.242,Open
1,Round,0.253,0.246,Open
1,Round,0.214,0.205,Close
1,Round,0.215,0.207,Close
1,Round,0.261,0.254,Open
1,Round,0.252,0.247,Open
1,Round,0.349,0.345,Open
1,Round,0.347,0.347,Open
1,Round,0.384,0.383,Open
1,Round,0.376,0.370,Open
1,Round,0.373,0.365,Open
1,Round,0.215,0.206,Close
1,Round,0.229,0.223,Open
1,Round,0.229,0.222,Open
1,Round,0.213,0.205,Close
1,Round,0.211,0.202,Close
1,Round,0.211,0.200,Close
1,Round,0.206,0.193,Close
1,Round,0.242,0.232,Open
1,Round,0.243,0.232,Open
1,Round,0.275,0.266,Open
1,Round,0.366,0.363,Open
1,Round,0.367,0.364,Open
1,Round,0.367,0.363,Open
1,Round,0.382,0.383,Open
1,Round,0.380,0.380,Open
