person_id,eye_type,ear_value_left,ear_value_right
1,Round,0.305,0.340
1,Round,0.349,0.359
1,Round,0.359,0.358
1,Round,0.358,0.359
1,Round,0.362,0.361
1,Round,0.359,0.362
1,Round,0.357,0.355
1,Round,0.365,0.369
1,Round,0.369,0.372
1,Round,0.343,0.344
1,Round,0.358,0.356
1,Round,0.359,0.363
1,Round,0.352,0.356
1,Round,0.363,0.368
1,Round,0.342,0.344
1,Round,0.358,0.362
1,Round,0.364,0.365
1,Round,0.365,0.368
1,Round,0.354,0.357
1,Round,0.368,0.373
1,Round,0.355,0.362
1,Round,0.350,0.352
1,Round,0.365,0.367
1,Round,0.358,0.358
1,Round,0.359,0.364
1,Round,0.358,0.361
1,Round,0.359,0.364
1,Round,0.359,0.361
1,Round,0.353,0.356
1,Round,0.370,0.375
1,Round,0.362,0.366
1,Round,0.359,0.358
1,Round,0.357,0.360
1,Round,0.359,0.362
1,Round,0.356,0.358
1,Round,0.363,0.368
1,Round,0.359,0.360
1,Round,0.373,0.378
1,Round,0.351,0.352
1,Round,0.361,0.358
1,Round,0.368,0.372
1,Round,0.357,0.358
1,Round,0.356,0.357
1,Round,0.365,0.368
1,Round,0.363,0.363
1,Round,0.358,0.357
1,Round,0.360,0.360
1,Round,0.362,0.359
1,Round,0.362,0.366
1,Round,0.350,0.349
1,Round,0.355,0.354
1,Round,0.357,0.359
1,Round,0.358,0.358
1,Round,0.367,0.370
1,Round,0.364,0.366
1,Round,0.356,0.357
1,Round,0.366,0.366
1,Round,0.366,0.367
1,Round,0.358,0.357
1,Round,0.359,0.358
1,Round,0.367,0.361
1,Round,0.360,0.357
1,Round,0.369,0.367
1,Round,0.364,0.363
1,Round,0.373,0.370
1,Round,0.363,0.359
1,Round,0.373,0.374
1,Round,0.365,0.369
1,Round,0.371,0.372
1,Round,0.371,0.370
1,Round,0.373,0.370
1,Round,0.382,0.384
1,Round,0.391,0.388
1,Round,0.410,0.409
1,Round,0.395,0.391
1,Round,0.385,0.384
1,Round,0.396,0.393
1,Round,0.382,0.379
1,Round,0.379,0.379
1,Round,0.387,0.387
1,Round,0.381,0.379
1,Round,0.361,0.363
1,Round,0.378,0.380
1,Round,0.393,0.395
1,Round,0.383,0.384
1,Round,0.379,0.376
1,Round,0.388,0.384
1,Round,0.382,0.376
1,Round,0.384,0.375
1,Round,0.389,0.383
1,Round,0.393,0.384
1,Round,0.381,0.377
1,Round,0.389,0.381
1,Round,0.377,0.370
1,Round,0.391,0.383
1,Round,0.380,0.375
1,Round,0.373,0.367
1,Round,0.384,0.378
1,Round,0.377,0.369
1,Round,0.371,0.371
1,Round,0.382,0.382
1,Round,0.373,0.372
1,Round,0.376,0.375
1,Round,0.382,0.378
1,Round,0.370,0.364
1,Round,0.365,0.360
1,Round,0.350,0.344
1,Round,0.351,0.343
1,Round,0.360,0.353
1,Round,0.344,0.339
1,Round,0.345,0.341
1,Round,0.343,0.343
1,Round,0.340,0.340
1,Round,0.334,0.333
1,Round,0.335,0.334
1,Round,0.336,0.337
1,Round,0.324,0.326
1,Round,0.333,0.330
1,Round,0.337,0.335
1,Round,0.333,0.332
1,Round,0.337,0.336
1,Round,0.331,0.328
1,Round,0.335,0.332
1,Round,0.329,0.322
1,Round,0.321,0.315
1,Round,0.338,0.332
1,Round,0.327,0.319
1,Round,0.319,0.311
1,Round,0.344,0.335
1,Round,0.340,0.332
1,Round,0.333,0.321
1,Round,0.332,0.322
1,Round,0.325,0.316
1,Round,0.318,0.305
1,Round,0.273,0.249
1,Round,0.291,0.247
1,Round,0.403,0.287
1,Round,0.501,0.297
1,Round,0.820,0.367
1,Round,1.391,0.428
1,Round,1.652,0.439
1,Round,1.806,0.460
1,Round,1.784,0.447
1,Round,2.060,0.401
1,Round,2.266,0.399
1,Round,2.008,0.416
1,Round,2.814,0.422
1,Round,2.827,0.419
1,Round,2.581,0.408
1,Round,2.134,0.391
1,Round,2.524,0.401
1,Round,1.728,0.392
1,Round,1.564,0.398
1,Round,1.778,0.401
1,Round,1.763,0.402
1,Round,1.676,0.403
1,Round,1.427,0.386
