person_id,eye_type,ear_value_left,ear_value_right
1,Round,0.294,0.291
1,Round,0.308,0.294
1,Round,0.304,0.290
1,Round,0.310,0.298
1,Round,0.306,0.290
1,Round,0.318,0.303
1,Round,0.312,0.298
1,Round,0.302,0.290
1,Round,0.298,0.287
1,Round,0.283,0.274
1,Round,0.269,0.254
1,Almond,0.249,0.240
1,Round,0.267,0.256
1,Round,0.269,0.263
1,Round,0.287,0.279
1,Round,0.292,0.287
1,Round,0.297,0.294
1,Round,0.304,0.301
1,Round,0.316,0.314
1,Round,0.324,0.325
1,Round,0.343,0.342
1,Round,0.349,0.351
1,Round,0.342,0.337
1,Round,0.372,0.370
1,Round,0.374,0.376
1,Round,0.367,0.368
1,Round,0.355,0.357
1,Round,0.364,0.363
1,Round,0.351,0.346
1,Round,0.337,0.328
1,Round,0.332,0.326
1,Round,0.330,0.326
1,Round,0.331,0.332
1,Round,0.322,0.318
1,Round,0.310,0.304
1,Round,0.301,0.293
1,Round,0.311,0.301
1,Round,0.310,0.309
1,Round,0.315,0.312
1,Round,0.304,0.298
1,Round,0.294,0.290
1,Round,0.288,0.276
1,Round,0.278,0.273
1,Round,0.285,0.278
1,Round,0.291,0.286
1,Round,0.280,0.273
1,Round,0.270,0.261
1,Round,0.270,0.262
1,Round,0.282,0.276
1,Round,0.273,0.261
1,Round,0.270,0.265
1,Round,0.272,0.264
1,Round,0.269,0.262
1,Round,0.256,0.249
1,Round,0.271,0.265
1,Round,0.274,0.267
1,Round,0.266,0.257
1,Round,0.295,0.287
1,Round,0.287,0.281
1,Round,0.312,0.301
1,Round,0.330,0.318
1,Round,0.347,0.331
1,Round,0.339,0.326
1,Round,0.357,0.345
1,Round,0.367,0.355
1,Round,0.376,0.358
1,Round,0.362,0.349
1,Round,0.380,0.366
1,Round,0.378,0.369
1,Round,0.369,0.363
1,Round,0.395,0.384
1,Round,0.404,0.390
1,Round,0.406,0.396
1,Round,0.382,0.369
1,Round,0.366,0.357
1,Round,0.382,0.373
