person_id,eye_type,ear_value_left,ear_value_right
1,Round,0.341,0.359
1,Round,0.318,0.334
1,Round,0.313,0.332
1,Round,0.328,0.351
1,Round,0.342,0.363
1,Round,0.305,0.327
1,Round,0.274,0.300
1,Almond,0.201,0.228
1,Almond,0.200,0.223
1,Round,0.235,0.253
1,Round,0.255,0.276
1,Round,0.283,0.306
1,Round,0.301,0.325
1,Round,0.307,0.327
1,Round,0.311,0.327
1,Round,0.295,0.308
1,Round,0.281,0.295
1,Round,0.290,0.303
1,Round,0.300,0.314
1,Round,0.273,0.285
1,Round,0.281,0.296
1,Round,0.286,0.301
1,Round,0.297,0.312
1,Round,0.308,0.316
1,Round,0.340,0.337
1,Round,0.340,0.337
1,Round,0.353,0.348
1,Round,0.361,0.356
1,Round,0.371,0.365
1,Round,0.370,0.362
1,Round,0.390,0.381
1,Round,0.391,0.379
1,Round,0.378,0.366
1,Round,0.367,0.355
1,Round,0.374,0.357
1,Round,0.389,0.375
1,Round,0.389,0.370
1,Round,0.374,0.359
1,Round,0.369,0.351
1,Round,0.379,0.359
1,Round,0.390,0.370
1,Round,0.381,0.363
1,Round,0.399,0.379
1,Round,0.393,0.375
1,Round,0.399,0.385
1,Round,0.411,0.392
1,Round,0.420,0.399
1,Round,0.403,0.381
1,Round,0.409,0.388
1,Round,0.407,0.383
1,Round,0.443,0.411
1,Round,0.482,0.446
1,Round,0.473,0.445
1,Round,0.475,0.442
1,Round,0.468,0.436
1,Round,0.482,0.447
1,Round,0.462,0.427
1,Round,0.467,0.434
1,Round,0.460,0.431
1,Round,0.476,0.440
1,Round,0.462,0.432
1,Round,0.465,0.432
1,Round,0.472,0.439
1,Round,0.477,0.442
1,Round,0.479,0.444
1,Round,0.473,0.438
1,Round,0.468,0.434
1,Round,0.467,0.435
1,Round,0.463,0.426
1,Round,0.449,0.410
1,Round,0.476,0.422
1,Round,0.446,0.393
1,Round,0.450,0.390
1,Round,0.479,0.414
1,Round,0.460,0.391
1,Round,0.467,0.394
1,Round,0.472,0.399
1,Round,0.478,0.405
1,Round,0.437,0.378
1,Round,0.462,0.399
1,Round,0.464,0.397
1,Round,0.442,0.385
1,Round,0.450,0.389
1,Round,0.444,0.390
1,Round,0.365,0.322
1,Round,0.331,0.292
1,Round,0.351,0.311
1,Round,0.368,0.331
1,Round,0.405,0.364
1,Round,0.393,0.354
1,Round,0.419,0.381
1,Round,0.429,0.388
1,Round,0.446,0.406
1,Round,0.437,0.399
1,Round,0.423,0.391
1,Round,0.445,0.415
1,Round,0.413,0.385
1,Round,0.421,0.410
1,Round,0.405,0.399
1,Round,0.399,0.394
1,Round,0.408,0.411
1,Round,0.413,0.419
1,Round,0.422,0.440
1,Round,0.422,0.442
1,Round,0.414,0.439
1,Round,0.412,0.438
1,Round,0.396,0.425
1,Round,0.404,0.434
1,Round,0.404,0.431
1,Round,0.406,0.434
1,Round,0.409,0.439
1,Round,0.408,0.432
