person_id,eye_type,ear_value_left,ear_value_right
1,Round,0.264,0.196
1,Almond,0.238,0.200
1,Almond,0.245,0.215
1,Almond,0.247,0.225
1,Almond,0.222,0.192
1,Almond,0.223,0.198
1,Almond,0.244,0.214
1,Almond,0.218,0.186
1,Almond,0.244,0.215
1,Almond,0.225,0.203
1,Almond,0.245,0.216
1,Almond,0.234,0.203
1,Almond,0.248,0.215
1,Almond,0.246,0.220
1,Almond,0.227,0.204
1,Almond,0.246,0.219
1,Almond,0.230,0.211
1,Round,0.250,0.220
1,Almond,0.249,0.230
1,Almond,0.244,0.219
1,Round,0.254,0.226
1,Almond,0.229,0.211
1,Almond,0.245,0.210
1,Almond,0.250,0.220
1,Almond,0.237,0.211
1,Almond,0.210,0.189
1,Almond,0.235,0.207
1,Round,0.260,0.237
1,Almond,0.237,0.202
1,Almond,0.232,0.201
1,Almond,0.240,0.201
1,Almond,0.229,0.197
1,Almond,0.245,0.213
1,Round,0.256,0.228
1,Almond,0.244,0.217
1,Almond,0.249,0.213
1,Almond,0.222,0.194
1,Almond,0.228,0.195
1,Almond,0.240,0.208
1,Almond,0.227,0.194
1,Almond,0.234,0.211
1,Almond,0.234,0.193
1,Almond,0.224,0.201
1,Almond,0.241,0.209
1,Almond,0.219,0.201
1,Almond,0.227,0.201
1,Almond,0.233,0.206
1,Almond,0.229,0.192
1,Almond,0.237,0.214
1,Almond,0.222,0.190
1,Almond,0.250,0.228
1,Almond,0.230,0.204
1,Almond,0.238,0.207
1,Almond,0.237,0.214
1,Almond,0.219,0.249
1,Round,0.250,0.279
1,Round,0.259,0.283
1,Round,0.285,0.310
1,Round,0.279,0.302
1,Round,0.261,0.283
1,Round,0.281,0.308
1,Round,0.256,0.284
1,Almond,0.224,0.248
1,Almond,0.209,0.232
1,Almond,0.201,0.221
1,Almond,0.199,0.214
1,Almond,0.209,0.225
1,Almond,0.194,0.206
1,Almond,0.204,0.220
1,Almond,0.199,0.210
1,Almond,0.197,0.209
1,Almond,0.200,0.204
1,Almond,0.214,0.218
1,Almond,0.209,0.214
1,Almond,0.177,0.184
1,Almond,0.147,0.154
1,Almond,0.130,0.141
1,Almond,0.141,0.152
1,Almond,0.151,0.163
1,Almond,0.182,0.192
1,Almond,0.235,0.246
1,Round,0.255,0.265
1,Round,0.244,0.251
1,Round,0.260,0.268
1,Round,0.240,0.252
1,Almond,0.241,0.248
1,Almond,0.233,0.237
1,Almond,0.226,0.237
1,Almond,0.221,0.232
1,Almond,0.216,0.226
1,Almond,0.220,0.231
1,Almond,0.231,0.237
1,Almond,0.227,0.237
1,Almond,0.217,0.226
1,Almond,0.243,0.249
1,Round,0.239,0.252
1,Almond,0.242,0.246
1,Round,0.255,0.262
1,Almond,0.245,0.249
1,Round,0.250,0.254
1,Round,0.259,0.264
1,Almond,0.240,0.246
1,Almond,0.185,0.194
1,Almond,0.159,0.171
1,Almond,0.147,0.159
1,Almond,0.167,0.175
1,Almond,0.197,0.204
1,Round,0.269,0.274
1,Round,0.269,0.272
1,Round,0.273,0.270
1,Round,0.287,0.288
1,Round,0.294,0.293
1,Round,0.302,0.297
1,Round,0.314,0.310
1,Round,0.339,0.335
1,Round,0.330,0.325
1,Round,0.340,0.335
1,Round,0.344,0.337
1,Round,0.345,0.336
1,Round,0.276,0.270
1,Round,0.259,0.251
1,Almond,0.193,0.196
1,Almond,0.199,0.208
1,Almond,0.229,0.234
1,Round,0.279,0.274
1,Round,0.307,0.304
1,Round,0.308,0.301
1,Round,0.324,0.319
1,Round,0.324,0.317
1,Round,0.318,0.310
1,Round,0.331,0.322
