person_id,eye_type,ear_value_left,ear_value_right
1,Round,0.416,0.410
1,Round,0.444,0.438
1,Round,0.439,0.434
1,Round,0.433,0.429
1,Round,0.427,0.423
1,Round,0.433,0.426
1,Round,0.437,0.431
1,Round,0.428,0.422
1,Round,0.422,0.418
1,Round,0.425,0.416
1,Round,0.422,0.416
1,Round,0.424,0.416
1,Round,0.425,0.422
1,Round,0.422,0.415
1,Round,0.430,0.421
1,Round,0.417,0.408
1,Round,0.417,0.406
1,Round,0.412,0.401
1,Round,0.414,0.402
1,Round,0.413,0.401
1,Round,0.378,0.359
1,Round,0.287,0.274
1,Round,0.299,0.281
1,Round,0.308,0.288
1,Round,0.387,0.359
1,Round,0.445,0.407
1,Round,0.456,0.420
1,Round,0.455,0.419
1,Round,0.456,0.422
1,Round,0.437,0.405
1,Round,0.444,0.413
1,Round,0.427,0.402
1,Round,0.427,0.400
1,Round,0.428,0.402
1,Round,0.428,0.405
1,Round,0.428,0.406
1,Round,0.427,0.404
1,Round,0.427,0.403
1,Round,0.428,0.406
1,Round,0.432,0.409
1,Round,0.418,0.396
1,Round,0.425,0.400
1,Round,0.427,0.403
1,Round,0.434,0.407
1,Round,0.433,0.406
1,Round,0.431,0.406
1,Round,0.432,0.403
1,Round,0.432,0.405
1,Round,0.425,0.394
1,Round,0.418,0.395
1,Round,0.425,0.401
1,Round,0.420,0.394
1,Round,0.424,0.395
1,Round,0.412,0.385
1,Round,0.418,0.393
1,Round,0.423,0.396
1,Round,0.411,0.387
1,Round,0.406,0.384
1,Round,0.405,0.384
1,Round,0.407,0.383
1,Round,0.411,0.389
1,Round,0.411,0.388
1,Round,0.414,0.388
1,Round,0.373,0.348
1,Round,0.255,0.231
1,Almond,0.244,0.222
1,Almond,0.243,0.222
1,Round,0.363,0.340
1,Round,0.402,0.379
1,Round,0.422,0.397
1,Round,0.416,0.388
1,Round,0.416,0.389
1,Round,0.420,0.398
1,Round,0.425,0.401
1,Round,0.424,0.399
1,Round,0.422,0.398
1,Round,0.421,0.397
1,Round,0.434,0.412
1,Round,0.432,0.408
1,Round,0.438,0.417
1,Round,0.430,0.408
1,Round,0.428,0.407
1,Round,0.427,0.406
1,Round,0.426,0.406
1,Round,0.418,0.401
1,Round,0.428,0.408
1,Round,0.416,0.398
1,Round,0.428,0.407
1,Round,0.431,0.411
1,Round,0.433,0.415
1,Round,0.434,0.412
1,Round,0.438,0.419
1,Round,0.423,0.404
1,Round,0.430,0.408
1,Round,0.424,0.405
1,Round,0.432,0.412
1,Round,0.426,0.408
1,Round,0.427,0.409
1,Round,0.438,0.419
1,Round,0.425,0.404
1,Round,0.309,0.291
1,Round,0.264,0.247
1,Almond,0.247,0.228
1,Almond,0.246,0.230
1,Round,0.313,0.291
1,Round,0.359,0.342
1,Round,0.397,0.378
1,Round,0.409,0.388
1,Round,0.404,0.386
1,Round,0.410,0.391
1,Round,0.418,0.396
1,Round,0.417,0.400
1,Round,0.414,0.395
1,Round,0.414,0.399
1,Round,0.414,0.395
1,Round,0.417,0.399
1,Round,0.412,0.395
1,Round,0.411,0.394
1,Round,0.417,0.401
1,Round,0.419,0.399
1,Round,0.416,0.398
1,Round,0.365,0.349
1,Round,0.272,0.256
1,Round,0.266,0.251
1,Round,0.275,0.267
1,Round,0.323,0.310
1,Round,0.349,0.336
1,Round,0.383,0.365
1,Round,0.387,0.368
1,Round,0.389,0.369
1,Round,0.390,0.374
1,Round,0.391,0.370
1,Round,0.395,0.379
1,Round,0.399,0.379
1,Round,0.404,0.383
1,Round,0.411,0.389
1,Round,0.404,0.381
1,Round,0.414,0.392
1,Round,0.417,0.394
1,Round,0.416,0.394
1,Round,0.416,0.391
1,Round,0.419,0.395
1,Round,0.423,0.402
1,Round,0.427,0.404
1,Round,0.380,0.360
1,Round,0.263,0.245
1,Round,0.260,0.247
1,Round,0.275,0.256
1,Round,0.263,0.246
1,Round,0.254,0.241
1,Round,0.270,0.258
1,Round,0.305,0.291
1,Round,0.365,0.349
1,Round,0.409,0.390
1,Round,0.414,0.393
1,Round,0.419,0.398
1,Round,0.420,0.398
1,Round,0.413,0.392
1,Round,0.421,0.403
1,Round,0.414,0.394
1,Round,0.426,0.404
1,Round,0.422,0.399
1,Round,0.418,0.398
1,Round,0.426,0.404
1,Round,0.420,0.398
1,Round,0.423,0.398
1,Round,0.415,0.392
1,Round,0.430,0.402
1,Round,0.427,0.401
1,Round,0.425,0.396
1,Round,0.423,0.397
1,Round,0.425,0.397
1,Round,0.428,0.402
1,Round,0.435,0.407
1,Round,0.439,0.410
1,Round,0.433,0.407
1,Round,0.433,0.406
1,Round,0.428,0.401
1,Round,0.419,0.393
1,Round,0.407,0.380
1,Round,0.419,0.392
1,Round,0.405,0.379
1,Round,0.348,0.324
1,Round,0.272,0.244
1,Round,0.257,0.231
1,Almond,0.240,0.216
1,Almond,0.242,0.222
1,Round,0.289,0.269
1,Round,0.340,0.321
1,Round,0.391,0.368
1,Round,0.382,0.357
1,Round,0.397,0.374
1,Round,0.407,0.383
1,Round,0.413,0.387
1,Round,0.401,0.378
1,Round,0.414,0.389
1,Round,0.419,0.395
1,Round,0.421,0.394
1,Round,0.414,0.391
1,Round,0.415,0.395
1,Round,0.416,0.394
1,Round,0.424,0.401
1,Round,0.411,0.392
1,Round,0.423,0.403
1,Round,0.421,0.405
1,Round,0.422,0.401
1,Round,0.421,0.406
1,Round,0.431,0.412
1,Round,0.420,0.399
1,Round,0.422,0.402
1,Round,0.415,0.398
1,Round,0.422,0.403
1,Round,0.419,0.401
1,Round,0.418,0.403
1,Round,0.421,0.403
1,Round,0.430,0.415
1,Round,0.435,0.416
1,Round,0.429,0.410
1,Round,0.441,0.425
1,Round,0.447,0.432
1,Round,0.451,0.434
1,Round,0.447,0.428
1,Round,0.433,0.414
1,Round,0.436,0.419
1,Round,0.421,0.406
1,Round,0.303,0.285
1,Round,0.265,0.253
1,Round,0.261,0.255
1,Round,0.264,0.260
1,Almond,0.246,0.242
1,Round,0.284,0.280
1,Round,0.331,0.321
1,Round,0.319,0.310
1,Round,0.395,0.385
1,Round,0.401,0.393
1,Round,0.417,0.403
1,Round,0.425,0.412
1,Round,0.407,0.391
1,Round,0.405,0.393
1,Round,0.406,0.398
1,Round,0.397,0.393
1,Round,0.398,0.391
1,Round,0.385,0.381
1,Round,0.386,0.381
1,Round,0.396,0.385
1,Round,0.351,0.345
1,Almond,0.235,0.233
1,Almond,0.241,0.241
1,Round,0.264,0.264
1,Round,0.317,0.316
1,Round,0.354,0.349
1,Round,0.371,0.364
1,Round,0.364,0.356
1,Round,0.368,0.359
1,Round,0.389,0.381
1,Round,0.392,0.381
1,Round,0.402,0.391
1,Round,0.403,0.391
1,Round,0.401,0.393
1,Round,0.263,0.258
1,Almond,0.229,0.226
1,Almond,0.229,0.230
1,Almond,0.226,0.225
1,Almond,0.229,0.232
1,Almond,0.227,0.231
1,Almond,0.230,0.235
1,Almond,0.239,0.241
1,Almond,0.227,0.226
1,Almond,0.249,0.245
1,Round,0.308,0.300
1,Round,0.369,0.359
1,Round,0.399,0.388
1,Round,0.397,0.384
1,Round,0.406,0.391
1,Round,0.418,0.404
1,Round,0.421,0.407
1,Round,0.413,0.399
1,Round,0.421,0.408
1,Round,0.429,0.416
1,Round,0.431,0.415
1,Round,0.424,0.409
1,Round,0.424,0.409
1,Round,0.421,0.405
1,Round,0.420,0.402
1,Round,0.425,0.407
1,Round,0.423,0.404
1,Round,0.422,0.404
1,Round,0.423,0.406
1,Round,0.436,0.414
1,Round,0.431,0.411
1,Round,0.433,0.412
1,Round,0.433,0.413
1,Round,0.436,0.417
1,Round,0.433,0.417
1,Round,0.434,0.420
1,Round,0.429,0.412
1,Round,0.429,0.410
