person_id,eye_type,ear_value_left,ear_value_right
1,Round,0.331,0.318
1,Round,0.307,0.310
1,Round,0.329,0.328
1,Round,0.330,0.329
1,Round,0.329,0.337
1,Round,0.330,0.338
1,Round,0.336,0.351
1,Round,0.300,0.314
1,Round,0.327,0.345
1,Round,0.328,0.341
1,Round,0.329,0.334
1,Round,0.272,0.256
1,Round,0.251,0.224
1,Round,0.278,0.231
1,Round,0.358,0.323
1,Round,0.340,0.328
1,Round,0.375,0.376
1,Round,0.387,0.386
1,Round,0.365,0.369
1,Round,0.388,0.389
1,Round,0.403,0.411
1,Round,0.413,0.416
1,Round,0.399,0.402
1,Round,0.389,0.383
1,Round,0.366,0.365
1,Round,0.336,0.352
1,Round,0.336,0.359
1,Round,0.352,0.378
1,Round,0.354,0.378
1,Round,0.349,0.377
1,Round,0.362,0.385
1,Round,0.369,0.393
1,Round,0.351,0.372
1,Round,0.360,0.385
1,Round,0.344,0.365
1,Round,0.343,0.361
1,Round,0.362,0.388
1,Round,0.326,0.355
1,Round,0.348,0.381
1,Round,0.327,0.359
1,Round,0.340,0.367
1,Round,0.376,0.398
1,Round,0.379,0.400
1,Round,0.365,0.378
1,Round,0.374,0.387
1,Round,0.362,0.374
1,Round,0.382,0.392
1,Round,0.358,0.363
1,Round,0.369,0.376
1,Round,0.357,0.363
1,Round,0.355,0.359
1,Round,0.363,0.366
1,Round,0.371,0.383
1,Round,0.345,0.358
1,Round,0.321,0.337
1,Round,0.348,0.368
1,Round,0.349,0.375
1,Round,0.344,0.367
1,Round,0.334,0.351
1,Round,0.361,0.377
1,Round,0.347,0.362
1,Round,0.353,0.374
1,Round,0.357,0.367
1,Round,0.365,0.371
1,Round,0.364,0.369
1,Round,0.354,0.362
1,Round,0.364,0.371
1,Round,0.339,0.339
1,Round,0.343,0.352
1,Round,0.344,0.351
1,Round,0.340,0.347
1,Round,0.324,0.335
1,Round,0.340,0.348
1,Round,0.334,0.340
1,Round,0.337,0.341
1,Round,0.359,0.364
1,Round,0.378,0.378
1,Round,0.383,0.383
1,Round,0.370,0.360
1,Round,0.410,0.409
1,Round,0.400,0.398
1,Round,0.408,0.400
1,Round,0.432,0.426
1,Round,0.391,0.386
1,Round,0.411,0.414
1,Round,0.407,0.406
1,Round,0.402,0.405
1,Round,0.294,0.294
1,Round,0.273,0.281
1,Round,0.272,0.277
1,Round,0.297,0.311
1,Round,0.303,0.319
1,Round,0.309,0.327
1,Round,0.307,0.319
1,Round,0.307,0.321
1,Round,0.292,0.296
1,Round,0.257,0.269
1,Round,0.291,0.306
1,Round,0.298,0.316
1,Round,0.312,0.324
1,Round,0.328,0.347
1,Round,0.340,0.359
1,Round,0.368,0.379
1,Round,0.354,0.368
1,Round,0.358,0.368
1,Round,0.387,0.399
1,Round,0.366,0.378
1,Round,0.357,0.367
1,Round,0.353,0.367
1,Round,0.357,0.369
1,Round,0.358,0.369
1,Round,0.364,0.377
1,Round,0.357,0.372
1,Round,0.368,0.384
1,Round,0.382,0.395
1,Round,0.379,0.391
1,Round,0.399,0.407
1,Round,0.394,0.400
1,Round,0.403,0.405
1,Round,0.404,0.406
1,Round,0.395,0.397
1,Round,0.398,0.398
1,Round,0.398,0.400
1,Round,0.399,0.406
1,Round,0.405,0.410
1,Round,0.412,0.416
1,Round,0.411,0.411
1,Round,0.399,0.399
1,Round,0.388,0.383
1,Round,0.393,0.391
1,Round,0.379,0.378
1,Round,0.387,0.389
1,Round,0.394,0.394
1,Round,0.388,0.386
1,Round,0.390,0.388
1,Round,0.397,0.394
1,Round,0.389,0.387
1,Round,0.385,0.382
1,Round,0.384,0.384
1,Round,0.387,0.379
1,Round,0.396,0.393
1,Round,0.388,0.381
1,Round,0.385,0.380
1,Round,0.383,0.373
1,Round,0.365,0.356
1,Round,0.366,0.354
1,Round,0.365,0.358
1,Round,0.376,0.373
1,Round,0.376,0.371
1,Round,0.380,0.373
1,Round,0.386,0.376
1,Round,0.393,0.380
1,Round,0.415,0.400
1,Round,0.410,0.397
1,Round,0.412,0.403
1,Round,0.408,0.404
1,Round,0.396,0.390
1,Round,0.391,0.385
1,Round,0.382,0.377
1,Round,0.346,0.346
