person_id,eye_type,ear_value_left,ear_value_right
1,Round,0.342,0.351
1,Round,0.330,0.342
1,Round,0.330,0.352
1,Round,0.324,0.352
1,Round,0.323,0.354
1,Round,0.323,0.352
1,Round,0.326,0.357
1,Round,0.317,0.342
1,Round,0.329,0.360
1,Round,0.324,0.356
1,Round,0.320,0.345
1,Round,0.320,0.348
1,Round,0.328,0.355
1,Round,0.308,0.327
1,Round,0.318,0.339
1,Round,0.312,0.328
1,Round,0.330,0.348
1,Round,0.335,0.355
1,Round,0.339,0.360
1,Round,0.339,0.355
1,Round,0.349,0.366
1,Round,0.360,0.371
1,Round,0.384,0.392
1,Round,0.386,0.382
1,Round,0.403,0.389
1,Round,0.426,0.404
1,Round,0.429,0.406
1,Round,0.428,0.401
1,Round,0.430,0.401
1,Round,0.432,0.402
1,Round,0.439,0.406
1,Round,0.428,0.397
1,Round,0.418,0.390
1,Round,0.385,0.349
1,Round,0.405,0.368
1,Round,0.428,0.385
1,Round,0.427,0.384
1,Round,0.400,0.356
1,Round,0.420,0.379
1,Round,0.413,0.369
1,Round,0.421,0.372
1,Round,0.431,0.388
1,Round,0.438,0.388
1,Round,0.425,0.370
1,Round,0.440,0.392
1,Round,0.448,0.393
1,Round,0.462,0.409
1,Round,0.466,0.410
1,Round,0.478,0.419
1,Round,0.477,0.418
1,Round,0.476,0.413
1,Round,0.469,0.413
1,Round,0.460,0.403
1,Round,0.466,0.415
1,Round,0.470,0.419
1,Round,0.464,0.414
1,Round,0.464,0.416
1,Round,0.288,0.245
1,Round,0.294,0.260
1,Round,0.298,0.261
1,Round,0.309,0.277
1,Round,0.305,0.272
1,Round,0.304,0.278
1,Round,0.289,0.267
1,Round,0.296,0.275
1,Round,0.303,0.283
1,Round,0.301,0.280
1,Round,0.294,0.278
1,Round,0.307,0.290
1,Round,0.292,0.263
1,Round,0.306,0.289
1,Round,0.312,0.294
1,Round,0.320,0.300
1,Round,0.312,0.291
1,Round,0.330,0.304
1,Round,0.324,0.302
1,Round,0.339,0.317
1,Round,0.333,0.309
1,Round,0.331,0.311
1,Round,0.338,0.319
1,Round,0.352,0.327
1,Round,0.345,0.318
1,Round,0.350,0.333
1,Round,0.348,0.329
1,Round,0.325,0.297
1,Round,0.320,0.299
1,Round,0.334,0.312
1,Round,0.317,0.292
1,Round,0.305,0.281
1,Round,0.309,0.287
1,Round,0.339,0.316
1,Round,0.332,0.309
1,Round,0.341,0.323
1,Round,0.339,0.319
1,Round,0.341,0.324
1,Round,0.348,0.330
1,Round,0.349,0.334
1,Round,0.359,0.339
1,Round,0.357,0.340
1,Round,0.349,0.331
1,Round,0.368,0.348
1,Round,0.364,0.342
1,Round,0.345,0.326
1,Round,0.353,0.332
1,Round,0.356,0.337
1,Round,0.368,0.343
1,Round,0.373,0.352
1,Round,0.377,0.358
1,Round,0.390,0.366
1,Round,0.396,0.372
1,Round,0.401,0.381
1,Round,0.405,0.385
1,Round,0.393,0.385
1,Round,0.395,0.390
1,Round,0.407,0.410
1,Round,0.402,0.413
1,Round,0.383,0.385
1,Round,0.394,0.398
1,Round,0.380,0.385
1,Round,0.379,0.374
1,Round,0.397,0.391
1,Round,0.386,0.379
1,Round,0.367,0.361
1,Round,0.363,0.356
1,Round,0.384,0.376
1,Round,0.380,0.372
1,Round,0.389,0.383
1,Round,0.367,0.357
1,Round,0.374,0.367
1,Round,0.364,0.353
1,Round,0.383,0.373
1,Round,0.383,0.372
1,Round,0.398,0.381
1,Round,0.421,0.393
1,Round,0.421,0.394
1,Round,0.436,0.410
1,Round,0.431,0.398
1,Round,0.443,0.399
1,Round,0.430,0.392
1,Round,0.434,0.396
1,Round,0.418,0.380
1,Round,0.393,0.356
1,Round,0.407,0.373
1,Round,0.378,0.346
1,Round,0.393,0.360
1,Round,0.387,0.352
1,Round,0.386,0.346
1,Round,0.395,0.353
1,Round,0.393,0.351
1,Round,0.392,0.349
1,Round,0.411,0.365
1,Round,0.405,0.362
1,Round,0.423,0.378
1,Round,0.426,0.374
1,Round,0.411,0.359
1,Round,0.413,0.357
1,Round,0.413,0.361
1,Round,0.419,0.357
1,Round,0.411,0.347
1,Round,0.417,0.352
1,Round,0.423,0.356
1,Round,0.451,0.380
1,Round,0.452,0.384
1,Round,0.480,0.407
1,Round,0.473,0.402
1,Round,0.472,0.405
1,Round,0.474,0.409
1,Round,0.466,0.400
1,Round,0.472,0.404
1,Round,0.468,0.405
1,Round,0.470,0.403
1,Round,0.470,0.403
1,Round,0.472,0.404
1,Round,0.470,0.406
1,Round,0.461,0.398
1,Round,0.469,0.407
1,Round,0.460,0.400
1,Round,0.468,0.403
1,Round,0.474,0.410
1,Round,0.476,0.410
1,Round,0.476,0.413
1,Round,0.476,0.411
1,Round,0.485,0.415
1,Round,0.495,0.425
1,Round,0.493,0.423
1,Round,0.486,0.416
1,Round,0.495,0.422
1,Round,0.485,0.414
1,Round,0.477,0.405
1,Round,0.466,0.401
1,Round,0.474,0.412
1,Round,0.479,0.414
1,Round,0.478,0.416
1,Round,0.473,0.413
1,Round,0.478,0.418
1,Round,0.472,0.418
1,Round,0.474,0.414
1,Round,0.481,0.421
1,Round,0.482,0.420
1,Round,0.462,0.404
1,Round,0.476,0.423
1,Round,0.470,0.414
1,Round,0.465,0.412
1,Round,0.466,0.415
1,Round,0.472,0.415
1,Round,0.475,0.413
1,Round,0.410,0.362
1,Round,0.404,0.365
1,Round,0.413,0.365
1,Round,0.434,0.386
1,Round,0.431,0.383
1,Round,0.439,0.393
1,Round,0.460,0.409
1,Round,0.463,0.412
1,Round,0.468,0.415
1,Round,0.464,0.408
1,Round,0.461,0.406
1,Round,0.463,0.406
1,Round,0.453,0.402
1,Round,0.472,0.414
1,Round,0.463,0.406
1,Round,0.468,0.412
1,Round,0.457,0.403
1,Round,0.468,0.410
1,Round,0.458,0.400
1,Round,0.456,0.402
1,Round,0.481,0.422
1,Round,0.479,0.419
1,Round,0.479,0.419
1,Round,0.471,0.413
1,Round,0.486,0.428
1,Round,0.479,0.420
1,Round,0.479,0.422
1,Round,0.470,0.414
1,Round,0.476,0.420
1,Round,0.475,0.422
1,Round,0.473,0.420
1,Round,0.460,0.407
1,Round,0.446,0.395
1,Round,0.415,0.370
1,Round,0.432,0.386
1,Round,0.420,0.370
1,Round,0.420,0.375
1,Round,0.410,0.362
1,Round,0.399,0.354
1,Round,0.412,0.366
1,Round,0.412,0.367
1,Round,0.409,0.364
1,Round,0.416,0.372
1,Round,0.395,0.351
1,Round,0.368,0.339
1,Round,0.383,0.351
1,Round,0.383,0.350
1,Round,0.389,0.349
1,Round,0.381,0.343
1,Round,0.353,0.317
1,Round,0.365,0.333
1,Round,0.368,0.335
1,Round,0.358,0.323
1,Round,0.370,0.340
1,Round,0.363,0.325
1,Round,0.361,0.320
1,Round,0.338,0.303
1,Round,0.352,0.314
1,Round,0.356,0.318
1,Round,0.343,0.308
1,Round,0.356,0.325
1,Round,0.368,0.335
1,Round,0.364,0.334
1,Round,0.378,0.350
1,Round,0.390,0.362
1,Round,0.402,0.383
1,Round,0.403,0.388
1,Round,0.395,0.392
1,Round,0.400,0.402
1,Round,0.395,0.404
1,Round,0.395,0.404
1,Round,0.400,0.414
1,Round,0.388,0.400
1,Round,0.391,0.403
1,Round,0.394,0.404
1,Round,0.395,0.403
1,Round,0.400,0.413
1,Round,0.399,0.408
1,Round,0.392,0.401
1,Round,0.386,0.403
1,Round,0.400,0.419
1,Round,0.397,0.418
